,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,12,LAMPAERT Yves,29,Deceuninck - Quick Step,300.0,200.0,3:57:12,AG_Driedaagse_Brugge_De_Panne_ME,0,21 October 2020,47.71 km/h,0,188.6 km,31
1,2,14,DECLERCQ Tim,31,Deceuninck - Quick Step,250.0,150.0,0:210:21,AG_Driedaagse_Brugge_De_Panne_ME,0,21 October 2020,47.71 km/h,0,188.6 km,31
2,3,192,MERLIER Tim,27,Alpecin-Fenix,215.0,120.0,0:220:22,AG_Driedaagse_Brugge_De_Panne_ME,0,21 October 2020,47.71 km/h,0,188.6 km,31
3,4,92,DEGENKOLB John,31,Lotto Soudal,175.0,100.0,",,0:22",AG_Driedaagse_Brugge_De_Panne_ME,0,21 October 2020,47.71 km/h,0,188.6 km,31
4,5,43,DRUCKER Jempy,34,BORA - hansgrohe,120.0,90.0,",,0:22",AG_Driedaagse_Brugge_De_Panne_ME,0,21 October 2020,47.71 km/h,0,188.6 km,31
5,6,51,TRENTIN Matteo,31,CCC Team,115.0,80.0,",,0:22",AG_Driedaagse_Brugge_De_Panne_ME,0,21 October 2020,47.71 km/h,0,188.6 km,31
6,7,17,VAN LERBERGHE Bert,28,Deceuninck - Quick Step,95.0,70.0,",,0:22",AG_Driedaagse_Brugge_De_Panne_ME,0,21 October 2020,47.71 km/h,0,188.6 km,31
7,8,131,KÜNG Stefan,26,Groupama - FDJ,75.0,60.0,",,0:22",AG_Driedaagse_Brugge_De_Panne_ME,0,21 October 2020,47.71 km/h,0,188.6 km,31
8,9,11,ASGREEN Kasper,25,Deceuninck - Quick Step,60.0,50.0,",,0:22",AG_Driedaagse_Brugge_De_Panne_ME,0,21 October 2020,47.71 km/h,0,188.6 km,31
9,10,194,RICKAERT Jonas,26,Alpecin-Fenix,50.0,40.0,0:280:28,AG_Driedaagse_Brugge_De_Panne_ME,0,21 October 2020,47.71 km/h,0,188.6 km,31
10,11,122,BYSTRØM Sven Erik,28,UAE-Team Emirates,40.0,36.0,1:311:31,AG_Driedaagse_Brugge_De_Panne_ME,0,21 October 2020,47.71 km/h,0,188.6 km,31
11,12,162,LAPORTE Christophe,27,"Cofidis, Solutions Crédits",35.0,32.0,1:371:37,AG_Driedaagse_Brugge_De_Panne_ME,0,21 October 2020,47.71 km/h,0,188.6 km,31
12,13,105,WALSCHEID Max,27,NTT Pro Cycling,30.0,28.0,2:412:41,AG_Driedaagse_Brugge_De_Panne_ME,0,21 October 2020,47.71 km/h,0,188.6 km,31
