,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,51,DENNIS Rohan,27,BMC Racing Team,40.0,35.0,0:14:21,52.683,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
1,2,2.0,+0:14,171,CASTROVIEJO Jonathan,30,Team Sky,15.0,20.0,0:140:14,51.84,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
2,3,3.0,+0:16,57,SCOTSON Miles,24,BMC Racing Team,6.0,12.0,0:160:16,51.722,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
3,4,4.0,+0:16,151,VAN EMDEN Jos,33,Team LottoNL-Jumbo,,9.0,",,0:16",51.722,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
4,5,5.0,+0:16,186,KELDERMAN Wilco,26,Team Sunweb,,7.0,",,0:16",51.722,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
5,6,6.0,+0:17,53,BOOKWALTER Brent,34,BMC Racing Team,,5.0,0:170:17,51.663000000000004,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
6,7,41.0,+1:12,182,ARNDT Nikias,26,Team Sunweb,,3.0,0:220:22,51.37,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
7,8,7.0,+0:23,52,BEVIN Patrick,27,BMC Racing Team,,2.0,0:230:23,51.312,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
8,9,8.0,+0:24,101,VALVERDE Alejandro,37,Movistar Team,,1.0,0:270:27,51.081,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
9,10,93.0,+2:55,143,DOWSETT Alex,29,Team Katusha Alpecin,,,0:290:29,50.966,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
10,11,102.0,+4:37,133,CRADDOCK Lawson,26,Team EF Education First-Drapac p/b Cannondale,,,0:300:30,50.909,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
11,12,9.0,+0:31,181,DUMOULIN Tom,27,Team Sunweb,,,0:310:31,50.852,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
12,13,10.0,+0:34,111,ALAPHILIPPE Julian,25,Quick-Step Floors,,,0:340:34,50.681999999999995,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
13,14,110.0,+5:21,192,BRÄNDLE Matthias,28,Trek - Segafredo,,,0:370:37,50.512,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
14,15,12.0,+0:37,7,ULISSI Diego,28,UAE-Team Emirates,,,",,0:37",50.512,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
15,16,13.0,+0:38,56,ROSSKOPF Joey,28,BMC Racing Team,,,0:380:38,50.456,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
16,17,14.0,+0:38,106,SÜTTERLIN Jasha,25,Movistar Team,,,",,0:38",50.456,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
17,18,108.0,+5:19,132,CLARKE Will,32,Team EF Education First-Drapac p/b Cannondale,,,0:400:40,50.343999999999994,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
18,19,15.0,+0:40,147,ZAKARIN Ilnur,28,Team Katusha Alpecin,,,",,0:40",50.343999999999994,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
19,20,58.0,+1:30,93,BAUER Jack,32,Mitchelton-Scott,,,",,0:40",50.343999999999994,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
20,21,35.0,+1:05,112,HODEG Álvaro José,21,Quick-Step Floors,,,0:440:44,50.122,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
21,22,16.0,+0:44,61,MAJKA Rafał,28,BORA - hansgrohe,,,",,0:44",50.122,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
22,23,103.0,+4:51,54,CARUSO Damiano,30,BMC Racing Team,,,0:450:45,50.066,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
23,24,17.0,+0:47,1,COSTA Rui,31,UAE-Team Emirates,,,0:470:47,49.956,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
24,25,18.0,+0:47,194,FRAME Alex,24,Trek - Segafredo,,,",,0:47",49.956,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
25,26,20.0,+0:48,64,BUCHMANN Emanuel,25,BORA - hansgrohe,,,0:480:48,49.901,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
26,27,59.0,+1:33,96,KLUGE Roger,32,Mitchelton-Scott,,,0:490:49,49.846000000000004,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
27,28,21.0,+0:49,21,LÓPEZ Miguel Ángel,24,Astana Pro Team,,,",,0:49",49.846000000000004,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
28,29,22.0,+0:49,91,YATES Simon,25,Mitchelton-Scott,,,",,0:49",49.846000000000004,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
29,30,23.0,+0:49,34,IZAGIRRE Ion,29,Bahrain Merida Pro Cycling Team,,,",,0:49",49.846000000000004,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
30,31,11.0,+0:36,117,VIVIANI Elia,29,Quick-Step Floors,,,",,0:49",49.846000000000004,Abu_Dhabi_Tour,4,24 February 2018,52.68 km/h,0,12.6 km,29
