,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,35.0,+10:43,21,SAGAN Peter,27,BORA - hansgrohe,40.0,35.0,4:53:26,Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
1,2,54.0,+17:43,48,ZABEL Rick,23,Team Katusha Alpecin,15.0,20.0,",,0:00",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
2,3,58.0,+17:49,102,CONSONNI Simone,22,UAE Team Emirates,6.0,12.0,",,0:00",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
3,4,56.0,+17:49,41,KRISTOFF Alexander,29,Team Katusha Alpecin,,9.0,",,0:00",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
4,5,92.0,+20:50,13,DRUCKER Jempy,30,BMC Racing Team,,7.0,",,0:00",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
5,6,55.0,+17:49,135,JANSE VAN RENSBURG Reinardt,28,Team Dimension Data,,5.0,",,0:00",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
6,7,96.0,+20:54,36,PHINNEY Taylor,26,Cannondale-Drapac Pro Cycling Team,,3.0,",,0:00",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
7,8,94.0,+20:50,117,SINKELDAM Ramon,28,Team Sunweb,,2.0,",,0:00",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
8,9,57.0,+17:49,147,MCCABE Travis,28,UnitedHealthcare Pro Cycling Team,,1.0,",,0:00",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
9,10,84.0,+18:54,118,TEUNISSEN Mike,24,Team Sunweb,,,",,0:00",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
10,11,108.0,+21:20,126,MINALI Riccardo,22,Astana Pro Team,,,",,0:00",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
11,12,90.0,+20:40,1,KITTEL Marcel,29,Quick-Step Floors,,,",,0:00",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
12,13,5.0,+0:45,61,GESINK Robert,30,Team LottoNL-Jumbo,,,",,0:00",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
13,14,37.0,+12:42,121,BRESCHEL Matti,32,Astana Pro Team,,,",,0:00",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
14,15,93.0,+20:50,51,DEGENKOLB John,28,Trek - Segafredo,,,",,0:00",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
15,16,2.0,+0:02,62,BENNETT George,27,Team LottoNL-Jumbo,,,0:030:03,Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
16,17,6.0,+0:48,11,BOOKWALTER Brent,33,BMC Racing Team,,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
17,18,32.0,+5:53,7,TRENTIN Matteo,27,Quick-Step Floors,,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
18,19,64.0,+17:56,57,REIJNEN Kiel,30,Trek - Segafredo,,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
19,20,95.0,+20:53,38,WIPPERT Wouter,26,Cannondale-Drapac Pro Cycling Team,,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
20,21,19.0,+1:25,16,SÁNCHEZ Samuel,39,BMC Racing Team,,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
21,22,66.0,+17:56,12,BOHLI Tom,23,BMC Racing Team,,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
22,23,49.0,+15:21,77,SOUPE Geoffrey,29,"Cofidis, Solutions Crédits",,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
23,24,1.0,+0:00,25,MAJKA Rafał,27,BORA - hansgrohe,,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
24,25,65.0,+17:56,122,DE VREESE Laurens,28,Astana Pro Team,,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
25,26,99.0,+20:57,157,VERSCHOOR Martijn,32,Team Novo Nordisk,,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
26,27,14.0,+0:55,75,MATÉ Luis Ángel,33,"Cofidis, Solutions Crédits",,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
27,28,7.0,+0:48,116,OOMEN Sam,21,Team Sunweb,,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
28,29,51.0,+16:04,55,GUERREIRO Ruben,22,Trek - Segafredo,,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
29,30,20.0,+1:25,46,RESTREPO Jhonatan,22,Team Katusha Alpecin,,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
30,31,8.0,+0:48,31,TALANSKY Andrew,28,Cannondale-Drapac Pro Cycling Team,,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
31,32,67.0,+17:56,163,BERRY Joshua,26,Jelly Belly p/b Maxxis,,,",,0:03",Amgen_Tour_of_California,3,16 May 2017,38.13 km/h,0,186.5 km,50
