,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,54,+42:53,93,DIBBEN Jonathan,23,Team Sky,40.0,35.0,0:28:27,50.615,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
1,2,4,+0:45,11,BOOKWALTER Brent,33,BMC Racing Team,15.0,20.0,0:070:07,50.408,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
2,3,3,+0:36,31,TALANSKY Andrew,28,Cannondale-Drapac Pro Cycling Team,6.0,12.0,0:160:16,50.145,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
3,4,1,+0:00,62,BENNETT George,27,Team LottoNL-Jumbo,,9.0,0:180:18,50.086999999999996,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
4,5,103,+52:56,104,GANNA Filippo,20,UAE Team Emirates,,7.0,0:210:21,50.0,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
5,6,15,+4:19,5,SCHACHMANN Maximilian,23,Quick-Step Floors,,5.0,",,0:21",50.0,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
6,7,40,+28:08,21,SAGAN Peter,27,BORA - hansgrohe,,3.0,0:230:23,49.942,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
7,8,76,+47:34,23,BODNAR Maciej,32,BORA - hansgrohe,,2.0,",,0:23",49.942,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
8,9,87,+48:50,14,ELMIGER Martin,38,BMC Racing Team,,1.0,0:250:25,49.885,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
9,10,45,+31:47,45,POLITT Nils,23,Team Katusha Alpecin,,,0:270:27,49.827,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
10,11,6,+1:54,106,LAENGEN Vegard Stake,28,UAE Team Emirates,,,0:280:28,49.798,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
11,12,62,+45:01,12,BOHLI Tom,23,BMC Racing Team,,,",,0:28",49.798,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
12,13,89,+49:24,36,PHINNEY Taylor,26,Cannondale-Drapac Pro Cycling Team,,,0:360:36,49.57,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
13,14,102,+52:45,18,SCOTSON Miles,23,BMC Racing Team,,,0:370:37,49.541000000000004,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
14,15,100,+52:40,47,WÜRTZ SCHMIDT Mads,23,Team Katusha Alpecin,,,0:390:39,49.485,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
15,16,20,+7:46,17,SCHÄR Michael,30,BMC Racing Team,,,0:430:43,49.371,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
16,17,21,+8:52,131,KING Ben,28,Team Dimension Data,,,0:440:44,49.343,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
17,18,72,+46:33,1,KITTEL Marcel,29,Quick-Step Floors,,,0:460:46,49.287,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
18,19,43,+31:09,84,HUFFMAN Evan,27,Rally Cycling,,,0:540:54,49.063,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
19,20,18,+6:34,167,ȚVETCOV Serghei,28,Jelly Belly p/b Maxxis,,,0:570:57,48.98,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
20,21,5,+1:00,92,BOSWELL Ian,26,Team Sky,,,0:590:59,48.924,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
21,22,2,+0:35,25,MAJKA Rafał,27,BORA - hansgrohe,,,",,0:59",48.924,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
22,23,7,+2:12,95,GEOGHEGAN HART Tao,22,Team Sky,,,1:021:02,48.841,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
23,24,10,+3:14,58,ZUBELDIA Haimar,40,Trek - Segafredo,,,",,1:02",48.841,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
24,25,50,+40:58,68,VERMEULEN Alexey,22,Team LottoNL-Jumbo,,,1:051:05,48.758,Amgen_Tour_of_California,6,19 May 2017,50.62 km/h,0,24 km,50
