,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,201,GASPAROTTO Enrico,34,Wanty - Groupe Gobert,500.0,225.0,6:18:03,Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
1,2,98,VALGREN Michael,24,Tinkoff,400.0,150.0,",,0:00",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
2,3,241,COLBRELLI Sonny,25,Bardiani - CSF,325.0,110.0,0:040:04,Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
3,4,213,COQUARD Bryan,23,Direct Energie,275.0,90.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
4,5,31,MATTHEWS Michael,25,Orica GreenEDGE,225.0,80.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
5,6,11,ALAPHILIPPE Julian,23,Etixx - Quick Step,175.0,70.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
6,7,88,ULISSI Diego,26,Lampre - Merida,150.0,60.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
7,8,23,VISCONTI Giovanni,33,Movistar Team,125.0,50.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
8,9,68,VLIEGEN Loïc,22,BMC Racing Team,100.0,46.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
9,10,58,WELLENS Tim,24,Lotto Soudal,85.0,42.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
10,11,32,GERRANS Simon,35,Orica GreenEDGE,70.0,38.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
11,12,91,KREUZIGER Roman,29,Tinkoff,60.0,34.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
12,13,131,BAKELANTS Jan,30,AG2R La Mondiale,50.0,30.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
13,14,101,MOLLEMA Bauke,29,Trek - Segafredo,40.0,26.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
14,15,43,BARGUIL Warren,24,Team Giant - Alpecin,35.0,22.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
15,16,196,LAMMERTINK Maurits,25,Roompot - Oranje Peloton,30.0,20.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
16,17,81,COSTA Rui,29,Lampre - Merida,30.0,18.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
17,18,67,TEUNS Dylan,24,BMC Racing Team,30.0,17.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
18,19,141,VICHOT Arthur,27,FDJ,30.0,16.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
19,20,27,MORENO Daniel,34,Movistar Team,30.0,15.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
20,21,181,DE TIER Floris,24,Topsport Vlaanderen - Baloise,20.0,14.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
21,22,118,ROSA Diego,27,Astana Pro Team,20.0,13.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
22,23,72,GESINK Robert,29,Team LottoNL-Jumbo,20.0,12.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
23,24,25,IZAGIRRE Ion,27,Movistar Team,20.0,11.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
24,25,52,GALLOPIN Tony,27,Lotto Soudal,20.0,10.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
25,26,51,VANENDERT Jelle,31,Lotto Soudal,20.0,9.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
26,27,66,SÁNCHEZ Samuel,38,BMC Racing Team,20.0,8.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
27,28,2,HENAO Sergio,28,Team Sky,20.0,7.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
28,29,5,NORDHAUG Lars Petter,31,Team Sky,20.0,6.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
29,30,78,KELDERMAN Wilco,25,Team LottoNL-Jumbo,20.0,5.0,",,0:04",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
30,31,17,VAKOČ Petr,23,Etixx - Quick Step,10.0,5.0,0:070:07,Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
31,32,164,HOWES Alex,28,Cannondale Pro Cycling Team,10.0,5.0,0:340:34,Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
32,33,172,PAUWELS Serge,32,Team Dimension Data,10.0,5.0,",,0:34",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
33,34,65,HERMANS Ben,29,BMC Racing Team,10.0,5.0,",,0:34",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
34,35,155,NAESEN Oliver,25,IAM Cycling,10.0,5.0,0:400:40,Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
35,36,243,CICCONE Giulio,21,Bardiani - CSF,10.0,5.0,",,0:40",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
36,37,162,BETTIOL Alberto,22,Cannondale Pro Cycling Team,10.0,5.0,",,0:40",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
37,38,48,PREIDLER Georg,25,Team Giant - Alpecin,10.0,5.0,",,0:40",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
38,39,34,IMPEY Daryl,31,Orica GreenEDGE,10.0,5.0,",,0:40",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
39,40,86,MORI Manuele,35,Lampre - Merida,10.0,5.0,",,0:40",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
40,41,6,POELS Wout,28,Team Sky,10.0,5.0,",,0:40",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
41,42,45,GESCHKE Simon,30,Team Giant - Alpecin,10.0,5.0,",,0:40",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
42,43,14,JUNGELS Bob,23,Etixx - Quick Step,10.0,5.0,",,0:40",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
43,44,156,WARBASSE Larry,25,IAM Cycling,10.0,5.0,",,0:40",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
44,45,116,SÁNCHEZ Luis León,32,Astana Pro Team,10.0,5.0,",,0:40",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
45,46,191,WEENING Pieter,35,Roompot - Oranje Peloton,10.0,5.0,",,0:40",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
46,47,161,CLARKE Simon,29,Cannondale Pro Cycling Team,10.0,5.0,",,0:40",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
47,48,112,DE VREESE Laurens,27,Astana Pro Team,10.0,5.0,1:011:01,Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
48,49,71,VANMARCKE Sep,27,Team LottoNL-Jumbo,10.0,5.0,",,1:01",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
49,50,134,GAUTIER Cyril,28,AG2R La Mondiale,10.0,5.0,",,1:01",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
50,51,113,GRIVKO Andrey,32,Astana Pro Team,5.0,5.0,",,1:01",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
51,52,3,HENAO Sebastián,22,Team Sky,5.0,5.0,",,1:01",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
52,53,16,SERRY Pieter,27,Etixx - Quick Step,5.0,5.0,1:351:35,Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
53,54,77,BATTAGLIN Enrico,26,Team LottoNL-Jumbo,5.0,5.0,",,1:35",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
54,55,114,LUTSENKO Alexey,23,Astana Pro Team,5.0,5.0,2:052:05,Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
55,56,171,BOASSON HAGEN Edvald,28,Team Dimension Data,3.0,5.0,2:072:07,Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
56,57,37,ALBASINI Michael,35,Orica GreenEDGE,3.0,5.0,2:122:12,Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
57,58,13,TRENTIN Matteo,26,Etixx - Quick Step,3.0,5.0,3:193:19,Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
58,59,74,LINDEMAN Bert-Jan,26,Team LottoNL-Jumbo,3.0,5.0,3:373:37,Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
59,60,168,SLAGTER Tom-Jelte,26,Cannondale Pro Cycling Team,3.0,5.0,4:184:18,Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
60,61,178,VENTER Jaco,29,Team Dimension Data,,5.0,4:324:32,Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
61,62,177,SBARAGLI Kristian,25,Team Dimension Data,,5.0,",,4:32",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
62,63,245,ROTA Lorenzo,20,Bardiani - CSF,,5.0,",,4:32",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
63,64,82,COSTA Mário,30,Lampre - Merida,,5.0,",,4:32",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
64,65,127,TSATEVICH Alexey,26,Team Katusha,,5.0,",,4:32",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
65,66,193,DUIJN Huub,31,Roompot - Oranje Peloton,,5.0,",,4:32",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
66,67,167,SKUJIŅŠ Toms,24,Cannondale Pro Cycling Team,,5.0,",,4:32",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
67,68,87,POLANC Jan,23,Lampre - Merida,,5.0,",,4:32",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
68,69,93,KIŠERLOVSKI Robert,29,Tinkoff,,5.0,",,4:32",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
69,70,123,LOSADA Alberto,34,Team Katusha,,5.0,",,4:32",Amstel_Gold_Race,0,17 April 2016,39.47 km/h,0,248.7 km,10
