,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,23,KÜNG Stefan,23,BMC Racing Team,50.0,50.0,0:10:58,49.24,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
1,2,2,+0:04,52,BODNAR Maciej,32,BORA - hansgrohe,20.0,30.0,0:040:04,48.943000000000005,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
2,3,3,+0:05,41,DUMOULIN Tom,26,Team Sunweb,8.0,18.0,0:050:05,48.869,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
3,4,4,+0:08,42,KRAGH ANDERSEN Søren,22,Team Sunweb,,13.0,0:080:08,48.648999999999994,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
4,5,5,+0:10,31,BOOM Lars,31,Team LottoNL-Jumbo,,10.0,0:100:10,48.503,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
5,6,6,+0:12,6,LAMPAERT Yves,26,Quick-Step Floors,,7.0,0:120:12,48.358000000000004,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
6,7,7,+0:14,66,BRÄNDLE Matthias,27,Trek - Segafredo,,4.0,0:140:14,48.214,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
7,8,9,+0:15,25,SCOTSON Miles,23,BMC Racing Team,,3.0,0:150:15,48.143,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
8,9,10,+0:17,11,WELLENS Tim,26,Lotto Soudal,,2.0,0:170:17,48.0,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
9,10,11,+0:17,34,VAN EMDEN Jos,32,Team LottoNL-Jumbo,,1.0,",,0:17",48.0,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
10,11,12,+0:18,164,DOWSETT Alex,28,Movistar Team,,,0:180:18,47.928999999999995,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
11,12,13,+0:19,35,ROOSEN Timo,24,Team LottoNL-Jumbo,,,0:190:19,47.858000000000004,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
12,13,14,+0:20,143,GANNA Filippo,21,UAE Team Emirates,,,0:200:20,47.788000000000004,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
13,14,15,+0:21,211,VAN AERT Wout,22,Vérandas Willems-Crelan,,,0:210:21,47.717,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
14,15,16,+0:22,176,GOUGEARD Alexis,24,AG2R La Mondiale,,,0:220:22,47.647,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
15,16,17,+0:24,168,SÜTTERLIN Jasha,24,Movistar Team,,,0:240:24,47.507,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
16,17,18,+0:25,1,TERPSTRA Niki,33,Quick-Step Floors,,,0:250:25,47.438,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
17,18,8,+0:15,51,SAGAN Peter,27,BORA - hansgrohe,,,",,0:25",47.438,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
18,19,19,+0:25,94,MULLEN Ryan,23,Cannondale-Drapac Pro Cycling Team,,,",,0:25",47.438,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
19,20,20,+0:26,103,EDMONDSON Alex,23,ORICA-Scott,,,0:260:26,47.368,BinckBank_Tour,2,08 August 2017,49.24 km/h,0,9 km,21
