,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,111,BENNETT Sam,28,BORA - hansgrohe,50.0,50.0,3:44:04,BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
1,2,3.0,+0:20,31,GROENEWEGEN Dylan,26,Team Jumbo-Visma,20.0,30.0,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
2,3,2.0,+0:20,101,PHILIPSEN Jasper,21,UAE-Team Emirates,8.0,18.0,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
3,4,20.0,+0:30,41,ROELANDTS Jürgen,34,Movistar Team,,13.0,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
4,5,43.0,+0:30,16,SÉNÉCHAL Florian,26,Deceuninck - Quick Step,,10.0,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
5,6,9.0,+0:24,91,THEUNS Edward,28,Trek - Segafredo,,7.0,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
6,7,15.0,+0:30,204,DUPONT Timothy,31,Wanty - Gobert Cycling Team,,4.0,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
7,8,19.0,+0:30,53,MARECZKO Jakub,25,CCC Team,,3.0,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
8,9,141.0,+5:55,141,DÉMARE Arnaud,27,Groupama - FDJ,,2.0,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
9,10,16.0,+0:30,191,CAPIOT Amaury,26,Sport Vlaanderen - Baloise,,1.0,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
10,11,17.0,+0:30,161,NAESEN Oliver,28,AG2R La Mondiale,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
11,12,24.0,+0:30,131,CLARKE Simon,33,EF Education First,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
12,13,22.0,+0:30,51,VAN AVERMAET Greg,34,CCC Team,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
13,14,26.0,+0:30,193,MENTEN Milan,22,Sport Vlaanderen - Baloise,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
14,15,55.0,+0:30,132,HOFLAND Moreno,27,EF Education First,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
15,16,27.0,+0:30,210,VALLÉE Boris,26,Wanty - Gobert Cycling Team,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
16,17,18.0,+0:30,97,PEDERSEN Mads,23,Trek - Segafredo,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
17,18,69.0,+0:30,227,BOUDAT Thomas,25,Team Total Direct Energie,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
18,19,6.0,+0:23,157,TANFIELD Harry,24,Team Katusha Alpecin,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
19,20,30.0,+0:30,145,MADOUAS Valentin,23,Groupama - FDJ,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
20,21,40.0,+0:30,196,VAN GESTEL Dries,24,Sport Vlaanderen - Baloise,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
21,22,47.0,+0:30,92,FELLINE Fabio,29,Trek - Segafredo,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
22,23,49.0,+0:30,127,VERMOTE Julien,30,Team Dimension Data,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
23,24,36.0,+0:30,5,GARCÍA CORTINA Iván,23,Bahrain Merida,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
24,25,14.0,+0:28,182,ASSELMAN Jesper,29,Roompot - Charles,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
25,26,11.0,+0:26,35,TEUNISSEN Mike,26,Team Jumbo-Visma,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
26,27,4.0,+0:22,56,WIŚNIOWSKI Łukasz,27,CCC Team,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
27,28,25.0,+0:30,122,GIBBONS Ryan,25,Team Dimension Data,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
28,29,21.0,+0:30,25,MAES Nikolas,33,Lotto Soudal,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
29,30,5.0,+0:22,57,VAN KEIRSBULCK Guillaume,28,CCC Team,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
30,31,50.0,+0:30,44,MAS Lluís,29,Movistar Team,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
31,32,38.0,+0:30,115,MCCARTHY Jay,26,BORA - hansgrohe,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
32,33,61.0,+0:30,32,DE PLUS Laurens,23,Team Jumbo-Visma,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
33,34,34.0,+0:30,81,BAKELANTS Jan,33,Team Sunweb,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
34,35,31.0,+0:30,143,KÜNG Stefan,25,Groupama - FDJ,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
35,36,28.0,+0:30,84,KRAGH ANDERSEN Søren,25,Team Sunweb,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
36,37,32.0,+0:30,11,GILBERT Philippe,37,Deceuninck - Quick Step,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
37,38,42.0,+0:30,225,PETIT Adrien,28,Team Total Direct Energie,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
38,39,56.0,+0:30,184,LEYSEN Senne,23,Roompot - Charles,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
39,40,63.0,+0:30,85,NIEUWENHUIS Joris,23,Team Sunweb,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
40,41,35.0,+0:30,86,PEDERSEN Casper,23,Team Sunweb,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
41,42,23.0,+0:30,218,NÕMMELA Aksel,24,Wallonie-Bruxelles,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
42,43,82.0,+0:30,146,SCOTSON Miles,25,Groupama - FDJ,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
43,44,89.0,+0:30,222,CARDIS Romain,27,Team Total Direct Energie,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
44,45,48.0,+0:30,66,SMITH Dion,26,Mitchelton-Scott,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
45,46,13.0,+0:27,195,SPRENGERS Thomas,29,Sport Vlaanderen - Baloise,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
46,47,97.0,+0:30,71,VAN BAARLE Dylan,27,Team INEOS,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
47,48,51.0,+0:30,186,VAN SCHIP Jan-Willem,24,Roompot - Charles,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
48,49,75.0,+0:30,175,GRUZDEV Dmitriy,33,Astana Pro Team,,,",,0:00",BinckBank_Tour,3,14 August 2019,44.692 km/h,0,166.9 km,36
