,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,2.0,+0:07,191,KRAGH ANDERSEN Søren,26,Team Sunweb,50.0,50.0,0:09:59,48.922,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
1,2,3.0,+0:13,131,KÜNG Stefan,26,Groupama - FDJ,20.0,30.0,0:060:06,48.43600000000001,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
2,3,4.0,+0:14,112,BISSEGGER Stefan,22,EF Pro Cycling,8.0,18.0,0:070:07,48.356,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
3,4,1.0,+0:00,201,PEDERSEN Mads,24,Trek - Segafredo,,13.0,0:090:09,48.196999999999996,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
4,5,5.0,+0:17,11,VAN DER POEL Mathieu,25,Alpecin-Fenix,,10.0,0:130:13,47.882,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
5,6,40.0,+1:12,197,SÜTTERLIN Jasha,27,Team Sunweb,,7.0,0:170:17,47.571000000000005,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
6,7,43.0,+1:18,36,STEIMLE Jannik,24,Deceuninck - Quick Step,,4.0,0:190:19,47.417,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
7,8,7.0,+0:24,33,LAMPAERT Yves,29,Deceuninck - Quick Step,,3.0,0:200:20,47.341,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
8,9,8.0,+0:28,167,WALSCHEID Max,27,NTT Pro Cycling,,2.0,0:210:21,47.265,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
9,10,57.0,+1:37,141,LAPORTE Christophe,27,"Cofidis, Solutions Crédits",,1.0,",,0:21",47.265,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
10,11,35.0,+1:06,99,POLITT Nils,26,Israel Start-Up Nation,,,0:230:23,47.113,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
11,12,10.0,+0:31,34,SÉNÉCHAL Florian,27,Deceuninck - Quick Step,,,0:240:24,47.037,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
12,13,11.0,+0:32,66,VERMEERSCH Florian,21,Lotto Soudal,,,0:250:25,46.961999999999996,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
13,14,90.0,+2:59,137,LUDVIGSSON Tobias,29,Groupama - FDJ,,,0:270:27,46.812,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
14,15,126.0,+6:35,24,VAN HOOYDONCK Nathan,24,CCC Team,,,",,0:27",46.812,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
15,16,9.0,+0:30,1,TEUNISSEN Mike,28,Team Jumbo-Visma,,,0:280:28,46.736999999999995,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
16,17,6.0,+0:19,101,PHILIPSEN Jasper,22,UAE-Team Emirates,,,",,0:28",46.736999999999995,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
17,18,12.0,+0:36,205,MULLEN Ryan,26,Trek - Segafredo,,,0:290:29,46.662,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
18,19,63.0,+1:47,123,GARCÍA CORTINA Iván,24,Bahrain - McLaren,,,0:310:31,46.513999999999996,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
19,20,53.0,+1:31,113,LANGEVELD Sebastian,35,EF Pro Cycling,,,0:320:32,46.441,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
20,21,13.0,+0:39,192,EEKHOFF Nils,22,Team Sunweb,,,",,0:32",46.441,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
21,22,55.0,+1:32,193,KANTER Max,22,Team Sunweb,,,0:330:33,46.367,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
22,23,77.0,+2:23,97,WÜRTZ SCHMIDT Mads,26,Israel Start-Up Nation,,,0:350:35,46.221000000000004,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
23,24,56.0,+1:34,133,GENIETS Kevin,23,Groupama - FDJ,,,",,0:35",46.221000000000004,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
24,25,125.0,+6:30,104,OLIVEIRA Ivo,24,UAE-Team Emirates,,,0:360:36,46.148,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
25,26,45.0,+1:19,115,RUTSCH Jonas,22,EF Pro Cycling,,,",,0:36",46.148,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
26,27,14.0,+0:44,202,KIRSCH Alex,28,Trek - Segafredo,,,0:370:37,46.075,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
27,28,130.0,+6:53,116,SCULLY Tom,30,EF Pro Cycling,,,0:380:38,46.003,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
28,29,96.0,+3:20,22,BEVIN Patrick,29,CCC Team,,,",,0:38",46.003,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
29,30,50.0,+1:25,203,LIEPIŅŠ Emīls,27,Trek - Segafredo,,,",,0:38",46.003,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
30,31,15.0,+0:46,68,DEGENKOLB John,31,Lotto Soudal,,,0:390:39,45.931000000000004,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
31,32,17.0,+0:47,143,LEMOINE Cyril,37,"Cofidis, Solutions Crédits",,,0:400:40,45.858999999999995,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
32,33,18.0,+0:47,195,DAINESE Alberto,22,Team Sunweb,,,",,0:40",45.858999999999995,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
33,34,79.0,+2:30,157,STANNARD Robert,22,Mitchelton-Scott,,,0:410:41,45.788000000000004,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
34,35,19.0,+0:48,172,DOULL Owain,27,INEOS Grenadiers,,,",,0:41",45.788000000000004,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
35,36,105.0,+4:36,184,MEURISSE Xandro,28,Circus - Wanty Gobert,,,",,0:41",45.788000000000004,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
36,37,147.0,+10:37,156,EDMONDSON Alex,26,Mitchelton-Scott,,,0:420:42,45.716,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
37,38,20.0,+0:49,31,ŠTYBAR Zdeněk,34,Deceuninck - Quick Step,,,",,0:42",45.716,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
38,39,61.0,+1:42,71,TERPSTRA Niki,36,Team Total Direct Energie,,,0:430:43,45.645,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
39,40,21.0,+0:50,37,VAN LERBERGHE Bert,28,Deceuninck - Quick Step,,,",,0:43",45.645,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
40,41,62.0,+1:42,224,HOLLMANN Juri,21,Movistar Team,,,",,0:43",45.645,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
41,42,119.0,+6:18,163,BOASSON HAGEN Edvald,33,NTT Pro Cycling,,,0:440:44,45.574,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
42,43,113.0,+5:56,106,BOHLI Tom,26,UAE-Team Emirates,,,0:450:45,45.503,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
43,44,22.0,+0:52,222,JACOBS Johan,23,Movistar Team,,,",,0:45",45.503,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
44,45,148.0,+11:11,154,DURBRIDGE Luke,29,Mitchelton-Scott,,,",,0:45",45.503,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
45,46,23.0,+0:52,53,DRUCKER Jempy,34,BORA - hansgrohe,,,",,0:45",45.503,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
46,47,70.0,+2:02,19,LEYSEN Senne,24,Alpecin-Fenix,,,0:460:46,45.433,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
47,48,71.0,+2:03,23,VAN HOECKE Gijs,28,CCC Team,,,0:470:47,45.361999999999995,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
48,49,109.0,+4:57,177,RODRIGUEZ Carlos,19,INEOS Grenadiers,,,",,0:47",45.361999999999995,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
49,50,134.0,+6:56,155,SCOTSON Callum,24,Mitchelton-Scott,,,",,0:47",45.361999999999995,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
50,51,24.0,+0:55,32,ARCHBOLD Shane,31,Deceuninck - Quick Step,,,0:480:48,45.292,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
51,52,82.0,+2:37,65,VAN GOETHEM Brian,29,Lotto Soudal,,,",,0:48",45.292,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
52,53,16.0,+0:46,14,RICKAERT Jonas,26,Alpecin-Fenix,,,",,0:48",45.292,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
53,54,83.0,+2:37,102,BYSTRØM Sven Erik,28,UAE-Team Emirates,,,",,0:48",45.292,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
54,55,25.0,+0:56,13,MERLIER Tim,27,Alpecin-Fenix,,,0:490:49,45.222,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
55,56,114.0,+6:01,117,VAN DEN BERG Julius,23,EF Pro Cycling,,,0:500:50,45.153,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
56,57,72.0,+2:03,15,RIESEBEEK Oscar,27,Alpecin-Fenix,,,",,0:50",45.153,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
57,58,123.0,+6:28,27,KOCH Jonas,27,CCC Team,,,",,0:50",45.153,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
58,59,128.0,+6:50,151,SMITH Dion,27,Mitchelton-Scott,,,",,0:50",45.153,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
59,60,27.0,+0:58,46,NAESEN Lawrence,28,AG2R La Mondiale,,,0:510:51,45.083,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
60,61,92.0,+3:06,196,SALMON Martin,22,Team Sunweb,,,",,0:51",45.083,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
61,62,26.0,+0:57,121,CAVENDISH Mark,35,Bahrain - McLaren,,,",,0:51",45.083,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
62,63,28.0,+0:58,171,LAWLESS Chris,24,INEOS Grenadiers,,,",,0:51",45.083,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
63,64,93.0,+3:11,138,VINCENT Léo,24,Groupama - FDJ,,,",,0:51",45.083,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
64,65,122.0,+6:27,4,ROOSEN Timo,27,Team Jumbo-Visma,,,0:530:53,44.945,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
65,66,29.0,+1:00,43,DUVAL Julien,30,AG2R La Mondiale,,,",,0:53",44.945,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
66,67,65.0,+1:49,211,CAPIOT Amaury,27,Sport Vlaanderen - Baloise,,,0:540:54,44.876000000000005,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
67,68,106.0,+4:49,176,RIVERA Brandon Smith,24,INEOS Grenadiers,,,",,0:54",44.876000000000005,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
68,69,30.0,+1:02,187,PASQUALON Andrea,32,Circus - Wanty Gobert,,,0:550:55,44.806999999999995,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
69,70,144.0,+9:44,5,EENKHOORN Pascal,23,Team Jumbo-Visma,,,",,0:55",44.806999999999995,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
70,71,58.0,+1:38,212,BEULLENS Cédric,23,Sport Vlaanderen - Baloise,,,",,0:55",44.806999999999995,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
71,72,117.0,+6:14,162,GOGL Michael,26,NTT Pro Cycling,,,0:560:56,44.739,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
72,73,31.0,+1:03,125,HAUSSLER Heinrich,36,Bahrain - McLaren,,,",,0:56",44.739,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
73,74,66.0,+1:55,145,TOUZÉ Damien,24,"Cofidis, Solutions Crédits",,,",,0:56",44.739,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
74,75,102.0,+4:15,236,SUTER Joel,21,Bingoal - Wallonie Bruxelles,,,",,0:56",44.739,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
75,76,32.0,+1:03,42,DILLIER Silvan,30,AG2R La Mondiale,,,",,0:56",44.739,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
76,77,59.0,+1:40,126,SIEBERG Marcel,38,Bahrain - McLaren,,,0:570:57,44.67100000000001,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
77,78,34.0,+1:04,75,MANZIN Lorrenzo,26,Team Total Direct Energie,,,",,0:57",44.67100000000001,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
78,79,135.0,+7:48,206,QUARTERMAN Charlie,22,Trek - Segafredo,,,",,0:57",44.67100000000001,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
79,80,87.0,+2:47,223,NORSGAARD Mathias,23,Movistar Team,,,0:580:58,44.603,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
80,81,64.0,+1:49,235,DE BIE Sean,28,Bingoal - Wallonie Bruxelles,,,",,0:58",44.603,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
81,82,124.0,+6:29,21,VAN KEIRSBULCK Guillaume,29,CCC Team,,,",,0:58",44.603,BinckBank_Tour,4,02 October 2020,48.92 km/h,14,8.14 km,17
