,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,11,VAN DER POEL Mathieu,25,Alpecin-Fenix,50.0,50.0,4:07:39,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
1,2,64.0,+9:31,41,NAESEN Oliver,30,AG2R La Mondiale,20.0,30.0,0:040:04,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
2,3,6.0,+1:42,122,COLBRELLI Sonny,30,Bahrain - McLaren,8.0,18.0,",,0:04",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
3,4,2.0,+0:08,191,KRAGH ANDERSEN Søren,26,Team Sunweb,,13.0,",,0:04",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
4,5,3.0,+0:23,131,KÜNG Stefan,26,Groupama - FDJ,,10.0,0:080:08,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
5,6,42.0,+4:21,142,CLAEYS Dimitri,33,"Cofidis, Solutions Crédits",,7.0,0:470:47,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
6,7,4.0,+1:16,33,LAMPAERT Yves,29,Deceuninck - Quick Step,,4.0,0:500:50,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
7,8,25.0,+2:57,123,GARCÍA CORTINA Iván,24,Bahrain - McLaren,,3.0,1:081:08,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
8,9,11.0,+2:06,53,DRUCKER Jempy,34,BORA - hansgrohe,,2.0,1:121:12,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
9,10,7.0,+1:45,34,SÉNÉCHAL Florian,27,Deceuninck - Quick Step,,1.0,",,1:12",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
10,11,15.0,+2:16,187,PASQUALON Andrea,32,Circus - Wanty Gobert,,,",,1:12",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
11,12,57.0,+8:06,151,SMITH Dion,27,Mitchelton-Scott,,,1:141:14,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
12,13,28.0,+3:05,211,CAPIOT Amaury,27,Sport Vlaanderen - Baloise,,,",,1:14",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
13,14,10.0,+2:02,68,DEGENKOLB John,31,Lotto Soudal,,,",,1:14",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
14,15,8.0,+1:49,1,TEUNISSEN Mike,28,Team Jumbo-Visma,,,1:171:17,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
15,16,18.0,+2:30,17,VERMEERSCH Gianni,27,Alpecin-Fenix,,,",,1:17",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
16,17,47.0,+5:55,184,MEURISSE Xandro,28,Circus - Wanty Gobert,,,",,1:17",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
17,18,5.0,+1:21,201,PEDERSEN Mads,24,Trek - Segafredo,,,1:211:21,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
18,19,54.0,+7:37,103,COVI Alessandro,22,UAE-Team Emirates,,,",,1:21",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
19,20,14.0,+2:15,172,DOULL Owain,27,INEOS Grenadiers,,,1:251:25,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
20,21,9.0,+1:59,66,VERMEERSCH Florian,21,Lotto Soudal,,,",,1:25",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
21,22,17.0,+2:25,46,NAESEN Lawrence,28,AG2R La Mondiale,,,",,1:25",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
22,23,19.0,+2:36,99,POLITT Nils,26,Israel Start-Up Nation,,,1:281:28,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
23,24,52.0,+7:23,234,ROBEET Ludovic,26,Bingoal - Wallonie Bruxelles,,,",,1:28",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
24,25,21.0,+2:42,197,SÜTTERLIN Jasha,27,Team Sunweb,,,",,1:28",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
25,26,46.0,+5:19,52,BURGHARDT Marcus,37,BORA - hansgrohe,,,1:341:34,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
26,27,60.0,+8:21,24,VAN HOOYDONCK Nathan,24,CCC Team,,,1:441:44,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
27,28,56.0,+8:04,162,GOGL Michael,26,NTT Pro Cycling,,,1:481:48,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
28,29,20.0,+2:37,14,RICKAERT Jonas,26,Alpecin-Fenix,,,1:491:49,BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
29,30,31.0,+3:28,141,LAPORTE Christophe,27,"Cofidis, Solutions Crédits",,,",,1:49",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
30,31,34.0,+3:33,71,TERPSTRA Niki,36,Team Total Direct Energie,,,",,1:49",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
31,32,22.0,+2:43,222,JACOBS Johan,23,Movistar Team,,,",,1:49",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
32,33,38.0,+3:54,23,VAN HOECKE Gijs,28,CCC Team,,,",,1:49",BinckBank_Tour,5,03 October 2020,44.48 km/h,55,183.6 km,17
