,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,37,VANMARCKE Sep,31,EF Education First,400.0,225.0,6:12:23,Bretagne_Classic___Ouest_France,0,01 September 2019,39.975 km/h,43,248.1 km,24
1,2,21,BENOOT Tiesj,25,Lotto Soudal,320.0,150.0,0:030:03,Bretagne_Classic___Ouest_France,0,01 September 2019,39.975 km/h,43,248.1 km,24
2,3,123,HAIG Jack,25,Mitchelton-Scott,260.0,110.0,",,0:03",Bretagne_Classic___Ouest_France,0,01 September 2019,39.975 km/h,43,248.1 km,24
3,4,81,VALGREN Michael,27,Team Dimension Data,220.0,90.0,0:200:20,Bretagne_Classic___Ouest_France,0,01 September 2019,39.975 km/h,43,248.1 km,24
4,5,43,JANSEN Amund Grøndahl,25,Team Jumbo-Visma,180.0,80.0,",,0:20",Bretagne_Classic___Ouest_France,0,01 September 2019,39.975 km/h,43,248.1 km,24
5,6,55,VAN AVERMAET Greg,34,CCC Team,140.0,70.0,",,0:20",Bretagne_Classic___Ouest_France,0,01 September 2019,39.975 km/h,43,248.1 km,24
6,7,3,COSNEFROY Benoît,23,AG2R La Mondiale,120.0,60.0,",,0:20",Bretagne_Classic___Ouest_France,0,01 September 2019,39.975 km/h,43,248.1 km,24
7,8,27,WELLENS Tim,28,Lotto Soudal,100.0,50.0,0:220:22,Bretagne_Classic___Ouest_France,0,01 September 2019,39.975 km/h,43,248.1 km,24
8,9,116,SÉNÉCHAL Florian,26,Deceuninck - Quick Step,80.0,46.0,0:280:28,Bretagne_Classic___Ouest_France,0,01 September 2019,39.975 km/h,43,248.1 km,24
9,10,106,PRADES Eduard,32,Movistar Team,68.0,42.0,",,0:28",Bretagne_Classic___Ouest_France,0,01 September 2019,39.975 km/h,43,248.1 km,24
10,11,65,MOHORIČ Matej,24,Bahrain Merida,56.0,38.0,",,0:28",Bretagne_Classic___Ouest_France,0,01 September 2019,39.975 km/h,43,248.1 km,24
