,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,171,NAESEN Oliver,27,AG2R La Mondiale,400.0,225.0,6:16:34,Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
1,2,37,VALGREN Michael,26,Astana Pro Team,320.0,150.0,",,0:00",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
2,3,96,WELLENS Tim,27,Lotto Soudal,260.0,110.0,0:030:03,Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
3,4,205,MATTHEWS Michael,27,Team Sunweb,220.0,90.0,1:131:13,Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
4,5,217,GUERREIRO Ruben,24,Trek - Segafredo,180.0,80.0,",,1:13",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
5,6,117,ŠTYBAR Zdeněk,32,Quick-Step Floors,140.0,70.0,",,1:13",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
6,7,23,LE GAC Olivier,24,Groupama - FDJ,120.0,60.0,1:151:15,Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
7,8,24,MADOUAS Valentin,22,Groupama - FDJ,100.0,50.0,1:171:17,Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
8,9,173,COSNEFROY Benoît,22,AG2R La Mondiale,80.0,46.0,1:181:18,Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
9,10,115,JAKOBSEN Fabio,21,Quick-Step Floors,68.0,42.0,1:241:24,Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
10,11,1,KRISTOFF Alexander,31,UAE-Team Emirates,56.0,38.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
11,12,45,JANSEN Amund Grøndahl,24,Team LottoNL-Jumbo,48.0,34.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
12,13,213,DEGENKOLB John,29,Trek - Segafredo,40.0,30.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
13,14,34,HOULE Hugo,27,Astana Pro Team,32.0,26.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
14,15,237,SMITH Dion,25,Wanty - Groupe Gobert,28.0,22.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
15,16,226,VELASCO Simone,22,Wilier Triestina - Selle Italia,24.0,20.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
16,17,191,LAPORTE Christophe,25,"Cofidis, Solutions Crédits",24.0,18.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
17,18,184,HARDY Romain,30,Team Fortuneo - Samsic,24.0,17.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
18,19,25,ROUX Anthony,31,Groupama - FDJ,24.0,16.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
19,20,64,COLBRELLI Sonny,28,Bahrain Merida Pro Cycling Team,24.0,15.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
20,21,106,ROJAS José Joaquín,33,Movistar Team,16.0,14.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
21,22,195,SIMON Julien,32,"Cofidis, Solutions Crédits",16.0,13.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
22,23,146,WÜRTZ SCHMIDT Mads,24,Team Katusha Alpecin,16.0,12.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
23,24,132,CALMEJANE Lilian,25,Direct Energie,16.0,11.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
24,25,116,RICHEZE Maximiliano,35,Quick-Step Floors,16.0,10.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
25,26,41,BATTAGLIN Enrico,28,Team LottoNL-Jumbo,16.0,9.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
26,27,235,OFFREDO Yoann,31,Wanty - Groupe Gobert,16.0,8.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
27,28,212,DE KORT Koen,35,Trek - Segafredo,16.0,7.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
28,29,161,BASSO Leonardo,24,Team Sky,16.0,6.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
29,30,2,COSTA Rui,31,UAE-Team Emirates,16.0,5.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
30,31,156,PACHER Quentin,26,Vital Concept Cycling Club,8.0,5.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
31,32,121,IMPEY Daryl,33,Mitchelton-Scott,8.0,5.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
32,33,227,ZARDINI Edoardo,28,Wilier Triestina - Selle Italia,8.0,5.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
33,34,242,FERNÁNDEZ Delio,32,Delko Marseille Provence KTM,8.0,5.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
34,35,47,TOLHOEK Antwan,24,Team LottoNL-Jumbo,8.0,5.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
35,36,81,BOASSON HAGEN Edvald,31,Team Dimension Data,8.0,5.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
36,37,55,SCHÄR Michael,31,BMC Racing Team,8.0,5.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
37,38,7,ULISSI Diego,29,UAE-Team Emirates,8.0,5.0,",,1:24",Bretagne_Classic___Ouest_France,0,26 August 2018,40.93 km/h,21,256.9 km,28
