,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,175,KWIATKOWSKI Michał,27,Team Sky,400.0,225.0,5:52:53,Cl_sica_Ciclista_San_Sebastian,0,29 July 2017,39.28 km/h,0,231 km,24
1,2,101,GALLOPIN Tony,29,Lotto Soudal,320.0,150.0,",,0:00",Cl_sica_Ciclista_San_Sebastian,0,29 July 2017,39.28 km/h,0,231 km,24
2,3,2,MOLLEMA Bauke,30,Trek - Segafredo,260.0,110.0,",,0:00",Cl_sica_Ciclista_San_Sebastian,0,29 July 2017,39.28 km/h,0,231 km,24
3,4,181,DUMOULIN Tom,26,Team Sunweb,220.0,90.0,",,0:00",Cl_sica_Ciclista_San_Sebastian,0,29 July 2017,39.28 km/h,0,231 km,24
4,5,171,LANDA Mikel,27,Team Sky,180.0,80.0,0:020:02,Cl_sica_Ciclista_San_Sebastian,0,29 July 2017,39.28 km/h,0,231 km,24
5,6,72,BETTIOL Alberto,23,Cannondale-Drapac Pro Cycling Team,140.0,70.0,0:280:28,Cl_sica_Ciclista_San_Sebastian,0,29 July 2017,39.28 km/h,0,231 km,24
6,7,97,ROUX Anthony,30,FDJ,120.0,60.0,0:380:38,Cl_sica_Ciclista_San_Sebastian,0,29 July 2017,39.28 km/h,0,231 km,24
7,8,41,VAN AVERMAET Greg,32,BMC Racing Team,100.0,50.0,",,0:38",Cl_sica_Ciclista_San_Sebastian,0,29 July 2017,39.28 km/h,0,231 km,24
8,9,102,BENOOT Tiesj,23,Lotto Soudal,80.0,46.0,",,0:38",Cl_sica_Ciclista_San_Sebastian,0,29 July 2017,39.28 km/h,0,231 km,24
9,10,45,ROCHE Nicolas,33,BMC Racing Team,68.0,42.0,",,0:38",Cl_sica_Ciclista_San_Sebastian,0,29 July 2017,39.28 km/h,0,231 km,24
10,11,11,BAKELANTS Jan,31,AG2R La Mondiale,56.0,38.0,",,0:38",Cl_sica_Ciclista_San_Sebastian,0,29 July 2017,39.28 km/h,0,231 km,24
11,12,18,VUILLERMOZ Alexis,29,AG2R La Mondiale,48.0,34.0,",,0:38",Cl_sica_Ciclista_San_Sebastian,0,29 July 2017,39.28 km/h,0,231 km,24
12,13,182,BARGUIL Warren,25,Team Sunweb,40.0,30.0,",,0:38",Cl_sica_Ciclista_San_Sebastian,0,29 July 2017,39.28 km/h,0,231 km,24
13,14,23,CHERNETSKI Sergei,27,Astana Pro Team,32.0,26.0,",,0:38",Cl_sica_Ciclista_San_Sebastian,0,29 July 2017,39.28 km/h,0,231 km,24
