,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,71,YATES Adam,22,Orica GreenEDGE,80.0,225.0,5:30:22,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
1,2,61,GILBERT Philippe,33,BMC Racing Team,60.0,150.0,0:150:15,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
2,3,1,VALVERDE Alejandro,35,Movistar Team,50.0,110.0,",,0:15",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
3,4,12,MORENO Daniel,33,Team Katusha,40.0,90.0,",,0:15",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
4,5,11,RODRÍGUEZ Joaquim,36,Team Katusha,30.0,80.0,",,0:15",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
5,6,121,MOLLEMA Bauke,28,Trek Factory Racing,22.0,70.0,",,0:15",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
6,7,141,MARTIN Dan,28,Team Cannondale - Garmin,14.0,60.0,",,0:15",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
7,8,33,ALAPHILIPPE Julian,23,Etixx - Quick Step,10.0,50.0,",,0:15",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
8,9,131,BARGUIL Warren,23,Team Giant - Alpecin,6.0,46.0,",,0:15",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
9,10,31,URÁN Rigoberto,28,Etixx - Quick Step,2.0,42.0,",,0:15",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
10,11,52,FUGLSANG Jakob,30,Astana Pro Team,,38.0,",,0:15",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
11,12,87,OLIVEIRA Nelson,26,Lampre - Merida,,34.0,",,0:15",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
12,13,44,KREUZIGER Roman,29,Tinkoff - Saxo,,30.0,",,0:15",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
13,14,72,YATES Simon,22,Orica GreenEDGE,,26.0,",,0:15",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
14,15,57,SCARPONI Michele,35,Astana Pro Team,,22.0,",,0:15",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
15,16,21,ROCHE Nicolas,31,Team Sky,,20.0,",,0:15",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
16,17,92,VUILLERMOZ Alexis,27,AG2R La Mondiale,,18.0,0:200:20,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
17,18,65,SÁNCHEZ Samuel,37,BMC Racing Team,,17.0,0:240:24,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
18,19,112,BENOOT Tiesj,21,Lotto Soudal,,16.0,",,0:24",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
19,20,101,PINOT Thibaut,25,FDJ,,15.0,",,0:24",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
20,21,53,SÁNCHEZ Luis León,31,Astana Pro Team,,14.0,",,0:24",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
21,22,93,BAKELANTS Jan,29,AG2R La Mondiale,,13.0,0:280:28,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
22,23,106,ROUX Anthony,28,FDJ,,12.0,0:370:37,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
23,24,156,KRUIJSWIJK Steven,28,Team LottoNL-Jumbo,,11.0,0:420:42,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
24,25,182,SIMON Julien,29,"Cofidis, Solutions Crédits",,10.0,0:540:54,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
25,26,187,MOLARD Rudy,25,"Cofidis, Solutions Crédits",,9.0,1:571:57,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
26,27,147,SLAGTER Tom-Jelte,26,Team Cannondale - Garmin,,8.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
27,28,176,MADRAZO Ángel,27,Caja Rural - Seguros RGA,,7.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
28,29,144,CARDOSO André,30,Team Cannondale - Garmin,,6.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
29,30,22,EARLE Nathan,27,Team Sky,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
30,31,118,WELLENS Tim,24,Lotto Soudal,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
31,32,23,HENAO Sebastián,21,Team Sky,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
32,33,68,WYSS Danilo,29,BMC Racing Team,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
33,34,105,LECUISINIER Pierre-Henri,22,FDJ,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
34,35,27,SIUTSOU Kanstantsin,32,Team Sky,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
35,36,117,VANENDERT Jelle,30,Lotto Soudal,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
36,37,167,TANNER David,30,IAM Cycling,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
37,38,32,ŠTYBAR Zdeněk,29,Etixx - Quick Step,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
38,39,76,KEUKELEIRE Jens,26,Orica GreenEDGE,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
39,40,188,ROSSETTO Stéphane,28,"Cofidis, Solutions Crédits",,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
40,41,165,FRANK Mathias,28,IAM Cycling,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
41,42,171,ARROYO David,35,Caja Rural - Seguros RGA,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
42,43,125,FELLINE Fabio,25,Trek Factory Racing,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
43,44,2,ANACONA Winner,26,Movistar Team,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
44,45,15,SILIN Egor,27,Team Katusha,,5.0,",,1:57",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
45,46,161,CLEMENT Stef,32,IAM Cycling,,5.0,2:292:29,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
46,47,46,PAULINHO Sérgio Miguel,35,Tinkoff - Saxo,,5.0,",,2:29",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
47,48,152,KELDERMAN Wilco,24,Team LottoNL-Jumbo,,5.0,",,2:29",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
48,49,25,NORDHAUG Lars Petter,31,Team Sky,,5.0,",,2:29",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
49,50,35,SERRY Pieter,26,Etixx - Quick Step,,5.0,",,2:29",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
50,51,37,VERMOTE Julien,26,Etixx - Quick Step,,5.0,",,2:29",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
51,52,86,PLAZA Rubén,35,Lampre - Merida,,5.0,",,2:29",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
52,53,172,TXURRUKA Amets,32,Caja Rural - Seguros RGA,,5.0,3:033:03,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
53,54,116,VANENDERT Dennis,27,Lotto Soudal,,5.0,3:373:37,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
54,55,168,WYSS Marcel,29,IAM Cycling,,5.0,3:463:46,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
55,56,134,HAGA Chad,26,Team Giant - Alpecin,,5.0,3:533:53,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
56,57,126,IRIZAR Markel,35,Trek Factory Racing,,5.0,",,3:53",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
57,58,164,SARAMOTINS Aleksejs,33,IAM Cycling,,5.0,",,3:53",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
58,59,77,MEYER Cameron,27,Orica GreenEDGE,,5.0,",,3:53",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
59,60,108,VAUGRENARD Benoît,33,FDJ,,5.0,",,3:53",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
60,61,186,MATÉ Luis Ángel,31,"Cofidis, Solutions Crédits",,5.0,",,3:53",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
61,62,58,TAARAMÄE Rein,28,Astana Pro Team,,5.0,",,3:53",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
62,63,18,VICIOSO Ángel,38,Team Katusha,,5.0,",,3:53",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
63,64,43,HERNÁNDEZ BLÁZQUEZ Jesús,33,Tinkoff - Saxo,,5.0,4:034:03,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
64,65,51,LANDA Mikel,25,Astana Pro Team,,5.0,",,4:03",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
65,66,142,HESJEDAL Ryder,34,Team Cannondale - Garmin,,5.0,",,4:03",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
66,67,88,SERPA José Rodolfo,36,Lampre - Merida,,5.0,",,4:03",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
67,68,124,DEVOLDER Stijn,35,Trek Factory Racing,,5.0,4:474:47,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
68,69,42,BOARO Manuele,28,Tinkoff - Saxo,,5.0,4:504:50,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
69,70,96,MONTAGUTI Matteo,31,AG2R La Mondiale,,5.0,5:015:01,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
70,71,163,DEVENYNS Dries,32,IAM Cycling,,5.0,",,5:01",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
71,72,64,QUINZIATO Manuel,35,BMC Racing Team,,5.0,",,5:01",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
72,73,123,ARREDONDO Julián David,27,Trek Factory Racing,,5.0,",,5:01",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
73,74,14,MACHADO Tiago,29,Team Katusha,,5.0,5:585:58,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
74,75,158,WYNANTS Maarten,33,Team LottoNL-Jumbo,,5.0,6:186:18,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
75,76,78,WEENING Pieter,34,Orica GreenEDGE,,5.0,",,6:18",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
76,77,95,HOULE Hugo,24,AG2R La Mondiale,,5.0,",,6:18",Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
77,78,13,KOCHETKOV Pavel,29,Team Katusha,,5.0,6:536:53,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
78,79,7,ROJAS José Joaquín,30,Movistar Team,,5.0,6:546:54,Clasica_Ciclista_San_Sebastian,0,01 August 2015,39.77 km/h,97,219 km,15
