,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,GILBERT Philippe,29,Omega Pharma-Lotto,80.0,225.0,5:48:52,Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
1,2,0,BARREDO Carlos,30,Rabobank Cycling Team,,,0:120:12,Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
2,2,0,VAN AVERMAET Greg,26,BMC Racing Team,60.0,150.0,0:140:14,Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
3,3,0,RODRÍGUEZ Joaquim,32,Team Katusha,50.0,110.0,",,0:14",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
4,4,0,DEVENYNS Dries,28,Quickstep Cycling Team,40.0,90.0,",,0:14",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
5,5,0,SCHLECK Fränk,31,Leopard Trek,30.0,80.0,",,0:14",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
6,6,0,ZUBELDIA Haimar,34,RadioShack,22.0,70.0,",,0:14",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
7,7,0,SÁNCHEZ Samuel,33,Euskaltel - Euskadi,14.0,60.0,",,0:14",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
8,8,0,URÁN Rigoberto,24,Sky Procycling,10.0,50.0,",,0:14",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
9,9,0,VANENDERT Jelle,26,Omega Pharma-Lotto,6.0,46.0,0:500:50,Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
10,10,0,GERRANS Simon,31,Sky Procycling,2.0,42.0,2:052:05,Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
11,11,0,PONZI Simone,24,Liquigas - Cannondale,,38.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
12,12,0,BRESCHEL Matti,26,Rabobank Cycling Team,,34.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
13,13,0,GAVAZZI Francesco,26,Lampre - ISD,,30.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
14,14,0,ROJAS José Joaquín,26,Movistar Team,,26.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
15,15,0,FISCHER Murilo Antonio,32,Team Garmin - Cervélo,,22.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
16,16,0,COBO Juan José,30,Geox-TMC Transformers,,20.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
17,17,0,CHAVANEL Sylvain,32,Quickstep Cycling Team,,18.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
18,18,0,HESJEDAL Ryder,30,Team Garmin - Cervélo,,17.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
19,19,0,FRANK Mathias,24,BMC Racing Team,,16.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
20,20,0,MORI Manuele,30,Lampre - ISD,,15.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
21,21,0,MINARD Sébastien,29,AG2R La Mondiale,,14.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
22,22,0,ROCHE Nicolas,27,AG2R La Mondiale,,13.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
23,23,0,NAVARRO Daniel,28,Saxo Bank - Sungard,,12.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
24,24,0,DEVOLDER Stijn,31,Vacansoleil - DCM,,11.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
25,25,0,VORGANOV Eduard,28,Team Katusha,,10.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
26,26,0,RUIJGH Rob,24,Vacansoleil - DCM,,9.0,",,2:05",Clasica_Ciclista_San_Sebastian,0,30 July 2011,40.245 km/h,0,234 km,18
