,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,1,FROOME Chris,29,Team Sky,6.0,50.0,0:13:13,47.213,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
1,2,2,+0:08,21,CONTADOR Alberto,31,Tinkoff - Saxo,4.0,30.0,0:080:08,46.742,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
2,3,3,+0:09,111,JUNGELS Bob,21,Trek Factory Racing,2.0,18.0,0:090:09,46.683,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
3,4,4,+0:11,168,TALANSKY Andrew,25,Garmin Sharp,1.0,13.0,0:110:11,46.567,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
4,5,5,+0:11,191,KELDERMAN Wilco,23,Belkin-Pro Cycling Team,1.0,10.0,",,0:11",46.567,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
5,6,6,+0:12,193,BOOM Lars,28,Belkin-Pro Cycling Team,,7.0,0:120:12,46.50899999999999,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
6,7,7,+0:12,2,KIRYIENKA Vasil,32,Team Sky,,4.0,",,0:12",46.50899999999999,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
7,8,8,+0:13,11,NIBALI Vincenzo,29,Astana Pro Team,,3.0,0:130:13,46.452,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
8,9,9,+0:13,121,VAN GARDEREN Tejay,25,BMC Racing Team,,2.0,",,0:13",46.452,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
9,10,10,+0:13,92,BRÄNDLE Matthias,24,IAM Cycling,,1.0,",,0:13",46.452,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
10,11,11,+0:13,202,BÁRTA Jan,29,Team NetApp – Endura,,,",,0:13",46.452,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
11,12,12,+0:13,103,BODNAR Maciej,29,Cannondale,,,",,0:13",46.452,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
12,13,13,+0:14,55,INTXAUSTI Beñat,28,Movistar Team,,,0:140:14,46.394,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
13,14,14,+0:14,142,ALAPHILIPPE Julian,21,Omega Pharma - Quick-Step,,,",,0:14",46.394,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
14,15,15,+0:14,98,SARAMOTINS Aleksejs,32,IAM Cycling,,,",,0:14",46.394,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
15,16,16,+0:14,7,THOMAS Geraint,28,Team Sky,,,",,0:14",46.394,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
16,17,17,+0:15,81,VAN DEN BROECK Jurgen,31,Lotto Belisol,,,0:150:15,46.336999999999996,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
17,18,18,+0:15,195,KEIZER Martijn,26,Belkin-Pro Cycling Team,,,",,0:15",46.336999999999996,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
18,19,19,+0:16,91,CHAVANEL Sylvain,34,IAM Cycling,,,0:160:16,46.278999999999996,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
19,20,20,+0:16,141,KWIATKOWSKI Michał,24,Omega Pharma - Quick-Step,,,",,0:16",46.278999999999996,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
20,21,21,+0:17,201,KÖNIG Leopold,26,Team NetApp – Endura,,,0:170:17,46.222,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
21,22,22,+0:17,44,IMPEY Daryl,29,Orica GreenEDGE,,,",,0:17",46.222,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
22,23,23,+0:19,6,PORTE Richie,29,Team Sky,,,0:190:19,46.108000000000004,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
23,24,24,+0:19,12,FUGLSANG Jakob,29,Astana Pro Team,,,",,0:19",46.108000000000004,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
24,25,25,+0:20,95,LARSSON Gustav Erik,33,IAM Cycling,,,0:200:20,46.052,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
25,26,26,+0:21,43,HOWSON Damien,21,Orica GreenEDGE,,,0:210:21,45.995,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
26,27,27,+0:22,101,KOREN Kristijan,27,Cannondale,,,0:220:22,45.93899999999999,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
27,28,28,+0:22,63,BOUET Maxime,27,AG2R La Mondiale,,,",,0:22",45.93899999999999,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
28,29,29,+0:22,135,ŠPILAK Simon,27,Team Katusha,,,",,0:22",45.93899999999999,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
29,30,30,+0:22,17,WESTRA Lieuwe,31,Astana Pro Team,,,",,0:22",45.93899999999999,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
30,31,31,+0:23,173,DEVENYNS Dries,30,Team Giant - Shimano,,,0:230:23,45.882,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
31,32,32,+0:23,13,GRIVKO Andrey,30,Astana Pro Team,,,",,0:23",45.882,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
32,33,33,+0:24,93,DENIFL Stefan,26,IAM Cycling,,,0:240:24,45.826,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
33,33,34,+0:24,161,HESJEDAL Ryder,33,Garmin Sharp,,,",,0:24",45.826,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
34,34,35,+0:24,33,COPPEL Jérôme,27,"Cofidis, Solutions Crédits",,,",,0:24",45.826,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
35,35,36,+0:26,84,DE CLERCQ Bart,27,Lotto Belisol,,,0:260:26,45.714,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
36,36,37,+0:27,38,TAARAMÄE Rein,27,"Cofidis, Solutions Crédits",,,0:270:27,45.659,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
37,37,38,+0:27,118,ZUBELDIA Haimar,37,Trek Factory Racing,,,",,0:27",45.659,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
38,38,39,+0:27,113,IRIZAR Markel,34,Trek Factory Racing,,,",,0:27",45.659,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
39,39,40,+0:28,71,VOECKLER Thomas,34,Team Europcar,,,0:280:28,45.603,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
40,40,41,+0:29,143,BAKELANTS Jan,28,Omega Pharma - Quick-Step,,,0:290:29,45.547,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
41,41,42,+0:30,3,LÓPEZ David,33,Team Sky,,,0:300:30,45.492,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
42,42,43,+0:30,204,HUZARSKI Bartosz,33,Team NetApp – Endura,,,",,0:30",45.492,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
43,43,44,+0:30,41,GERRANS Simon,34,Orica GreenEDGE,,,",,0:30",45.492,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
44,44,45,+0:30,15,KANGERT Tanel,27,Astana Pro Team,,,",,0:30",45.492,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
45,45,46,+0:31,114,NIZZOLO Giacomo,25,Trek Factory Racing,,,0:310:31,45.437,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
46,46,47,+0:31,178,OLIVIER Daan,21,Team Giant - Shimano,,,",,0:31",45.437,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
47,47,48,+0:31,175,HAGA Chad,25,Team Giant - Shimano,,,",,0:31",45.437,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
48,48,49,+0:31,192,BOBRIDGE Jack,24,Belkin-Pro Cycling Team,,,",,0:31",45.437,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
49,49,50,+0:32,28,SUTHERLAND Rory,32,Tinkoff - Saxo,,,0:320:32,45.382,Crit_rium_du_Dauphin_,1,08 June 2014,47.21 km/h,0,10.4 km,11
