,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,61,ROGLIČ Primož,30,Team Jumbo-Visma,60.0,50.0,3:39:40,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
1,2,2.0,+0:12,41,PINOT Thibaut,30,Groupama - FDJ,25.0,30.0,0:080:08,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
2,3,3.0,+0:14,21,BUCHMANN Emanuel,27,BORA - hansgrohe,10.0,18.0,",,0:08",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
3,4,5.0,+0:18,161,MARTIN Guillaume,27,"Cofidis, Solutions Crédits",,13.0,",,0:08",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
4,5,6.0,+0:20,131,QUINTANA Nairo,30,Team Arkéa Samsic,,10.0,0:100:10,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
5,6,9.0,+0:20,1,LÓPEZ Miguel Ángel,26,Astana Pro Team,,7.0,",,0:10",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
6,7,10.0,+0:20,16,MARTÍNEZ Daniel Felipe,24,EF Pro Cycling,,4.0,",,0:10",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
7,8,8.0,+0:20,151,LANDA Mikel,30,Bahrain - McLaren,,3.0,",,0:10",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
8,9,7.0,+0:20,111,PORTE Richie,35,Trek - Segafredo,,2.0,",,0:10",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
9,10,4.0,+0:16,31,BERNAL Egan,23,Team INEOS,,1.0,",,0:10",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
10,11,31.0,+3:05,65,KUSS Sepp,25,Team Jumbo-Visma,,,0:400:40,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
11,12,11.0,+1:09,47,REICHENBACH Sébastien,31,Groupama - FDJ,,,0:590:59,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
12,13,12.0,+1:09,71,BARDET Romain,29,AG2R La Mondiale,,,",,0:59",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
13,14,13.0,+1:09,62,DUMOULIN Tom,29,Team Jumbo-Visma,,,",,0:59",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
14,15,14.0,+1:11,81,POGAČAR Tadej,21,UAE-Team Emirates,,,1:011:01,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
15,16,15.0,+1:19,64,KRUIJSWIJK Steven,33,Team Jumbo-Visma,,,1:091:09,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
16,17,17.0,+1:42,92,MAS Enric,25,Movistar Team,,,1:321:32,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
17,18,16.0,+1:42,147,POZZOVIVO Domenico,37,NTT Pro Cycling,,,",,1:32",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
18,19,27.0,+2:42,124,HIRSCHI Marc,21,Team Sunweb,,,1:351:35,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
19,20,33.0,+4:34,23,KÄMNA Lennard,23,BORA - hansgrohe,,,1:371:37,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
20,21,18.0,+1:47,91,VALVERDE Alejandro,40,Movistar Team,,,",,1:37",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
21,22,19.0,+1:47,221,ROLLAND Pierre,33,B&B Hotels - Vital Concept p/b KTM,,,",,1:37",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
22,23,20.0,+1:47,101,YATES Adam,28,Mitchelton-Scott,,,",,1:37",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
23,24,21.0,+1:47,11,URÁN Rigoberto,33,EF Pro Cycling,,,",,1:37",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
24,25,22.0,+2:05,133,BARGUIL Warren,28,Team Arkéa Samsic,,,1:551:55,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
25,26,23.0,+2:19,113,ELISSONDE Kenny,29,Trek - Segafredo,,,2:092:09,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
26,27,24.0,+2:19,46,MADOUAS Valentin,24,Groupama - FDJ,,,",,2:09",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
27,28,25.0,+2:26,186,VANHOUCKE Harm,23,Lotto Soudal,,,2:162:16,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
28,29,26.0,+2:37,126,ROCHE Nicolas,36,Team Sunweb,,,2:272:27,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
29,30,38.0,+5:50,203,DE LA PARTE Víctor,34,CCC Team,,,",,2:27",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
30,31,30.0,+3:03,35,SIVAKOV Pavel,23,Team INEOS,,,2:532:53,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
31,32,28.0,+3:03,36,THOMAS Geraint,34,Team INEOS,,,",,2:53",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
32,33,29.0,+3:03,103,HAIG Jack,26,Mitchelton-Scott,,,",,2:53",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
33,34,32.0,+4:14,152,BILBAO Pello,30,Bahrain - McLaren,,,4:044:04,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
34,35,39.0,+6:29,14,KANGERT Tanel,33,EF Pro Cycling,,,",,4:04",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
35,36,34.0,+4:51,51,ALAPHILIPPE Julian,28,Deceuninck - Quick Step,,,4:414:41,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
36,37,65.0,+16:42,153,CARUSO Damiano,32,Bahrain - McLaren,,,",,4:41",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
37,38,40.0,+6:58,112,EG Niklas,25,Trek - Segafredo,,,",,4:41",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
38,39,36.0,+4:54,83,DE LA CRUZ David,31,UAE-Team Emirates,,,4:444:44,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
39,40,35.0,+4:54,84,FORMOLO Davide,27,UAE-Team Emirates,,,",,4:44",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
40,41,37.0,+4:54,201,MASNADA Fausto,26,CCC Team,,,",,4:44",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
41,42,74.0,+21:20,94,PEDRERO Antonio,28,Movistar Team,,,5:435:43,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
42,43,41.0,+7:21,121,BENOOT Tiesj,26,Team Sunweb,,,7:117:11,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
43,44,42.0,+7:21,3,IZAGIRRE Gorka,32,Astana Pro Team,,,",,7:11",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
44,45,44.0,+8:08,181,HAGEN Carl Fredrik,28,Lotto Soudal,,,",,7:11",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
45,46,43.0,+8:08,162,EDET Nicolas,32,"Cofidis, Solutions Crédits",,,",,7:11",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
46,47,45.0,+8:35,211,BAKELANTS Jan,34,Circus - Wanty Gobert,,,8:258:25,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
47,48,48.0,+8:42,87,POLANC Jan,28,UAE-Team Emirates,,,8:328:32,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
48,49,59.0,+14:05,33,FROOME Chris,35,Team INEOS,,,",,8:32",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
49,50,60.0,+14:05,32,CASTROVIEJO Jonathan,33,Team INEOS,,,",,8:32",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
50,51,47.0,+8:42,34,KWIATKOWSKI Michał,30,Team INEOS,,,",,8:32",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
51,52,46.0,+8:42,5,LUTSENKO Alexey,27,Astana Pro Team,,,",,8:32",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
52,53,87.0,+26:04,202,BARTA Will,24,CCC Team,,,",,8:32",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
53,54,49.0,+9:50,177,WÜRTZ SCHMIDT Mads,26,Israel Start-Up Nation,,,9:409:40,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
54,55,52.0,+11:08,136,ROSA Diego,31,Team Arkéa Samsic,,,10:0110:01,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
55,56,51.0,+10:46,76,PARET-PEINTRE Aurélien,24,AG2R La Mondiale,,,10:3610:36,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
56,57,53.0,+11:33,72,CHEREL Mikaël,34,AG2R La Mondiale,,,",,10:36",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
57,58,50.0,+10:46,196,SICARD Romain,32,Team Total Direct Energie,,,",,10:36",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
58,59,56.0,+11:49,191,TAARAMÄE Rein,33,Team Total Direct Energie,,,",,10:36",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
59,60,58.0,+13:59,44,KÜNG Stefan,26,Groupama - FDJ,,,11:3411:34,Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
60,61,91.0,+26:41,17,VAN GARDEREN Tejay,32,EF Pro Cycling,,,",,11:34",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
61,62,68.0,+19:00,182,ARMÉE Sander,34,Lotto Soudal,,,",,11:34",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
62,63,55.0,+11:44,157,VALLS Rafael,33,Bahrain - McLaren,,,",,11:34",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
63,64,54.0,+11:44,55,JUNGELS Bob,27,Deceuninck - Quick Step,,,",,11:34",Crit_rium_du_Dauphin_,2,13 August 2020,36.87 km/h,283,135 km,2
