,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,15.0,+1:58,143,BAKELANTS Jan,28,Omega Pharma - Quick-Step,6.0,50.0,4:07:20,Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
1,2,25.0,+5:59,17,WESTRA Lieuwe,31,Astana Pro Team,4.0,30.0,",,0:00",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
2,3,70.0,+22:05,147,ŠTYBAR Zdeněk,28,Omega Pharma - Quick-Step,2.0,18.0,0:240:24,Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
3,4,72.0,+22:24,86,LIGTHART Pim,25,Lotto Belisol,1.0,13.0,",,0:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
4,5,61.0,+19:03,45,KEUKELEIRE Jens,25,Orica GreenEDGE,1.0,10.0,",,0:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
5,6,77.0,+25:39,117,VOIGT Jens,42,Trek Factory Racing,,7.0,",,0:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
6,7,97.0,+36:29,103,BODNAR Maciej,29,Cannondale,,4.0,",,0:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
7,8,66.0,+20:20,197,TANKINK Bram,35,Belkin-Pro Cycling Team,,3.0,",,0:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
8,9,37.0,+10:21,184,CONTI Valerio,21,Lampre - Merida,,2.0,",,0:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
9,10,50.0,+14:17,37,SIMON Julien,28,"Cofidis, Solutions Crédits",,1.0,",,0:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
10,11,31.0,+8:20,68,PERAUD Jean-Christophe,37,AG2R La Mondiale,,,",,0:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
11,12,100.0,+39:27,203,BENEDETTI Cesare,26,Team NetApp – Endura,,,",,0:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
12,13,71.0,+22:18,171,DAMUSEAU Thomas,25,Team Giant - Shimano,,,",,0:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
13,14,59.0,+18:14,52,ERVITI Imanol,30,Movistar Team,,,",,0:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
14,15,76.0,+24:13,24,PAULINHO Sérgio Miguel,34,Tinkoff - Saxo,,,",,0:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
15,16,107.0,+44:48,98,SARAMOTINS Aleksejs,32,IAM Cycling,,,1:141:14,Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
16,17,42.0,+11:08,6,PORTE Richie,29,Team Sky,,,3:553:55,Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
17,18,18.0,+2:36,4,NIEVE Mikel,30,Team Sky,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
18,19,1.0,+0:00,1,FROOME Chris,29,Team Sky,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
19,20,60.0,+18:49,3,LÓPEZ David,33,Team Sky,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
20,21,2.0,+0:12,21,CONTADOR Alberto,31,Tinkoff - Saxo,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
21,22,8.0,+1:22,12,FUGLSANG Jakob,29,Astana Pro Team,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
22,23,132.0,+1:01:22,205,MATZKA Ralf,24,Team NetApp – Endura,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
23,24,13.0,+1:43,31,NAVARRO Daniel,30,"Cofidis, Solutions Crédits",,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
24,25,6.0,+0:50,11,NIBALI Vincenzo,29,Astana Pro Team,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
25,26,5.0,+0:35,81,VAN DEN BROECK Jurgen,31,Lotto Belisol,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
26,27,10.0,+1:35,15,KANGERT Tanel,27,Astana Pro Team,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
27,28,3.0,+0:12,191,KELDERMAN Wilco,23,Belkin-Pro Cycling Team,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
28,29,29.0,+7:14,23,HERNÁNDEZ BLÁZQUEZ Jesús,32,Tinkoff - Saxo,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
29,30,9.0,+1:24,48,YATES Adam,21,Orica GreenEDGE,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
30,31,12.0,+1:40,97,REICHENBACH Sébastien,25,IAM Cycling,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
31,32,14.0,+1:44,201,KÖNIG Leopold,26,Team NetApp – Endura,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
32,33,95.0,+35:59,193,BOOM Lars,28,Belkin-Pro Cycling Team,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
33,34,17.0,+2:32,185,ĐURASEK Kristijan,26,Lampre - Merida,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
34,35,98.0,+37:29,106,MARCATO Marco,30,Cannondale,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
35,36,4.0,+0:33,168,TALANSKY Andrew,25,Garmin Sharp,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
36,37,51.0,+14:22,163,HOWES Alex,26,Garmin Sharp,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
37,38,16.0,+2:22,121,VAN GARDEREN Tejay,25,BMC Racing Team,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
38,39,30.0,+7:50,137,TROFIMOV Yuri,30,Team Katusha,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
39,40,11.0,+1:40,61,BARDET Romain,23,AG2R La Mondiale,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
40,41,65.0,+20:10,35,LE MÉVEL Christophe,33,"Cofidis, Solutions Crédits",,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
41,42,48.0,+11:59,36,MATÉ Luis Ángel,30,"Cofidis, Solutions Crédits",,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
42,43,19.0,+2:42,131,MORENO Daniel,32,Team Katusha,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
43,44,46.0,+11:50,128,VELITS Peter,29,BMC Racing Team,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
44,45,21.0,+3:31,122,ATAPUMA Darwin,26,BMC Racing Team,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
45,46,20.0,+2:47,84,DE CLERCQ Bart,27,Lotto Belisol,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
46,47,91.0,+34:16,18,ZEITS Andrey,27,Astana Pro Team,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
47,48,26.0,+6:09,151,ELISSONDE Kenny,22,FDJ.fr,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
48,49,7.0,+1:22,118,ZUBELDIA Haimar,37,Trek Factory Racing,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
49,50,55.0,+16:13,127,VAN AVERMAET Greg,29,BMC Racing Team,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
50,51,34.0,+9:10,64,CHEREL Mikaël,28,AG2R La Mondiale,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
51,52,24.0,+5:09,63,BOUET Maxime,27,AG2R La Mondiale,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
52,53,23.0,+4:01,53,GADRET John,35,Movistar Team,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
53,54,22.0,+3:56,204,HUZARSKI Bartosz,33,Team NetApp – Endura,,,",,3:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
54,55,68.0,+21:27,7,THOMAS Geraint,28,Team Sky,,,4:034:03,Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
55,56,27.0,+6:27,95,LARSSON Gustav Erik,33,IAM Cycling,,,4:324:32,Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
56,57,102.0,+41:55,198,VAN DER LIJKE Nick,22,Belkin-Pro Cycling Team,,,",,4:32",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
57,58,104.0,+44:05,77,REZA Kévin,26,Team Europcar,,,",,4:32",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
58,59,127.0,+56:44,155,DÉMARE Arnaud,22,FDJ.fr,,,",,4:32",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
59,60,32.0,+8:28,34,EDET Nicolas,26,"Cofidis, Solutions Crédits",,,",,4:32",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
60,61,85.0,+30:36,44,IMPEY Daryl,29,Orica GreenEDGE,,,4:554:55,Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
61,62,89.0,+33:18,41,GERRANS Simon,34,Orica GreenEDGE,,,",,4:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
62,63,88.0,+32:11,54,GUTIÉRREZ José Iván,35,Movistar Team,,,",,4:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
63,64,79.0,+26:27,113,IRIZAR Markel,34,Trek Factory Racing,,,",,4:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
64,65,39.0,+10:27,133,RYBAKOV Alexander,26,Team Katusha,,,",,4:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
65,66,111.0,+46:55,56,SANZ Enrique,24,Movistar Team,,,",,4:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
66,67,56.0,+17:45,65,GASTAUER Ben,26,AG2R La Mondiale,,,",,4:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
67,68,137.0,+1:06:40,136,TSATEVICH Alexey,24,Team Katusha,,,",,4:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
68,69,28.0,+6:31,134,SILIN Egor,25,Team Katusha,,,",,4:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
69,70,119.0,+53:03,22,VALGREN Michael,22,Tinkoff - Saxo,,,",,4:55",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
70,71,80.0,+27:04,156,FÉDRIGO Pierrick,35,FDJ.fr,,,5:055:05,Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
71,72,47.0,+11:55,74,GAUTIER Cyril,26,Team Europcar,,,",,5:05",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
72,73,118.0,+51:57,94,HINAULT Sébastien,40,IAM Cycling,,,",,5:05",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
73,74,35.0,+9:19,126,STETINA Peter,26,BMC Racing Team,,,",,5:05",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
74,75,93.0,+34:57,62,BONNAFOND Guillaume,26,AG2R La Mondiale,,,",,5:05",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
75,76,103.0,+42:32,181,CUNEGO Damiano,32,Lampre - Merida,,,",,5:05",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
76,77,38.0,+10:23,124,MOINARD Amaël,32,BMC Racing Team,,,",,5:05",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
77,78,54.0,+15:23,196,NORDHAUG Lars Petter,30,Belkin-Pro Cycling Team,,,",,5:05",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
78,79,126.0,+56:41,208,THWAITES Scott,24,Team NetApp – Endura,,,",,5:05",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
79,80,87.0,+32:01,87,ROELANDTS Jürgen,28,Lotto Belisol,,,5:245:24,Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
80,81,113.0,+49:59,83,BROECKX Stig,24,Lotto Belisol,,,",,5:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
81,82,45.0,+11:23,91,CHAVANEL Sylvain,34,IAM Cycling,,,",,5:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
82,83,108.0,+45:02,176,HUPOND Thierry,29,Team Giant - Shimano,,,",,5:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
83,84,105.0,+44:42,174,FRÖHLINGER Johannes,29,Team Giant - Shimano,,,",,5:24",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
84,85,81.0,+27:19,46,MEIER Christian,29,Orica GreenEDGE,,,5:375:37,Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
85,86,49.0,+13:32,71,VOECKLER Thomas,34,Team Europcar,,,",,5:37",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
86,87,83.0,+28:06,142,ALAPHILIPPE Julian,22,Omega Pharma - Quick-Step,,,5:515:51,Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
87,88,92.0,+34:54,43,HOWSON Damien,21,Orica GreenEDGE,,,",,5:51",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
88,89,125.0,+56:27,177,JANSE VAN RENSBURG Reinardt,25,Team Giant - Shimano,,,",,5:51",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
89,90,86.0,+31:01,202,BÁRTA Jan,29,Team NetApp – Endura,,,",,5:51",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
90,91,110.0,+45:55,195,KEIZER Martijn,26,Belkin-Pro Cycling Team,,,",,5:51",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
91,92,75.0,+23:54,144,DE WEERT Kevin,32,Omega Pharma - Quick-Step,,,",,5:51",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
92,93,43.0,+11:11,32,BAGOT Yoann,26,"Cofidis, Solutions Crédits",,,",,5:51",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
93,94,96.0,+36:04,25,PIRES Bruno,33,Tinkoff - Saxo,,,",,5:51",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
94,95,73.0,+22:29,158,VICHOT Arthur,25,FDJ.fr,,,",,5:51",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
95,96,140.0,+1:10:16,38,TAARAMÄE Rein,27,"Cofidis, Solutions Crédits",,,",,5:51",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
96,97,114.0,+50:03,26,SØRENSEN Nicki,39,Tinkoff - Saxo,,,",,5:51",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
97,98,131.0,+1:01:10,164,LANGEVELD Sebastian,29,Garmin Sharp,,,",,5:51",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
98,99,121.0,+55:09,167,NAVARDAUSKAS Ramūnas,26,Garmin Sharp,,,",,5:51",Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
99,100,101.0,+41:42,14,GRUZDEV Dmitriy,28,Astana Pro Team,,,6:156:15,Crit_rium_du_Dauphin_,6,13 June 2014,43.3 km/h,0,178.5 km,11
