,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,10.0,+2:12,31,PINOT Thibaut,26,FDJ,60.0,50.0,4:24:16,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
1,2,3.0,+0:21,61,BARDET Romain,25,AG2R La Mondiale,25.0,30.0,",,0:00",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
2,3,4.0,+0:30,41,MARTIN Dan,29,Etixx - Quick Step,10.0,18.0,1:041:04,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
3,4,1.0,+0:00,1,FROOME Chris,31,Team Sky,,13.0,1:071:07,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
4,5,9.0,+1:35,201,MEINTJES Louis,24,Lampre - Merida,,10.0,1:151:15,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
5,6,5.0,+0:35,21,CONTADOR Alberto,33,Tinkoff,,7.0,",,1:15",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
6,7,8.0,+1:18,56,ROSA Diego,27,Astana Pro Team,,4.0,1:171:17,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
7,8,7.0,+1:02,78,YATES Adam,23,Orica GreenEDGE,,3.0,",,1:17",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
8,9,6.0,+0:56,42,ALAPHILIPPE Julian,24,Etixx - Quick Step,,2.0,1:211:21,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
9,10,2.0,+0:21,11,PORTE Richie,31,BMC Racing Team,,1.0,",,1:21",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
10,11,15.0,+4:16,161,BENNETT George,26,Team LottoNL-Jumbo,,,1:471:47,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
11,12,22.0,+6:36,25,KREUZIGER Roman,30,Tinkoff,,,1:551:55,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
12,13,16.0,+5:10,16,HERMANS Ben,30,BMC Racing Team,,,2:052:05,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
13,14,11.0,+2:39,151,ROLLAND Pierre,29,Cannondale Pro Cycling Team,,,2:072:07,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
14,15,14.0,+3:34,2,HENAO Sergio,28,Team Sky,,,2:112:11,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
15,16,12.0,+3:02,4,LANDA Mikel,26,Team Sky,,,2:292:29,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
16,17,25.0,+8:27,87,VAN DEN BROECK Jurgen,33,Team Katusha,,,2:352:35,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
17,18,13.0,+3:16,106,NAVARRO Daniel,32,"Cofidis, Solutions Crédits",,,3:073:07,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
18,19,20.0,+5:47,62,BAKELANTS Jan,30,AG2R La Mondiale,,,4:054:05,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
19,20,19.0,+5:44,173,CLEMENT Stef,33,IAM Cycling,,,4:134:13,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
20,21,18.0,+5:39,191,BUCHMANN Emanuel,23,Bora - Argon 18,,,",,4:13",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
21,22,17.0,+5:23,14,CARUSO Damiano,28,BMC Racing Team,,,",,4:13",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
22,23,29.0,+13:56,24,KIŠERLOVSKI Robert,29,Tinkoff,,,5:145:14,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
23,24,21.0,+6:22,81,RODRÍGUEZ Joaquim,37,Team Katusha,,,5:545:54,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
24,25,24.0,+7:52,93,DE CLERCQ Bart,29,Lotto Soudal,,,",,5:54",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
25,26,23.0,+6:43,133,HERRADA Jesús,25,Movistar Team,,,",,5:54",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
26,27,27.0,+10:49,63,CHEREL Mikaël,30,AG2R La Mondiale,,,",,5:54",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
27,28,26.0,+9:21,44,DE PLUS Laurens,20,Etixx - Quick Step,,,6:136:13,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
28,29,41.0,+21:19,52,CATALDO Dario,31,Astana Pro Team,,,10:1610:16,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
29,30,28.0,+13:38,185,MARTIN Guillaume,23,Wanty - Groupe Gobert,,,11:1311:13,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
30,31,52.0,+32:37,75,IMPEY Daryl,31,Orica GreenEDGE,,,",,11:13",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
31,32,31.0,+15:34,153,CARDOSO André,31,Cannondale Pro Cycling Team,,,",,11:13",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
32,33,39.0,+19:24,171,COPPEL Jérôme,29,IAM Cycling,,,",,11:13",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
33,34,30.0,+14:06,148,SICARD Romain,28,Direct Energie,,,11:3011:30,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
34,35,55.0,+34:50,147,QUÉMÉNEUR Perrig,32,Direct Energie,,,14:0014:00,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
35,36,60.0,+37:15,193,BENEDETTI Cesare,28,Bora - Argon 18,,,15:0815:08,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
36,37,32.0,+16:45,203,CONTI Valerio,23,Lampre - Merida,,,15:4715:47,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
37,38,51.0,+31:02,73,HAIG Jack,22,Orica GreenEDGE,,,",,15:47",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
38,39,34.0,+17:45,131,MORENO Daniel,34,Movistar Team,,,",,15:47",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
39,40,40.0,+19:36,187,THURAU Björn,27,Wanty - Groupe Gobert,,,",,15:47",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
40,41,49.0,+29:08,128,ZUBELDIA Haimar,39,Trek - Segafredo,,,",,15:47",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
41,42,33.0,+17:34,116,PAUWELS Serge,32,Team Dimension Data,,,",,15:47",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
42,43,37.0,+18:22,136,QUINTANA Dayer,23,Movistar Team,,,",,15:47",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
43,44,54.0,+32:59,113,CUMMINGS Steve,35,Team Dimension Data,,,",,15:47",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
44,45,43.0,+24:51,91,GALLOPIN Tony,28,Lotto Soudal,,,",,15:47",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
45,46,38.0,+18:37,5,POELS Wout,28,Team Sky,,,",,15:47",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
46,47,36.0,+18:15,57,SÁNCHEZ Luis León,32,Astana Pro Team,,,",,15:47",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
47,48,35.0,+17:58,51,ARU Fabio,25,Astana Pro Team,,,",,15:47",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
48,49,77.0,+45:32,45,MARTIN Tony,31,Etixx - Quick Step,,,18:3118:31,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
49,50,88.0,+53:17,47,VANDENBERGH Stijn,32,Etixx - Quick Step,,,19:3319:33,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
50,51,48.0,+29:02,68,VUILLERMOZ Alexis,28,AG2R La Mondiale,,,",,19:33",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
51,52,65.0,+39:09,65,GASTAUER Ben,28,AG2R La Mondiale,,,",,19:33",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
52,53,46.0,+27:36,34,MORABITO Steve,33,FDJ,,,19:4119:41,Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
53,54,42.0,+23:03,35,REICHENBACH Sébastien,27,FDJ,,,",,19:41",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
54,55,56.0,+35:19,204,GRMAY Tsgabu,24,Lampre - Merida,,,",,19:41",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
55,56,72.0,+42:05,155,KING Ben,27,Cannondale Pro Cycling Team,,,",,19:41",Criterium_du_Dauphin_,6,11 June 2016,32.01 km/h,308,141 km,3
