,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,127,VIVIANI Elia,28,Team Sky,400.0,225.0,5:15:51,Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
1,2,101,DÉMARE Arnaud,25,FDJ,320.0,150.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
2,3,152,GROENEWEGEN Dylan,24,Team LottoNL-Jumbo,260.0,110.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
3,4,11,KRISTOFF Alexander,30,Team Katusha Alpecin,220.0,90.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
4,5,73,GREIPEL André,35,Lotto Soudal,180.0,80.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
5,6,116,RICHEZE Maximiliano,34,Quick-Step Floors,140.0,70.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
6,7,167,STUYVEN Jasper,25,Trek - Segafredo,120.0,60.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
7,8,174,KUMP Marko,28,UAE Team Emirates,100.0,50.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
8,9,201,BOUHANNI Nacer,27,"Cofidis, Solutions Crédits",80.0,46.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
9,10,62,BARBIER Rudy,24,AG2R La Mondiale,68.0,42.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
10,11,23,BENNETT Sam,26,BORA - hansgrohe,56.0,38.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
11,12,92,DRUCKER Jempy,30,BMC Racing Team,48.0,34.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
12,13,18,ZABEL Rick,23,Team Katusha Alpecin,40.0,30.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
13,14,32,BONIFAZIO Niccolò,23,Bahrain Merida Pro Cycling Team,32.0,26.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
14,15,36,HAUSSLER Heinrich,33,Bahrain Merida Pro Cycling Team,28.0,22.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
15,16,172,FERRARI Roberto,34,UAE Team Emirates,24.0,20.0,",,0:00",Cyclassics_Hamburg,0,20 August 2017,41.96 km/h,0,220.9 km,32
