,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,16,LAMPAERT Yves,25,Quick-Step Floors,300.0,200.0,4:47:26,Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
1,2,11,GILBERT Philippe,34,Quick-Step Floors,250.0,150.0,0:390:39,Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
2,3,116,LUTSENKO Alexey,24,Astana Pro Team,215.0,120.0,",,0:39",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
3,4,64,DURBRIDGE Luke,25,ORICA-Scott,175.0,100.0,",,0:39",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
4,5,103,GROENEWEGEN Dylan,23,Team LottoNL-Jumbo,120.0,90.0,1:031:03,Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
5,6,91,NAESEN Oliver,26,AG2R La Mondiale,115.0,80.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
6,7,2,BENOOT Tiesj,23,Lotto Soudal,95.0,70.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
7,8,25,VAN BAARLE Dylan,24,Cannondale-Drapac Pro Cycling Team,75.0,60.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
8,9,67,DOCKER Mitchell,30,ORICA-Scott,60.0,50.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
9,10,175,SÉNÉCHAL Florian,23,"Cofidis, Solutions Crédits",50.0,40.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
10,11,4,GALLOPIN Tony,28,Lotto Soudal,40.0,36.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
11,12,111,BRESCHEL Matti,32,Astana Pro Team,35.0,32.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
12,13,248,VANTOMME Maxime,31,WB Veranclassic Aqua Protect,30.0,28.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
13,14,52,DRUCKER Jempy,30,BMC Racing Team,25.0,24.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
14,15,155,PÖSTLBERGER Lukas,25,BORA - hansgrohe,20.0,20.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
15,16,76,TEUNISSEN Mike,24,Team Sunweb,20.0,16.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
16,17,55,KÜNG Stefan,23,BMC Racing Team,20.0,14.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
17,18,145,PLANCKAERT Baptiste,28,Team Katusha Alpecin,20.0,12.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
18,19,22,LANGEVELD Sebastian,32,Cannondale-Drapac Pro Cycling Team,20.0,10.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
19,20,131,MARCATO Marco,33,UAE Team Emirates,20.0,9.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
20,21,17,ŠTYBAR Zdeněk,31,Quick-Step Floors,12.0,8.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
21,22,108,WYNANTS Maarten,34,Team LottoNL-Jumbo,12.0,7.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
22,23,51,VLIEGEN Loïc,23,BMC Racing Team,12.0,6.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
23,24,142,HOLLENSTEIN Reto,31,Team Katusha Alpecin,12.0,5.0,",,1:03",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
24,25,18,TERPSTRA Niki,32,Quick-Step Floors,12.0,4.0,1:081:08,Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
25,26,106,VAN HOECKE Gijs,25,Team LottoNL-Jumbo,12.0,3.0,",,1:08",Dwars_door_Vlaanderen___A_travers_la_Flandre_ME,0,22 March 2017,42.46 km/h,0,203.4 km,32
