,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,167,KWIATKOWSKI Michał,25,Team Sky,400.0,225.0,4:49:34,E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
1,2,1,SAGAN Peter,26,Tinkoff,320.0,150.0,0:040:04,E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
2,3,161,STANNARD Ian,28,Team Sky,260.0,110.0,0:110:11,E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
3,4,171,CANCELLARA Fabian,35,Trek - Segafredo,220.0,90.0,",,0:11",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
4,5,174,STUYVEN Jasper,23,Trek - Segafredo,180.0,80.0,",,0:11",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
5,6,42,BOOM Lars,30,Astana Pro Team,140.0,70.0,",,0:11",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
6,7,26,BENOOT Tiesj,22,Lotto Soudal,120.0,60.0,",,0:11",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
7,8,151,VANMARCKE Sep,27,Team LottoNL-Jumbo,100.0,50.0,",,0:11",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
8,9,53,DRUCKER Jempy,29,BMC Racing Team,80.0,46.0,",,0:11",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
9,10,55,OSS Daniel,29,BMC Racing Team,68.0,42.0,",,0:11",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
10,11,81,DEVENYNS Dries,32,IAM Cycling,56.0,38.0,",,0:11",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
11,12,16,TRENTIN Matteo,26,Etixx - Quick Step,48.0,34.0,",,0:11",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
12,13,15,TERPSTRA Niki,31,Etixx - Quick Step,40.0,30.0,0:150:15,E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
13,14,11,BOONEN Tom,35,Etixx - Quick Step,32.0,26.0,",,0:15",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
14,15,14,ŠTYBAR Zdeněk,30,Etixx - Quick Step,28.0,22.0,2:322:32,E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
15,16,83,HAUSSLER Heinrich,32,IAM Cycling,24.0,20.0,4:484:48,E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
16,17,197,MARCATO Marco,32,Wanty - Groupe Gobert,24.0,18.0,",,4:48",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
17,18,108,VENTOSO Francisco José,33,Movistar Team,24.0,17.0,",,4:48",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
18,19,67,VAN BAARLE Dylan,23,Cannondale Pro Cycling Team,24.0,16.0,",,4:48",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
19,20,204,MATZKA Ralf,26,Bora - Argon 18,,,",,4:48",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
20,20,52,BURGHARDT Marcus,32,BMC Racing Team,24.0,15.0,",,4:48",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
21,21,157,ROOSEN Timo,23,Team LottoNL-Jumbo,16.0,14.0,",,4:48",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
22,22,165,ROWE Luke,26,Team Sky,16.0,13.0,",,4:48",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
23,23,17,VANDENBERGH Stijn,31,Etixx - Quick Step,16.0,12.0,",,4:48",E3_Harelbeke,0,25 March 2016,42.68 km/h,0,206 km,26
