,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,21,CANCELLARA Fabian,32,RadioShack - Leopard,80.0,225.0,5:08:28,E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
1,2,87,SAGAN Peter,23,Cannondale Pro Cycling Team,60.0,150.0,1:041:04,E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
2,3,15,OSS Daniel,26,BMC Racing Team,50.0,110.0,",,1:04",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
3,4,48,THOMAS Geraint,26,Sky Procycling,40.0,90.0,",,1:04",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
4,5,155,LANGEVELD Sebastian,28,Orica GreenEDGE,30.0,80.0,1:081:08,E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
5,6,2,CHAVANEL Sylvain,33,Omega Pharma - Quick-Step,22.0,70.0,",,1:08",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
6,7,1,BOONEN Tom,32,Omega Pharma - Quick-Step,14.0,60.0,2:152:15,E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
7,8,126,PAOLINI Luca,36,Team Katusha,10.0,50.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
8,9,41,BOASSON HAGEN Edvald,25,Sky Procycling,6.0,46.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
9,10,247,TURGOT Sébastien,28,Team Europcar,2.0,42.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
10,11,233,HAUSSLER Heinrich,29,IAM Cycling,,38.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
11,12,65,IGLINSKIY Maxim,31,Astana Pro Team,,34.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
12,13,106,OFFREDO Yoann,26,FDJ,,30.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
13,14,146,ROJAS José Joaquín,27,Movistar Team,,26.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
14,15,185,BOLE Grega,27,Vacansoleil - DCM,,22.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
15,16,17,SCHÄR Michael,26,BMC Racing Team,,20.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
16,17,147,VENTOSO Francisco José,30,Movistar Team,,18.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
17,18,184,LINDEMAN Bert-Jan,23,Vacansoleil - DCM,,17.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
18,19,7,VAN KEIRSBULCK Guillaume,22,Omega Pharma - Quick-Step,,16.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
19,20,84,KOREN Kristijan,26,Cannondale Pro Cycling Team,,15.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
20,21,27,RAST Grégory,33,RadioShack - Leopard,,14.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
21,22,104,LADAGNOUS Matthieu,28,FDJ,,13.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
22,23,47,STANNARD Ian,25,Sky Procycling,,12.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
23,24,18,VAN AVERMAET Greg,27,BMC Racing Team,,11.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
24,25,187,SELVAGGI Mirko,28,Vacansoleil - DCM,,10.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
25,26,136,POZZATO Filippo,31,Lampre - Merida,,9.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
26,27,235,ELMIGER Martin,34,IAM Cycling,,8.0,",,2:15",E3_Prijs_Vlaanderen___Harelbeke,0,22 March 2013,41.04 km/h,0,211 km,26
