,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,3.0,+0:03,26,ŠTYBAR Zdeněk,27,Omega Pharma - Quick-Step,6.0,50.0,4:14:00,Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
1,2,106.0,+1:30,126,RICHEZE Maximiliano,30,Lampre - Merida,4.0,30.0,",,0:00",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
2,3,2.0,+0:01,1,BOOM Lars,27,Belkin-Pro Cycling Team,2.0,18.0,",,0:00",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
3,4,37.0,+0:18,76,NIZZOLO Giacomo,24,RadioShack - Leopard,1.0,13.0,0:020:02,Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
4,5,7.0,+0:08,61,GREIPEL André,31,Lotto Belisol Team,1.0,10.0,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
5,6,67.0,+0:39,164,BELLETTI Manuel,27,AG2R La Mondiale,,7.0,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
6,7,122.0,+2:14,201,NAPOLITANO Danilo,32,Accent.jobs – Wanty,,4.0,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
7,8,19.0,+0:15,95,PORSEV Alexander,27,Team Katusha,,3.0,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
8,9,150.0,+9:04,162,APPOLLONIO Davide,24,AG2R La Mondiale,,2.0,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
9,10,18.0,+0:15,151,ROJAS José Joaquín,28,Movistar Team,,1.0,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
10,11,89.0,+1:01,118,VEELERS Tom,28,Team Argos - Shimano,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
11,12,1.0,+0:00,181,DÉMARE Arnaud,21,FDJ.fr,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
12,13,101.0,+1:20,55,VAN POPPEL Boy,25,Vacansoleil - DCM,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
13,14,20.0,+0:15,34,CANTWELL Jonathan,31,Team Saxo - Tinkoff,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
14,15,112.0,+1:32,21,STEEGMANS Gert,32,Omega Pharma - Quick-Step,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
15,16,144.0,+6:02,81,BOŽIČ Borut,33,Astana Pro Team,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
16,17,74.0,+0:48,204,VAN DIJK Stefan,37,Accent.jobs – Wanty,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
17,18,10.0,+0:10,203,DRUCKER Jempy,26,Accent.jobs – Wanty,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
18,19,53.0,+0:22,174,LOBATO Juan José,24,Euskaltel - Euskadi,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
19,20,42.0,+0:22,148,VIVIANI Elia,24,Cannondale Pro Cycling Team,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
20,21,40.0,+0:22,195,VAN STAEYEN Michael,25,Topsport Vlaanderen - Baloise,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
21,22,125.0,+2:32,142,BOIVIN Guillaume,24,Cannondale Pro Cycling Team,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
22,23,21.0,+0:15,186,OFFREDO Yoann,26,FDJ.fr,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
23,24,6.0,+0:06,101,FARRAR Tyler,29,Garmin Sharp,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
24,25,109.0,+1:32,47,SUTTON Chris,28,Sky Procycling,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
25,26,45.0,+0:22,194,VAN HOECKE Gijs,21,Topsport Vlaanderen - Baloise,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
26,27,12.0,+0:10,36,KUMP Marko,24,Team Saxo - Tinkoff,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
27,28,73.0,+0:48,89,TLEUBAYEV Ruslan,26,Astana Pro Team,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
28,29,76.0,+0:48,178,TAMOURIDIS Ioannis,33,Euskaltel - Euskadi,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
29,30,41.0,+0:22,158,VENTOSO Francisco José,31,Movistar Team,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
30,31,78.0,+0:48,207,VANLANDSCHOOT James,34,Accent.jobs – Wanty,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
31,32,43.0,+0:22,92,GUSEV Vladimir,31,Team Katusha,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
32,33,75.0,+0:48,161,HUTAROVICH Yauheni,29,AG2R La Mondiale,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
33,34,9.0,+0:10,25,PETACCHI Alessandro,39,Omega Pharma - Quick-Step,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
34,35,22.0,+0:15,86,IGLINSKIY Maxim,32,Astana Pro Team,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
35,36,79.0,+0:48,166,HOULE Hugo,22,AG2R La Mondiale,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
36,37,11.0,+0:10,182,LADAGNOUS Matthieu,28,FDJ.fr,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
37,38,28.0,+0:15,6,TANKINK Bram,34,Belkin-Pro Cycling Team,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
38,39,25.0,+0:15,46,STANNARD Ian,26,Sky Procycling,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
39,40,72.0,+0:45,112,CURVERS Roy,33,Team Argos - Shimano,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
40,41,5.0,+0:04,11,GILBERT Philippe,31,BMC Racing Team,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
41,42,77.0,+0:48,14,LODEWYCK Klaas,25,BMC Racing Team,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
42,43,47.0,+0:22,88,GRIVKO Andrey,30,Astana Pro Team,,,",,0:02",Eneco_Tour,3,14 August 2013,44.24 km/h,0,187.3 km,28
