,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,76,VAN EMDEN Jos,30,Team LottoNL-Jumbo,6.0,50.0,0:16:34,50.342,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
1,2,2.0,+0:05,71,KELDERMAN Wilco,24,Team LottoNL-Jumbo,4.0,30.0,0:050:05,50.09,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
2,3,3.0,+0:07,152,MALORI Adriano,27,Movistar Team,2.0,18.0,0:070:07,49.99,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
3,4,4.0,+0:07,61,BOOM Lars,29,Astana Pro Team,1.0,13.0,",,0:07",49.99,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
4,5,5.0,+0:11,123,BRÄNDLE Matthias,25,IAM Cycling,1.0,10.0,0:110:11,49.791000000000004,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
5,6,6.0,+0:14,25,VAN AVERMAET Greg,30,BMC Racing Team,,7.0,0:140:14,49.643,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
6,7,7.0,+0:16,24,QUINZIATO Manuel,35,BMC Racing Team,,4.0,0:160:16,49.545,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
7,8,8.0,+0:18,21,GILBERT Philippe,33,BMC Racing Team,,3.0,0:200:20,49.349,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
8,9,9.0,+0:21,104,HEPBURN Michael,23,Orica GreenEDGE,,2.0,0:210:21,49.3,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
9,10,10.0,+0:21,31,ROGERS Michael,35,Tinkoff - Saxo,,1.0,",,0:21",49.3,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
10,11,11.0,+0:23,42,FELLINE Fabio,25,Trek Factory Racing,,,0:230:23,49.20399999999999,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
11,12,12.0,+0:24,1,WELLENS Tim,24,Lotto Soudal,,,0:240:24,49.155,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
12,13,13.0,+0:25,80,FLENS Rick,32,Team LottoNL-Jumbo,,,0:250:25,49.107,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
13,14,14.0,+0:27,117,NAVARDAUSKAS Ramūnas,27,Team Cannondale - Garmin,,,0:270:27,49.011,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
14,15,16.0,+0:29,111,VAN BAARLE Dylan,23,Team Cannondale - Garmin,,,0:290:29,48.915,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
15,16,15.0,+0:28,64,GRIVKO Andrey,32,Astana Pro Team,,,",,0:29",48.915,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
16,17,17.0,+0:30,129,HOLLENSTEIN Reto,29,IAM Cycling,,,0:300:30,48.867,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
17,18,143.0,+2:58,41,COLEDAN Marco,26,Trek Factory Racing,,,0:320:32,48.772,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
18,19,18.0,+0:32,172,CAMPENAERTS Victor,23,Topsport Vlaanderen - Baloise,,,",,0:32",48.772,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
19,20,19.0,+0:34,101,TUFT Svein,38,Orica GreenEDGE,,,0:340:34,48.677,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
20,21,20.0,+0:34,132,ARNDT Nikias,23,Team Giant - Alpecin,,,",,0:34",48.677,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
21,22,21.0,+0:35,32,VALGREN Michael,23,Tinkoff - Saxo,,,0:350:35,48.63,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
22,23,22.0,+0:35,35,JUUL-JENSEN Christopher,26,Tinkoff - Saxo,,,",,0:35",48.63,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
23,24,23.0,+0:38,124,DEVENYNS Dries,32,IAM Cycling,,,0:380:38,48.488,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
24,25,24.0,+0:39,146,LE BON Johan,24,FDJ,,,0:390:39,48.441,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
25,26,25.0,+0:40,55,PATE Danny,36,Team Sky,,,0:400:40,48.395,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
26,27,26.0,+0:41,12,ALAPHILIPPE Julian,23,Etixx - Quick Step,,,0:410:41,48.348,Eneco_Tour,4,13 August 2015,50.34 km/h,0,13.9 km,28
