,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,0,BOASSON HAGEN Edvald,24,Sky Procycling,6.0,50.0,4:53:06,Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
1,2,39.0,+2:47,0,CARDOSO Manuel Antonio Leal,28,RadioShack,4.0,30.0,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
2,3,12.0,+1:17,0,BOOM Lars,25,Rabobank Cycling Team,2.0,18.0,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
3,4,16.0,+1:31,0,BOLE Grega,26,Lampre - ISD,1.0,13.0,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
4,5,25.0,+2:04,0,CARUSO Damiano,23,Liquigas - Cannondale,1.0,10.0,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
5,6,85.0,+18:56,0,STAUFF Andreas,24,Quickstep Cycling Team,,7.0,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
6,7,59.0,+5:39,0,VAITKUS Tomas,29,Pro Team Astana,,4.0,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
7,8,34.0,+2:36,0,PONZI Simone,24,Liquigas - Cannondale,,3.0,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
8,9,15.0,+1:31,0,DE KORT Koen,28,Skil - Shimano,,2.0,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
9,10,11.0,+1:15,0,GUSEV Vladimir,29,Team Katusha,,1.0,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
10,11,30.0,+2:19,0,VANTOMME Maxime,25,Team Katusha,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
11,12,8.0,+1:08,0,DEVENYNS Dries,28,Quickstep Cycling Team,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
12,13,89.0,+20:13,0,VAN STAEYEN Michael,23,Topsport Vlaanderen - Mercator,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
13,14,33.0,+2:33,0,PASAMONTES Luis,31,Movistar Team,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
14,15,6.0,+1:04,0,VAN LEIJEN Joost,27,Vacansoleil - DCM,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
15,16,18.0,+1:37,0,TANKINK Bram,32,Rabobank Cycling Team,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
16,17,3.0,+0:28,0,MILLAR David,34,Team Garmin - Cervélo,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
17,18,7.0,+1:07,0,CORNU Dominique,25,Topsport Vlaanderen - Mercator,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
18,19,10.0,+1:13,0,GERDEMANN Linus,28,Leopard Trek,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
19,20,5.0,+0:57,0,VAN EMDEN Jos,26,Rabobank Cycling Team,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
20,21,9.0,+1:09,0,HERMANS Ben,25,RadioShack,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
21,22,42.0,+2:57,0,RAST Grégory,31,RadioShack,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
22,23,13.0,+1:22,0,SARAMOTINS Aleksejs,29,"Cofidis, le Crédit en Ligne",,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
23,24,27.0,+2:07,0,ELMIGER Martin,32,AG2R La Mondiale,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
24,25,36.0,+2:43,0,KNEES Christian,30,Sky Procycling,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
25,26,73.0,+11:36,0,HENDERSON Gregory,34,Sky Procycling,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
26,27,28.0,+2:12,0,MONDORY Lloyd,29,AG2R La Mondiale,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
27,28,38.0,+2:44,0,VAN GOOLEN Jurgen,30,Veranda's Willems - Accent,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
28,29,2.0,+0:22,0,GILBERT Philippe,29,Omega Pharma-Lotto,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
29,30,35.0,+2:43,0,JACOBS Pieter,25,Topsport Vlaanderen - Mercator,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
30,31,21.0,+1:53,0,LANGEVELD Sebastian,26,Rabobank Cycling Team,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
31,32,31.0,+2:29,0,BARRY Michael,35,Sky Procycling,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
32,33,23.0,+1:57,0,TJALLINGII Maarten,33,Rabobank Cycling Team,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
33,34,17.0,+1:33,0,STAMSNIJDER Tom,26,Leopard Trek,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
34,35,62.0,+7:29,0,LOOSLI David,31,Lampre - ISD,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
35,36,19.0,+1:47,0,NUYENS Nick,31,Saxo Bank - Sungard,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
36,37,26.0,+2:05,0,ŠTYBAR Zdeněk,25,Quickstep Cycling Team,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
37,38,41.0,+2:48,0,ZINGLE Romain,24,"Cofidis, le Crédit en Ligne",,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
38,39,14.0,+1:26,0,VAN AVERMAET Greg,26,BMC Racing Team,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
39,40,50.0,+3:38,0,PIETROPOLLI Daniele,31,Lampre - ISD,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
40,41,32.0,+2:32,0,KROON Karsten,35,BMC Racing Team,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
41,42,24.0,+1:59,0,FLECHA Juan Antonio,33,Sky Procycling,,,",,0:00",Eneco_Tour,7,14 August 2011,41.187 km/h,0,201.2 km,26
