,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,KRISTOFF Alexander,29,Team Katusha Alpecin,300.0,200.0,5:29:32,Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
1,2,8,ZABEL Rick,23,Team Katusha Alpecin,250.0,150.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
2,3,31,DEGENKOLB John,28,Trek - Segafredo,215.0,120.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
3,4,94,DRUCKER Jempy,30,BMC Racing Team,175.0,100.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
4,5,161,LIGTHART Pim,28,Roompot - Nederlandse Loterij,120.0,90.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
5,6,131,LOBATO Juan José,28,Team LottoNL-Jumbo,115.0,80.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
6,7,38,STUYVEN Jasper,25,Trek - Segafredo,95.0,70.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
7,8,14,RICHEZE Maximiliano,34,Quick-Step Floors,75.0,60.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
8,9,157,KREDER Michel,29,Aqua Blue Sport,60.0,50.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
9,10,71,SWIFT Ben,29,UAE Team Emirates,50.0,40.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
10,11,92,BOHLI Tom,23,BMC Racing Team,40.0,36.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
11,12,145,KIRSCH Alex,24,WB Veranclassic Aqua Protect,35.0,32.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
12,13,96,VENTOSO Francisco José,34,BMC Racing Team,30.0,28.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
13,14,63,BARBIER Rudy,24,AG2R La Mondiale,25.0,24.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
14,15,51,MATTHEWS Michael,26,Team Sunweb,20.0,20.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
15,16,191,PATERSKI Maciej,30,CCC Sprandi Polkowice,20.0,16.0,",,0:00",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
16,17,117,VAN ASBROECK Tom,27,Cannondale-Drapac Pro Cycling Team,20.0,14.0,0:060:06,Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
17,18,167,RIESEBEEK Oscar,24,Roompot - Nederlandse Loterij,20.0,12.0,",,0:06",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
18,19,172,BILLE Gaëtan,29,Vérandas Willems-Crelan,20.0,10.0,",,0:06",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
19,20,45,MAES Nikolas,31,Lotto Soudal,20.0,9.0,",,0:06",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
20,21,185,SHALUNOV Evgeny,25,Gazprom-RusVelo,12.0,8.0,",,0:06",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
21,22,25,BENNETT Sam,26,BORA - hansgrohe,12.0,7.0,",,0:06",Eschborn_Frankfurt__Rund_um_den_Finanzplatz_,0,01 May 2017,39.27 km/h,0,215.7 km,44
