,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,VIVIANI Elia,29,Quick-Step Floors,400.0,225.0,4:46:01,EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
1,2,62,DÉMARE Arnaud,26,Groupama - FDJ,320.0,150.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
2,3,175,KRISTOFF Alexander,31,UAE-Team Emirates,260.0,110.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
3,4,163,DEGENKOLB John,29,Trek - Segafredo,220.0,90.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
4,5,83,TRENTIN Matteo,29,Mitchelton-Scott,180.0,80.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
5,6,165,NIZZOLO Giacomo,29,Trek - Segafredo,140.0,70.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
6,7,117,MODOLO Sacha,31,Team EF Education First-Drapac p/b Cannondale,120.0,60.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
7,8,151,ARNDT Nikias,26,Team Sunweb,100.0,50.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
8,9,33,BONIFAZIO Niccolò,24,Bahrain Merida Pro Cycling Team,80.0,46.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
9,10,55,SAGAN Peter,28,BORA - hansgrohe,68.0,42.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
10,11,45,ROELANDTS Jürgen,33,BMC Racing Team,56.0,38.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
11,12,173,CONSONNI Simone,23,UAE-Team Emirates,48.0,34.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
12,13,25,TLEUBAYEV Ruslan,31,Astana Pro Team,40.0,30.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
13,14,77,DE BUYST Jasper,24,Lotto Soudal,32.0,26.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
14,15,96,ROJAS José Joaquín,33,Movistar Team,28.0,22.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
15,16,183,KOCH Jonas,25,CCC Sprandi Polkowice,24.0,20.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
16,17,141,GOŁAŚ Michał,34,Team Sky,24.0,18.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
17,18,202,DE WITTE Mathias,25,Vérandas Willems-Crelan,24.0,17.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
18,19,72,BENOOT Tiesj,24,Lotto Soudal,24.0,16.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
19,20,63,GUARNIERI Jacopo,31,Groupama - FDJ,24.0,15.0,",,0:00",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
20,21,123,HOLLENSTEIN Reto,32,Team Katusha Alpecin,16.0,14.0,0:050:05,EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
21,22,203,LIVYNS Arjen,23,Vérandas Willems-Crelan,16.0,13.0,",,0:05",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
22,23,73,GREIPEL André,36,Lotto Soudal,16.0,12.0,",,0:05",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
23,24,7,SABATINI Fabio,33,Quick-Step Floors,16.0,11.0,0:110:11,EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
24,25,6,MØRKØV Michael,33,Quick-Step Floors,16.0,10.0,0:130:13,EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
25,26,53,BURGHARDT Marcus,35,BORA - hansgrohe,16.0,9.0,",,0:13",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
26,27,125,POLITT Nils,24,Team Katusha Alpecin,16.0,8.0,",,0:13",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
27,28,84,MEZGEC Luka,30,Mitchelton-Scott,16.0,7.0,",,0:13",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
28,29,191,PORSEV Alexander,32,Gazprom-RusVelo,16.0,6.0,",,0:13",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
29,30,107,BERHANE Natnael,27,Team Dimension Data,16.0,5.0,",,0:13",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
30,31,181,FRANCZAK Paweł,26,CCC Sprandi Polkowice,8.0,5.0,0:190:19,EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
31,32,105,THOMSON Jay Robert,32,Team Dimension Data,8.0,5.0,0:210:21,EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
32,33,12,CHEREL Mikaël,32,AG2R La Mondiale,8.0,5.0,",,0:21",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
33,34,126,RESTREPO Jhonatan,23,Team Katusha Alpecin,8.0,5.0,",,0:21",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
34,35,192,NYCH Artem,23,Gazprom-RusVelo,8.0,5.0,",,0:21",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
35,36,85,IMPEY Daryl,33,Mitchelton-Scott,8.0,5.0,",,0:21",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
36,37,11,BAKELANTS Jan,32,AG2R La Mondiale,8.0,5.0,",,0:21",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
37,38,16,PETERS Nans,24,AG2R La Mondiale,8.0,5.0,",,0:21",EuroEyes_Cyclassics_Hamburg,0,19 August 2018,45.4 km/h,0,216.4 km,35
