,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,156,KRISTOFF Alexander,28,Team Katusha,80.0,225.0,5:31:32,GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
1,2,16,PONZI Simone,28,Southeast,60.0,150.0,",,0:00",GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
2,3,66,NAVARDAUSKAS Ramūnas,27,Team Cannondale - Garmin,50.0,110.0,",,0:00",GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
3,4,221,BOLE Grega,30,CCC Sprandi Polkowice,40.0,90.0,",,0:00",GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
4,5,96,ROELANDTS Jürgen,30,Lotto Soudal,30.0,80.0,",,0:00",GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
5,6,26,ROUX Anthony,28,FDJ,22.0,70.0,",,0:00",GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
6,7,186,FONSECA Armindo,26,Bretagne - Séché Environnement,14.0,60.0,",,0:00",GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
7,8,164,POELS Wout,27,Team Sky,10.0,50.0,",,0:00",GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
8,9,82,GULDHAMMER Rasmus,26,Cult Energy Pro Cycling,6.0,46.0,",,0:00",GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
9,10,126,CORT Magnus,22,Orica GreenEDGE,2.0,42.0,",,0:00",GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
10,11,133,COQUARD Bryan,23,Team Europcar,,38.0,",,0:00",GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
11,12,142,CURVERS Roy,35,Team Giant - Alpecin,,34.0,",,0:00",GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
12,13,6,HAUSSLER Heinrich,31,IAM Cycling,,30.0,",,0:00",GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
13,14,195,MOLARD Rudy,25,"Cofidis, Solutions Crédits",,26.0,",,0:00",GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
14,15,168,VIVIANI Elia,26,Team Sky,,22.0,",,0:00",GP_Ouest_France___Plouay,0,30 August 2015,41.46 km/h,0,229.1 km,18
