,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,134,DEGENKOLB John,25,Team Giant - Shimano,80.0,225.0,5:34:37,Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
1,2,53,DÉMARE Arnaud,22,FDJ.fr,60.0,150.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
2,3,1,SAGAN Peter,24,Cannondale,50.0,110.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
3,4,37,VANMARCKE Sep,25,Belkin-Pro Cycling Team,40.0,90.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
4,5,101,BOONEN Tom,33,Omega Pharma - Quick-Step,30.0,80.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
5,6,244,VAN ASBROECK Tom,23,Topsport Vlaanderen - Baloise,22.0,70.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
6,7,148,TSATEVICH Alexey,24,Team Katusha,14.0,60.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
7,8,17,HUTAROVICH Yauheni,30,AG2R La Mondiale,10.0,50.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
8,9,41,HUSHOVD Thor,36,BMC Racing Team,6.0,46.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
9,10,86,ROELANDTS Jürgen,28,Lotto Belisol,2.0,42.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
10,11,142,KRISTOFF Alexander,26,Team Katusha,,38.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
11,12,221,BENNETT Sam,23,Team NetApp – Endura,,34.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
12,13,121,COQUARD Bryan,21,Team Europcar,,30.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
13,14,18,MONDORY Lloyd,31,AG2R La Mondiale,,26.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
14,15,106,TRENTIN Matteo,24,Omega Pharma - Quick-Step,,22.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
15,16,194,LEMOINE Cyril,31,"Cofidis, Solutions Crédits",,20.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
16,17,211,CIOLEK Gerald,27,MTN - Qhubeka,,18.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
17,18,161,BENNATI Daniele,33,Tinkoff - Saxo,,17.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
18,19,178,VAN POPPEL Boy,26,Trek Factory Racing,,16.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
19,20,105,ŠTYBAR Zdeněk,28,Omega Pharma - Quick-Step,,15.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
20,21,95,LOBATO Juan José,25,Movistar Team,,14.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
21,22,44,PHINNEY Taylor,23,BMC Racing Team,,13.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
22,23,151,BOASSON HAGEN Edvald,26,Team Sky,,12.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
23,24,152,EISEL Bernhard,33,Team Sky,,11.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
24,25,75,MODOLO Sacha,26,Lampre - Merida,,10.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
25,26,58,OFFREDO Yoann,27,FDJ.fr,,9.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
26,27,233,DRUCKER Jempy,27,Wanty - Groupe Gobert,,8.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
27,28,47,VAN AVERMAET Greg,28,BMC Racing Team,,7.0,",,0:00",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
28,29,215,SBARAGLI Kristian,23,MTN - Qhubeka,,6.0,0:040:04,Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
29,30,72,CIMOLAI Davide,24,Lampre - Merida,,5.0,0:060:06,Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
30,31,133,DE KORT Koen,31,Team Giant - Shimano,,5.0,",,0:06",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
31,32,46,SCHÄR Michael,27,BMC Racing Team,,5.0,0:090:09,Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
32,33,3,GATTO Oscar,29,Cannondale,,5.0,0:100:10,Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
33,34,16,TURGOT Sébastien,29,AG2R La Mondiale,,5.0,",,0:10",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
34,35,236,SELVAGGI Mirko,29,Wanty - Groupe Gobert,,5.0,0:160:16,Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
35,36,198,ZINGLE Romain,27,"Cofidis, Solutions Crédits",,5.0,",,0:16",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
36,37,115,KEUKELEIRE Jens,25,Orica GreenEDGE,,5.0,0:190:19,Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
37,38,171,CANCELLARA Fabian,33,Trek Factory Racing,,5.0,",,0:19",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
38,39,84,GALLOPIN Tony,25,Lotto Belisol,,5.0,",,0:19",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
39,40,174,RAST Grégory,34,Trek Factory Racing,,5.0,",,0:19",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
40,41,93,ERVITI Imanol,30,Movistar Team,,5.0,",,0:19",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
41,42,143,GUSEV Vladimir,31,Team Katusha,,5.0,",,0:19",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
42,43,22,GAVAZZI Francesco,29,Astana Pro Team,,5.0,",,0:19",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
43,44,166,MØRKØV Michael,28,Tinkoff - Saxo,,5.0,",,0:19",Gent_Wevelgem_In_Flanders_Fields_ME,0,30 March 2014,41.78 km/h,0,233 km,24
