,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,181,PEDERSEN Mads,24,Trek - Segafredo,500.0,225.0,5:19:20,Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
1,2,15,SÉNÉCHAL Florian,27,Deceuninck - Quick Step,400.0,150.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
2,3,71,TRENTIN Matteo,31,CCC Team,325.0,110.0,",,0:00",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
3,4,91,BETTIOL Alberto,26,EF Pro Cycling,275.0,90.0,0:010:01,Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
4,5,101,KÜNG Stefan,26,Groupama - FDJ,225.0,80.0,0:030:03,Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
5,6,23,DEGENKOLB John,31,Lotto Soudal,175.0,70.0,0:040:04,Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
6,7,14,LAMPAERT Yves,29,Deceuninck - Quick Step,150.0,60.0,",,0:04",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
7,8,121,VAN AERT Wout,26,Team Jumbo-Visma,125.0,50.0,0:070:07,Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
8,9,201,VAN DER POEL Mathieu,25,Alpecin-Fenix,100.0,46.0,0:080:08,Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
9,10,52,TEUNS Dylan,28,Bahrain - McLaren,85.0,42.0,1:401:40,Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
10,11,12,ASGREEN Kasper,25,Deceuninck - Quick Step,70.0,38.0,1:561:56,Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
11,12,166,ROWE Luke,30,INEOS Grenadiers,60.0,34.0,",,1:56",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
12,13,27,VERMEERSCH Florian,21,Lotto Soudal,50.0,30.0,",,1:56",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
13,14,31,NAESEN Oliver,30,AG2R La Mondiale,40.0,26.0,2:042:04,Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
14,15,63,DRUCKER Jempy,34,BORA - hansgrohe,35.0,22.0,",,2:04",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
15,16,143,JACOBS Johan,23,Movistar Team,30.0,20.0,2:062:06,Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
16,17,97,VANMARCKE Sep,32,EF Pro Cycling,30.0,18.0,",,2:06",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
17,18,126,TEUNISSEN Mike,28,Team Jumbo-Visma,30.0,17.0,2:132:13,Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
18,19,1,KRISTOFF Alexander,33,UAE-Team Emirates,30.0,16.0,3:023:02,Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
19,20,234,PASQUALON Andrea,32,Circus - Wanty Gobert,30.0,15.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
20,21,173,BOL Cees,25,Team Sunweb,20.0,14.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
21,22,32,DILLIER Silvan,30,AG2R La Mondiale,20.0,13.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
22,23,242,CAPIOT Amaury,27,Sport Vlaanderen - Baloise,20.0,12.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
23,24,116,HOFSTETTER Hugo,26,Israel Start-Up Nation,20.0,11.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
24,25,84,LEMOINE Cyril,37,"Cofidis, Solutions Crédits",20.0,10.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
25,26,24,FRISON Frederik,28,Lotto Soudal,20.0,9.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
26,27,203,MERLIER Tim,27,Alpecin-Fenix,20.0,8.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
27,28,155,JANSE VAN RENSBURG Reinardt,31,NTT Pro Cycling,20.0,7.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
28,29,196,TURGIS Anthony,26,Team Total Direct Energie,20.0,6.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
29,30,207,VERMEERSCH Gianni,27,Alpecin-Fenix,20.0,5.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
30,31,62,BURGHARDT Marcus,37,BORA - hansgrohe,10.0,5.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
31,32,74,VAN HOECKE Gijs,28,CCC Team,10.0,5.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
32,33,26,VAN MOER Brent,22,Lotto Soudal,10.0,5.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
33,34,36,NAESEN Lawrence,28,AG2R La Mondiale,10.0,5.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
34,35,107,STEWART Jake,21,Groupama - FDJ,10.0,5.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
35,36,45,HOULE Hugo,30,Astana Pro Team,10.0,5.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
36,37,211,DEBUSSCHERE Jens,31,B&B Hotels - Vital Concept p/b KTM,10.0,5.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
37,38,186,STUYVEN Jasper,28,Trek - Segafredo,10.0,5.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
38,39,57,WRIGHT Fred,21,Bahrain - McLaren,10.0,5.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
39,40,85,TOUZÉ Damien,24,"Cofidis, Solutions Crédits",10.0,5.0,",,3:02",Gent_Wevelgem_in_Flanders_Fields_ME,0,11 October 2020,43.68 km/h,20,232.5 km,13
