,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,77,SAGAN Peter,23,Cannondale Pro Cycling Team,80.0,225.0,4:29:10,Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
1,2,42,BOŽIČ Borut,32,Astana Pro Team,60.0,150.0,0:230:23,Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
2,3,68,VAN AVERMAET Greg,27,BMC Racing Team,50.0,110.0,",,0:23",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
3,4,233,HAUSSLER Heinrich,29,IAM Cycling,40.0,90.0,",,0:23",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
4,5,183,FLECHA Juan Antonio,35,Vacansoleil - DCM,30.0,80.0,",,0:23",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
5,6,96,LADAGNOUS Matthieu,28,FDJ,22.0,70.0,",,0:23",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
6,7,12,EISEL Bernhard,32,Sky Procycling,14.0,60.0,",,0:23",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
7,8,7,VANDENBERGH Stijn,28,Omega Pharma - Quick-Step,10.0,50.0,0:240:24,Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
8,9,156,POPOVYCH Yaroslav,33,RadioShack - Leopard,6.0,46.0,",,0:24",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
9,10,141,AMADOR Andrey,26,Movistar Team,2.0,42.0,",,0:24",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
10,11,24,GREIPEL André,30,Lotto Belisol Team,,38.0,0:400:40,Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
11,12,93,DÉMARE Arnaud,21,FDJ,,34.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
12,13,172,BRESCHEL Matti,28,Team Saxo - Tinkoff,,30.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
13,14,125,KRISTOFF Alexander,25,Team Katusha,,26.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
14,15,78,VIVIANI Elia,24,Cannondale Pro Cycling Team,,22.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
15,16,242,COQUARD Bryan,20,Team Europcar,,20.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
16,17,62,HUSHOVD Thor,35,BMC Racing Team,,18.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
17,18,2,CAVENDISH Mark,27,Omega Pharma - Quick-Step,,17.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
18,19,187,VAN POPPEL Boy,25,Vacansoleil - DCM,,16.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
19,20,11,BOASSON HAGEN Edvald,25,Sky Procycling,,15.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
20,21,36,HUTAROVICH Yauheni,29,AG2R La Mondiale,,14.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
21,22,234,HINAULT Sébastien,39,IAM Cycling,,13.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
22,23,51,BOOM Lars,27,Blanco Pro Cycling Team,,12.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
23,24,224,GHYSELINCK Jan,25,"Cofidis, Solutions Crédits",,11.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
24,25,114,HOWARD Leigh,23,Orica GreenEDGE,,10.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
25,26,217,VANLANDSCHOOT James,34,Accent.jobs – Wanty,,9.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
26,27,97,OFFREDO Yoann,26,FDJ,,8.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
27,28,43,GRIVKO Andrey,29,Astana Pro Team,,7.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
28,29,146,ROJAS José Joaquín,27,Movistar Team,,6.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
29,30,154,HONDO Danilo,39,RadioShack - Leopard,,5.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
30,31,166,SINKELDAM Ramon,24,Team Argos - Shimano,,5.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
31,32,158,SERGENT Jesse,24,RadioShack - Leopard,,5.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
32,33,91,BOUCHER David,33,FDJ,,5.0,",,0:40",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
33,34,92,DELAGE Mickaël,27,FDJ,,5.0,0:440:44,Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
34,35,74,KOREN Kristijan,26,Cannondale Pro Cycling Team,,5.0,",,0:44",Gent___Wevelgem,0,24 March 2013,42.35 km/h,0,190 km,14
