,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,BOONEN Tom,30,Quickstep Cycling Team,80.0,225.0,4:35:00,Gent___Wevelgem,0,27 March 2011,44.62 km/h,0,204.5 km,16
1,2,0,BENNATI Daniele,30,Leopard Trek,60.0,150.0,",,0:00",Gent___Wevelgem,0,27 March 2011,44.62 km/h,0,204.5 km,16
2,3,0,FARRAR Tyler,26,Team Garmin - Cervélo,50.0,110.0,",,0:00",Gent___Wevelgem,0,27 March 2011,44.62 km/h,0,204.5 km,16
3,4,0,GREIPEL André,28,Omega Pharma-Lotto,40.0,90.0,",,0:00",Gent___Wevelgem,0,27 March 2011,44.62 km/h,0,204.5 km,16
4,5,0,MONDORY Lloyd,28,AG2R La Mondiale,30.0,80.0,",,0:00",Gent___Wevelgem,0,27 March 2011,44.62 km/h,0,204.5 km,16
5,6,0,DOCKER Mitchell,24,Skil - Shimano,22.0,70.0,",,0:00",Gent___Wevelgem,0,27 March 2011,44.62 km/h,0,204.5 km,16
6,7,0,EISEL Bernhard,30,HTC - High Road,14.0,60.0,",,0:00",Gent___Wevelgem,0,27 March 2011,44.62 km/h,0,204.5 km,16
7,8,0,GODDAERT Kristof,24,AG2R La Mondiale,10.0,50.0,",,0:00",Gent___Wevelgem,0,27 March 2011,44.62 km/h,0,204.5 km,16
8,9,0,BOOM Lars,25,Rabobank Cycling Team,6.0,46.0,",,0:00",Gent___Wevelgem,0,27 March 2011,44.62 km/h,0,204.5 km,16
9,10,0,COOKE Baden,32,Saxo Bank - Sungard,2.0,42.0,",,0:00",Gent___Wevelgem,0,27 March 2011,44.62 km/h,0,204.5 km,16
10,11,0,OFFREDO Yoann,24,FDJ,,38.0,",,0:00",Gent___Wevelgem,0,27 March 2011,44.62 km/h,0,204.5 km,16
11,12,0,DUQUE Leonardo Fabio,30,"Cofidis, le Crédit en Ligne",,34.0,",,0:00",Gent___Wevelgem,0,27 March 2011,44.62 km/h,0,204.5 km,16
