,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,12.0,+2:35,16,GADRET John,32,AG2R La Mondiale,16.0,80.0,3:33:11,Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
1,2,18.0,+3:22,81,RODRÍGUEZ Joaquim,32,Team Katusha,8.0,50.0,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
2,3,51.0,+24:26,150,VISCONTI Giovanni,28,Farnese Vini-Neri-Sottoli,4.0,35.0,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
3,4,8.0,+1:47,21,SERPA José Rodolfo,32,Androni Giocattoli - Serramenti PVC Diquigiovanni,2.0,25.0,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
4,5,1.0,+0:00,181,CONTADOR Alberto,28,Saxo Bank - Sungard,,,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
5,5,7.0,+1:41,141,KREUZIGER Roman,25,Pro Team Astana,1.0,18.0,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
6,6,9.0,+2:21,162,CATALDO Dario,26,Quickstep Cycling Team,,15.0,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
7,7,5.0,+1:28,91,SCARPONI Michele,31,Lampre - ISD,,12.0,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
8,8,28.0,+6:58,125,LASTRAS Pablo,35,Movistar Team,,10.0,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
9,9,3.0,+1:21,111,NIBALI Vincenzo,26,Liquigas - Cannondale,,8.0,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
10,10,16.0,+3:18,61,MENCHOV Denis,33,Geox-TMC Transformers,,6.0,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
11,11,10.0,+2:21,221,CARRARA Matteo,32,Vacansoleil - DCM,,5.0,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
12,12,26.0,+6:05,23,RUJANO José Humberto,29,Androni Giocattoli - Serramenti PVC Diquigiovanni,,4.0,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
13,13,6.0,+1:37,121,ARROYO David,31,Movistar Team,,3.0,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
14,14,11.0,+2:21,51,ANTÓN Igor,28,Euskaltel - Euskadi,,2.0,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
15,15,2.0,+0:59,79,SIUTSOU Kanstantsin,28,HTC - High Road,,1.0,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
16,16,13.0,+2:39,1,GARZELLI Stefano,37,Acqua & Sapone,,,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
17,17,14.0,+2:57,15,DUPONT Hubert,30,AG2R La Mondiale,,,",,0:00",Giro_d_Italia,11,18 May 2011,40.528 km/h,0,144 km,15
