,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,4.0,+2:57,165,GEOGHEGAN HART Tao,25,INEOS Grenadiers,100.0,80.0,4:58:52,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
1,2,2.0,+0:15,181,KELDERMAN Wilco,29,Team Sunweb,40.0,50.0,0:020:02,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
2,3,3.0,+2:56,185,HINDLEY Jai,24,Team Sunweb,20.0,35.0,0:040:04,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
3,4,1.0,+0:00,81,ALMEIDA João,22,Deceuninck - Quick Step,12.0,25.0,0:370:37,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
4,5,6.0,+3:18,57,MAJKA Rafał,31,BORA - hansgrohe,4.0,18.0,1:221:22,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
5,6,9.0,+4:09,56,KONRAD Patrick,29,BORA - hansgrohe,,15.0,1:291:29,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
6,7,14.0,+8:55,86,KNOX James,24,Deceuninck - Quick Step,,12.0,1:361:36,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
7,8,5.0,+3:10,33,BILBAO Pello,30,Bahrain - McLaren,,10.0,",,1:36",Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
8,9,12.0,+5:07,21,FUGLSANG Jakob,35,Astana Pro Team,,8.0,",,1:36",Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
9,10,7.0,+3:29,191,NIBALI Vincenzo,35,Trek - Segafredo,,6.0,",,1:36",Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
10,11,10.0,+4:12,87,MASNADA Fausto,26,Deceuninck - Quick Step,,5.0,1:381:38,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
11,12,8.0,+3:50,155,POZZOVIVO Domenico,37,NTT Pro Cycling,,4.0,1:541:54,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
12,13,13.0,+8:14,143,PEDRERO Antonio,28,Movistar Team,,3.0,",,1:54",Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
13,14,15.0,+9:30,37,PERNSTEINER Hermann,30,Bahrain - McLaren,,2.0,",,1:54",Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
14,15,11.0,+4:29,206,MCNULTY Brandon,22,UAE-Team Emirates,,1.0,2:432:43,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
15,16,35.0,+1:09:13,154,O'CONNOR Ben,24,NTT Pro Cycling,,,3:103:10,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
16,17,26.0,+47:38,96,KANGERT Tanel,33,EF Pro Cycling,,,5:075:07,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
17,18,32.0,+1:01:23,63,DE LA PARTE Víctor,34,CCC Team,,,",,5:07",Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
18,19,25.0,+47:01,168,SWIFT Ben,32,INEOS Grenadiers,,,",,5:07",Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
19,20,20.0,+31:56,54,FABBRO Matteo,25,BORA - hansgrohe,,,5:175:17,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
20,21,53.0,+1:35:47,78,ROSSETTO Stéphane,33,"Cofidis, Solutions Crédits",,,5:515:51,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
21,22,17.0,+22:24,61,ZAKARIN Ilnur,31,CCC Team,,,",,5:51",Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
22,23,23.0,+39:38,8,WARBASSE Larry,30,AG2R La Mondiale,,,",,5:51",Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
23,24,16.0,+20:43,145,SAMITIER Sergio,25,Movistar Team,,,",,5:51",Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
24,25,18.0,+26:38,6,PARET-PEINTRE Aurélien,24,AG2R La Mondiale,,,",,5:51",Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
25,26,29.0,+51:18,184,HAMILTON Chris,25,Team Sunweb,,,",,5:51",Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
26,27,21.0,+32:00,187,OOMEN Sam,25,Team Sunweb,,,6:036:03,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
27,28,27.0,+51:07,188,TUSVELD Martijn,27,Team Sunweb,,,",,6:03",Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
28,29,31.0,+56:24,88,SERRY Pieter,31,Deceuninck - Quick Step,,,7:097:09,Giro_d_Italia,15,18 October 2020,37.14 km/h,327,185 km,11
