,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,56.0,+1:33:58,85,FOLIFOROV Alexander,24,Gazprom-RusVelo,100.0,80.0,0:28:39,22.618000000000002,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
1,2,1.0,+0:00,171,KRUIJSWIJK Steven,28,Team LottoNL-Jumbo,40.0,50.0,",,0:00",22.618000000000002,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
2,3,4.0,+3:29,121,VALVERDE Alejandro,36,Movistar Team,20.0,35.0,0:230:23,22.319000000000003,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
3,4,32.0,+49:38,84,FIRSANOV Sergey,33,Gazprom-RusVelo,12.0,25.0,0:300:30,22.23,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
4,5,21.0,+28:54,18,SCARPONI Michele,36,Astana Pro Team,4.0,18.0,0:360:36,22.154,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
5,6,2.0,+2:12,141,CHAVES Esteban,26,Orica GreenEDGE,,15.0,0:400:40,22.103,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
6,7,6.0,+4:40,161,ZAKARIN Ilnur,26,Team Katusha,,12.0,0:470:47,22.016,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
7,8,34.0,+54:45,44,DOMBROWSKI Joe,25,Cannondale Pro Cycling Team,,10.0,0:520:52,21.954,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
8,9,8.0,+7:14,64,JUNGELS Bob,23,Etixx - Quick Step,,8.0,1:041:04,21.805999999999997,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
9,10,5.0,+4:38,191,MAJKA Rafał,26,Tinkoff,,6.0,1:091:09,21.745,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
10,11,25.0,+37:13,100,ULISSI Diego,26,Lampre - Merida,,5.0,1:121:12,21.709,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
11,12,41.0,+1:08:49,168,TAARAMÄE Rein,29,Team Katusha,,4.0,1:171:17,21.648000000000003,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
12,13,13.0,+16:31,129,VISCONTI Giovanni,33,Movistar Team,,3.0,1:211:21,21.6,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
13,14,22.0,+30:46,15,KANGERT Tanel,29,Astana Pro Team,,2.0,",,1:21",21.6,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
14,15,100.0,+2:20:01,182,BOSWELL Ian,25,Team Sky,,1.0,1:251:25,21.552,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
15,16,36.0,+57:21,63,DE LA CRUZ David,27,Etixx - Quick Step,,,1:301:30,21.493000000000002,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
16,17,75.0,+2:04:38,111,WELLENS Tim,25,Lotto Soudal,,,1:361:36,21.421,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
17,18,18.0,+18:48,184,HENAO Sebastián,22,Team Sky,,,",,1:36",21.421,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
18,19,84.0,+2:10:09,187,LÓPEZ David,35,Team Sky,,,1:521:52,21.234,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
19,20,69.0,+1:54:03,109,PETILLI Simone,23,Lampre - Merida,,,1:551:55,21.2,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
20,21,31.0,+49:18,185,NIEVE Mikel,31,Team Sky,,,1:571:57,21.176,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
21,22,138.0,+2:53:46,82,RYBALKIN Aleksey,22,Gazprom-RusVelo,,,",,1:57",21.176,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
22,23,9.0,+7:37,56,SIUTSOU Kanstantsin,33,Team Dimension Data,,,1:591:59,21.153000000000002,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
23,24,57.0,+1:34:53,26,CICCONE Giulio,21,Bardiani - CSF,,,2:052:05,21.085,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
24,25,3.0,+2:51,11,NIBALI Vincenzo,31,Astana Pro Team,,,2:102:10,21.028000000000002,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
25,26,11.0,+8:12,1,POZZOVIVO Domenico,33,AG2R La Mondiale,,,2:122:12,21.005,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
26,27,7.0,+5:27,122,AMADOR Andrey,29,Movistar Team,,,",,2:12",21.005,Giro_d_Italia,15,22 May 2016,22.62 km/h,0,10.8 km,20
