,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,164,GANNA Filippo,24,INEOS Grenadiers,100.0,80.0,0:15:24,58.831,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
1,2,2.0,+0:22,81,ALMEIDA João,22,Deceuninck - Quick Step,40.0,50.0,0:220:22,57.463,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
2,3,3.0,+0:22,202,BJERG Mikkel,21,UAE-Team Emirates,20.0,35.0,",,0:22",57.463,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
3,4,4.0,+0:23,161,THOMAS Geraint,34,INEOS Grenadiers,12.0,25.0,0:230:23,57.402,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
4,5,5.0,+0:31,173,FOSS Tobias,23,Team Jumbo-Visma,4.0,18.0,0:310:31,56.92100000000001,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
5,6,6.0,+0:36,62,ČERNÝ Josef,27,CCC Team,,15.0,0:360:36,56.625,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
6,7,7.0,+0:40,156,SOBRERO Matteo,23,NTT Pro Cycling,,12.0,0:400:40,56.39,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
7,8,8.0,+0:41,94,CRADDOCK Lawson,28,EF Pro Cycling,,10.0,0:410:41,56.332,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
8,9,9.0,+0:42,106,SCOTSON Miles,26,Groupama - FDJ,,8.0,0:420:42,56.273,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
9,10,10.0,+0:42,112,BRÄNDLE Matthias,30,Israel Start-Up Nation,,6.0,",,0:42",56.273,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
10,11,11.0,+0:42,38,TRATNIK Jan,30,Bahrain - McLaren,,5.0,",,0:42",56.273,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
11,12,12.0,+0:42,178,VAN EMDEN Jos,35,Team Jumbo-Visma,,4.0,",,0:42",56.273,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
12,13,13.0,+0:44,183,HAGA Chad,32,Team Sunweb,,3.0,0:440:44,56.157,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
13,14,14.0,+0:44,136,HEPBURN Michael,29,Mitchelton-Scott,,2.0,",,0:44",56.157,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
14,15,15.0,+0:48,163,DENNIS Rohan,30,INEOS Grenadiers,,1.0,0:480:48,55.926,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
15,16,16.0,+0:48,188,TUSVELD Martijn,27,Team Sunweb,,,",,0:48",55.926,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
16,17,17.0,+0:49,131,YATES Simon,28,Mitchelton-Scott,,,0:490:49,55.868,Giro_d_Italia,1,03 October 2020,58.83 km/h,3,15.1 km,11
