,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,32.0,+1:18:36,32,BILBAO Pello,29,Astana Pro Team,100.0,80.0,5:46:02,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
1,2,3.0,+2:53,1,LANDA Mikel,29,Movistar Team,40.0,50.0,",,0:00",Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
2,3,16.0,+26:20,203,CICCONE Giulio,24,Trek - Segafredo,20.0,35.0,0:020:02,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
3,4,1.0,+0:00,3,CARAPAZ Richard,26,Movistar Team,12.0,25.0,0:040:04,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
4,5,2.0,+1:54,41,NIBALI Vincenzo,34,Bahrain Merida,4.0,18.0,",,0:04",Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
5,6,18.0,+30:00,98,KANGERT Tanel,32,EF Education First,,15.0,0:150:15,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
6,7,17.0,+27:22,138,NIEVE Mikel,35,Mitchelton-Scott,,12.0,",,0:15",Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
7,8,13.0,+21:13,106,MADOUAS Valentin,22,Groupama - FDJ,,10.0,0:250:25,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
8,9,7.0,+7:28,61,MAJKA Rafał,29,BORA - hansgrohe,,8.0,0:440:44,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
9,10,19.0,+33:22,48,POZZOVIVO Domenico,36,Bahrain Merida,,6.0,",,0:44",Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
10,11,9.0,+9:11,161,SIVAKOV Pavel,21,Team INEOS,,5.0,0:480:48,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
11,12,8.0,+8:01,131,YATES Simon,26,Mitchelton-Scott,,4.0,",,0:48",Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
12,13,5.0,+5:51,201,MOLLEMA Bauke,32,Trek - Segafredo,,3.0,",,0:48",Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
13,14,4.0,+3:16,171,ROGLIČ Primož,29,Team Jumbo-Visma,,2.0,0:540:54,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
14,15,11.0,+15:57,96,CARTHY Hugh,24,EF Education First,,1.0,1:101:10,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
15,16,26.0,+1:04:33,136,HAMILTON Lucas,23,Mitchelton-Scott,,,1:191:19,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
16,17,46.0,+1:54:08,154,GHEBREIGZABHIER Amanuel,24,Team Dimension Data,,,",,1:19",Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
17,18,6.0,+7:18,31,LÓPEZ Miguel Ángel,25,Astana Pro Team,,,1:491:49,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
18,19,21.0,+39:18,162,DUNBAR Eddie,22,Team INEOS,,,1:591:59,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
19,20,10.0,+12:50,181,ZAKARIN Ilnur,29,Team Katusha Alpecin,,,2:182:18,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
20,21,12.0,+20:12,97,DOMBROWSKI Joe,28,EF Education First,,,3:253:25,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
21,22,25.0,+1:04:18,35,HIRT Jan,28,Astana Pro Team,,,5:165:16,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
22,23,24.0,+57:35,164,HENAO Sebastián,25,Team INEOS,,,5:405:40,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
23,24,35.0,+1:28:03,195,HINDLEY Jai,23,Team Sunweb,,,6:046:04,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
24,25,23.0,+50:09,44,CARUSO Damiano,31,Bahrain Merida,,,",,6:04",Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
25,26,64.0,+2:40:23,205,CONCI Nicola,22,Trek - Segafredo,,,6:206:20,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
26,27,67.0,+2:42:47,94,BROWN Nathan,27,EF Education First,,,6:316:31,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
27,28,20.0,+34:18,26,MASNADA Fausto,25,Androni Giocattoli - Sidermec,,,9:329:32,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
28,29,45.0,+1:53:57,6,PEDRERO Antonio,27,Movistar Team,,,11:3611:36,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
29,30,22.0,+39:56,73,DE LA PARTE Víctor,32,CCC Team,,,12:4812:48,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
30,31,29.0,+1:11:47,18,VUILLERMOZ Alexis,31,AG2R La Mondiale,,,",,12:48",Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
31,32,47.0,+1:55:35,14,DUPONT Hubert,38,AG2R La Mondiale,,,12:5012:50,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
32,33,14.0,+22:52,64,FORMOLO Davide,26,BORA - hansgrohe,,,",,12:50",Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
33,34,15.0,+23:13,217,POLANC Jan,27,UAE-Team Emirates,,,",,12:50",Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
34,35,27.0,+1:05:10,38,ZEITS Andrey,32,Astana Pro Team,,,",,12:50",Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
35,36,30.0,+1:15:44,12,BIDARD François,27,AG2R La Mondiale,,,12:5812:58,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
36,37,72.0,+2:54:50,24,FLÓREZ Miguel Eduardo,23,Androni Giocattoli - Sidermec,,,13:0513:05,Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
37,38,51.0,+2:06:13,17,WARBASSE Larry,28,AG2R La Mondiale,,,",,13:05",Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
38,39,34.0,+1:23:31,194,HAMILTON Chris,24,Team Sunweb,,,",,13:05",Giro_d_Italia,20,01 June 2019,33.638 km/h,310,194 km,15
