,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,136,+4:27:29,175,MEZGEC Luka,25,Team Giant - Shimano,16.0,80.0,4:23:58,Giro_d_Italia,21,01 June 2014,39.1 km/h,0,172 km,14
1,2,141,+4:32:01,216,NIZZOLO Giacomo,25,Trek Factory Racing,8.0,50.0,",,0:00",Giro_d_Italia,21,01 June 2014,39.1 km/h,0,172 km,14
2,3,147,+4:38:00,94,FARRAR Tyler,29,Garmin Sharp,4.0,35.0,",,0:00",Giro_d_Italia,21,01 June 2014,39.1 km/h,0,172 km,14
3,4,140,+4:30:05,81,BOUHANNI Nacer,23,FDJ.fr,2.0,25.0,",,0:00",Giro_d_Italia,21,01 June 2014,39.1 km/h,0,172 km,14
4,5,144,+4:34:22,104,FERRARI Roberto,31,Lampre - Merida,1.0,18.0,",,0:00",Giro_d_Italia,21,01 June 2014,39.1 km/h,0,172 km,14
5,6,78,+2:48:58,75,DUQUE Leonardo Fabio,34,Team Colombia,,15.0,",,0:00",Giro_d_Italia,21,01 June 2014,39.1 km/h,0,172 km,14
6,7,111,+3:44:46,187,PAOLINI Luca,37,Team Katusha,,12.0,",,0:00",Giro_d_Italia,21,01 June 2014,39.1 km/h,0,172 km,14
7,8,93,+3:15:18,117,VAN DER SANDE Tosh,23,Lotto Belisol,,10.0,",,0:00",Giro_d_Italia,21,01 June 2014,39.1 km/h,0,172 km,14
8,9,124,+4:03:51,6,BOŽIČ Borut,33,Astana Pro Team,,8.0,",,0:00",Giro_d_Italia,21,01 June 2014,39.1 km/h,0,172 km,14
9,10,139,+4:29:52,144,KEISSE Iljo,31,Omega Pharma - Quick-Step,,6.0,",,0:00",Giro_d_Italia,21,01 June 2014,39.1 km/h,0,172 km,14
10,11,52,+2:06:42,32,BATTAGLIN Enrico,24,Bardiani - CSF Pro Team,,5.0,",,0:00",Giro_d_Italia,21,01 June 2014,39.1 km/h,0,172 km,14
11,12,44,+1:50:08,18,MONTAGUTI Matteo,30,AG2R La Mondiale,,4.0,",,0:00",Giro_d_Italia,21,01 June 2014,39.1 km/h,0,172 km,14
12,13,94,+3:17:27,36,COLBRELLI Sonny,24,Bardiani - CSF Pro Team,,3.0,",,0:00",Giro_d_Italia,21,01 June 2014,39.1 km/h,0,172 km,14
13,14,122,+3:56:43,35,CANOLA Marco,25,Bardiani - CSF Pro Team,,2.0,",,0:00",Giro_d_Italia,21,01 June 2014,39.1 km/h,0,172 km,14
