,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,105,+4:13:46,193,HAGA Chad,30,Team Sunweb,100.0,80.0,0:22:07,46.119,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
1,2,111,+4:25:03,122,CAMPENAERTS Victor,27,Lotto Soudal,40.0,50.0,0:040:04,45.98,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
2,3,51,+2:06:26,124,DE GENDT Thomas,32,Lotto Soudal,20.0,35.0,0:060:06,45.911,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
3,4,23,+49:06,44,CARUSO Damiano,31,Bahrain Merida,12.0,25.0,0:090:09,45.808,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
4,5,82,+3:15:57,105,LUDVIGSSON Tobias,28,Groupama - FDJ,4.0,18.0,0:110:11,45.74,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
5,6,115,+4:31:48,72,ČERNÝ Josef,26,CCC Team,,15.0,",,0:11",45.74,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
6,7,31,+1:17:41,32,BILBAO Pello,29,Astana Pro Team,,12.0,0:170:17,45.536,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
7,8,28,+1:09:11,23,CATTANEO Mattia,28,Androni Giocattoli - Sidermec,,10.0,0:200:20,45.434,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
8,9,2,+1:05,41,NIBALI Vincenzo,34,Bahrain Merida,,8.0,0:230:23,45.333,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
9,10,3,+2:30,171,ROGLIČ Primož,29,Team Jumbo-Visma,,6.0,0:260:26,45.233000000000004,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
10,11,78,+3:09:24,135,DURBRIDGE Luke,28,Mitchelton-Scott,,5.0,0:270:27,45.199,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
11,12,139,+5:34:50,212,BOHLI Tom,25,UAE-Team Emirates,,4.0,0:340:34,44.967,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
12,13,10,+12:14,181,ZAKARIN Ilnur,29,Team Katusha Alpecin,,3.0,0:360:36,44.901,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
13,14,14,+22:38,217,POLANC Jan,27,UAE-Team Emirates,,2.0,0:370:37,44.868,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
14,15,6,+6:56,61,MAJKA Rafał,29,BORA - hansgrohe,,1.0,0:400:40,44.77,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
15,16,104,+4:13:34,178,VAN EMDEN Jos,34,Team Jumbo-Visma,,,0:420:42,44.70399999999999,Giro_d_Italia,21,02 June 2019,46.119 km/h,31,17 km,15
