,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,COSTA Rui,24,Movistar Team,80.0,225.0,5:20:18,Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
1,2,0,FÉDRIGO Pierrick,32,FDJ,60.0,150.0,",,0:00",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
2,3,0,GILBERT Philippe,29,Omega Pharma-Lotto,50.0,110.0,0:020:02,Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
3,4,0,ROELANDTS Jürgen,26,Omega Pharma-Lotto,40.0,90.0,",,0:02",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
4,5,0,DENIFL Stefan,23,Leopard Trek,30.0,80.0,",,0:02",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
5,6,0,PIETROPOLLI Daniele,31,Lampre - ISD,22.0,70.0,0:040:04,Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
6,7,0,MARCATO Marco,27,Vacansoleil - DCM,14.0,60.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
7,8,0,VICHOT Arthur,22,FDJ,10.0,50.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
8,9,0,NOCENTINI Rinaldo,33,AG2R La Mondiale,6.0,46.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
9,10,0,WEGMANN Fabian,31,Leopard Trek,2.0,42.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
10,11,0,HESJEDAL Ryder,30,Team Garmin - Cervélo,,38.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
11,12,0,CIOLEK Gerald,24,Quickstep Cycling Team,,34.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
12,13,0,GAUTIER Cyril,23,Team Europcar,,30.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
13,14,0,LEUKEMANS Björn,34,Vacansoleil - DCM,,26.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
14,15,0,BOASSON HAGEN Edvald,24,Sky Procycling,,22.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
15,16,0,GALLOPIN Tony,23,"Cofidis, le Crédit en Ligne",,20.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
16,17,0,SÁNCHEZ Samuel,33,Euskaltel - Euskadi,,18.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
17,18,0,HERMANS Ben,25,RadioShack,,17.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
18,19,0,HINCAPIE George,38,BMC Racing Team,,16.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
19,20,0,TERPSTRA Niki,27,Quickstep Cycling Team,,15.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
20,21,0,LUND Anders,26,Leopard Trek,,14.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
21,22,0,VEILLEUX David,23,Team Europcar,,13.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
22,23,0,PONZI Simone,24,Liquigas - Cannondale,,12.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
23,24,0,PASAMONTES Luis,31,Movistar Team,,11.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
24,25,0,GHYSELINCK Jan,23,HTC - High Road,,10.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
25,26,0,STETINA Peter,24,Team Garmin - Cervélo,,9.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
26,27,0,BOOKWALTER Brent,27,BMC Racing Team,,8.0,",,0:04",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
27,28,0,HOOGERLAND Johnny,28,Vacansoleil - DCM,,7.0,0:100:10,Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
28,29,0,ROULSTON Hayden,30,HTC - High Road,,6.0,",,0:10",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
29,30,0,MÍNGUEZ Miguel,23,Euskaltel - Euskadi,,5.0,",,0:10",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
30,31,0,PINOT Thibaut,21,FDJ,,5.0,",,0:10",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
31,32,0,IZAGIRRE Ion,22,Euskaltel - Euskadi,,5.0,",,0:10",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
32,33,0,ŠTANGELJ Gorazd,38,Pro Team Astana,,5.0,",,0:10",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
33,34,0,BERTAGNOLLI Leonardo,33,Lampre - ISD,,5.0,",,0:10",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
34,35,0,LARSSON Gustav Erik,30,Saxo Bank - Sungard,,5.0,",,0:10",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
35,36,0,GESINK Robert,25,Rabobank Cycling Team,,5.0,",,0:10",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
36,37,0,LEIPHEIMER Levi,37,RadioShack,,5.0,",,0:10",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
37,38,0,CARUSO Giampaolo,31,Team Katusha,,5.0,",,0:10",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
38,39,0,ROJAS José Joaquín,26,Movistar Team,,5.0,",,0:10",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
39,40,0,STEENSEN André,23,Saxo Bank - Sungard,,5.0,0:140:14,Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
40,41,0,PIRES Bruno,30,Leopard Trek,,5.0,",,0:14",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
41,42,0,FINETTO Mauro,26,Liquigas - Cannondale,,5.0,0:160:16,Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
42,43,0,DUGGAN Timothy,28,Liquigas - Cannondale,,5.0,",,0:16",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
43,44,0,CHEREL Mikaël,25,AG2R La Mondiale,,5.0,",,0:16",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
44,45,0,URÁN Rigoberto,24,Sky Procycling,,5.0,",,0:16",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
45,46,0,DEVENYNS Dries,28,Quickstep Cycling Team,,5.0,",,0:16",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
46,47,0,HERRADA Jesús,21,Movistar Team,,5.0,0:210:21,Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
47,48,0,CLARKE Simon,25,Pro Team Astana,,5.0,",,0:21",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
48,49,0,RIBLON Christophe,30,AG2R La Mondiale,,5.0,",,0:21",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
49,50,0,FLECHA Juan Antonio,33,Sky Procycling,,5.0,0:280:28,Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
50,51,0,TRENTIN Matteo,22,Quickstep Cycling Team,,5.0,",,0:28",Grand_Prix_Cycliste_de_Montr_al,0,11 September 2011,38.533 km/h,0,205.7 km,23
