,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,SAGAN Peter,27,BORA - hansgrohe,500.0,225.0,5:00:31,Grand_Prix_Cycliste_de_Qu_bec,0,08 September 2017,40.25 km/h,0,201.6 km,18
1,2,11,VAN AVERMAET Greg,32,BMC Racing Team,400.0,150.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,08 September 2017,40.25 km/h,0,201.6 km,18
2,3,44,MATTHEWS Michael,26,Team Sunweb,325.0,110.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,08 September 2017,40.25 km/h,0,201.6 km,18
3,4,88,VUILLERMOZ Alexis,29,AG2R La Mondiale,275.0,90.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,08 September 2017,40.25 km/h,0,201.6 km,18
4,5,131,WELLENS Tim,26,Lotto Soudal,225.0,80.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,08 September 2017,40.25 km/h,0,201.6 km,18
5,6,106,SLAGTER Tom-Jelte,28,Cannondale-Drapac Pro Cycling Team,175.0,70.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,08 September 2017,40.25 km/h,0,201.6 km,18
6,7,27,VAKOČ Petr,25,Quick-Step Floors,150.0,60.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,08 September 2017,40.25 km/h,0,201.6 km,18
7,8,107,VANMARCKE Sep,29,Cannondale-Drapac Pro Cycling Team,125.0,50.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,08 September 2017,40.25 km/h,0,201.6 km,18
8,9,136,GALLOPIN Tony,29,Lotto Soudal,100.0,46.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,08 September 2017,40.25 km/h,0,201.6 km,18
9,10,146,COLBRELLI Sonny,27,Bahrain Merida Pro Cycling Team,85.0,42.0,",,0:00",Grand_Prix_Cycliste_de_Qu_bec,0,08 September 2017,40.25 km/h,0,201.6 km,18
