,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,GILBERT Philippe,29,Omega Pharma-Lotto,80.0,225.0,5:03:08,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
1,2,0,GESINK Robert,25,Rabobank Cycling Team,60.0,150.0,",,0:00",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
2,3,0,URÁN Rigoberto,24,Sky Procycling,50.0,110.0,0:090:09,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
3,4,0,WEGMANN Fabian,31,Leopard Trek,40.0,90.0,0:140:14,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
4,5,0,LEIPHEIMER Levi,37,RadioShack,30.0,80.0,0:150:15,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
5,6,0,LEUKEMANS Björn,34,Vacansoleil - DCM,22.0,70.0,0:230:23,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
6,7,0,PONZI Simone,24,Liquigas - Cannondale,14.0,60.0,31:00:23 31:00:23,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
7,8,0,MARCATO Marco,27,Vacansoleil - DCM,10.0,50.0,0:250:25,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
8,9,0,CIOLEK Gerald,24,Quickstep Cycling Team,6.0,46.0,0:300:30,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
9,10,0,CLARKE Simon,25,Pro Team Astana,2.0,42.0,0:470:47,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
10,11,0,COSTA Rui,24,Movistar Team,,38.0,1:171:17,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
11,12,0,RAST Grégory,31,RadioShack,,34.0,1:191:19,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
12,13,0,CARUSO Giampaolo,31,Team Katusha,,30.0,1:211:21,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
13,14,0,BARRY Michael,35,Sky Procycling,,26.0,1:231:23,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
14,15,0,ASTARLOZA Mikel,31,Euskaltel - Euskadi,,22.0,",,1:23",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
15,16,0,ROELANDTS Jürgen,26,Omega Pharma-Lotto,,20.0,1:261:26,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
16,17,0,CUSIN Rémi,25,"Cofidis, le Crédit en Ligne",,18.0,",,1:26",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
17,18,0,PINEAU Jérôme,31,Quickstep Cycling Team,,17.0,",,1:26",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
18,19,0,NORDHAUG Lars Petter,27,Sky Procycling,,16.0,",,1:26",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
19,20,0,ROLLIN Dominique,28,FDJ,,15.0,",,1:26",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
20,21,0,ROJAS José Joaquín,26,Movistar Team,,14.0,",,1:26",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
21,22,0,VEILLEUX David,23,Team Europcar,,13.0,",,1:26",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
22,23,0,LUND Anders,26,Leopard Trek,,12.0,",,1:26",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
23,24,0,HOOGERLAND Johnny,28,Vacansoleil - DCM,,11.0,",,1:26",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
24,25,0,ARASHIRO Yukiya,26,Team Europcar,,10.0,",,1:26",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
25,26,0,DUMOULIN Samuel,31,"Cofidis, le Crédit en Ligne",,9.0,4:01:264:01:26,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
26,27,0,HESJEDAL Ryder,30,Team Garmin - Cervélo,,8.0,1:391:39,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
27,28,0,PLAZA Rubén,31,Movistar Team,,7.0,1:421:42,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
28,29,0,DEVENYNS Dries,28,Quickstep Cycling Team,,6.0,",,1:42",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
29,30,0,JEANNESSON Arnold,25,FDJ,,5.0,5:01:575:01:57,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
30,31,0,VICHOT Arthur,22,FDJ,,5.0,2:102:10,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
31,32,0,GERRANS Simon,31,Sky Procycling,,5.0,2:182:18,Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
32,33,0,TOSATTO Matteo,37,Saxo Bank - Sungard,,5.0,",,2:18",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
33,34,0,MØRKØV Michael,26,Saxo Bank - Sungard,,5.0,",,2:18",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
34,35,0,TRENTIN Matteo,22,Quickstep Cycling Team,,5.0,",,2:18",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
35,36,0,DEIGNAN Philip,28,RadioShack,,5.0,",,2:18",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
36,37,0,BRUTT Pavel,29,Team Katusha,,5.0,",,2:18",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
37,38,0,GAUTIER Cyril,23,Team Europcar,,5.0,",,2:18",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
38,39,0,TUFT Svein,34,Spidertech Powered by C10,,5.0,",,2:18",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
39,40,0,ROTH Ryan,28,Spidertech Powered by C10,,5.0,",,2:18",Grand_Prix_Cycliste_de_Quebec,0,09 September 2011,39.903 km/h,0,201.6 km,23
