,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,146,MOSCON Gianni,24,Team Sky,40.0,35.0,3:38:02,Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
1,2,2,+0:09,53,GROßSCHARTNER Felix,24,BORA - hansgrohe,15.0,20.0,0:050:05,Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
2,3,3,+0:14,21,CHERNETSKI Sergei,28,Astana Pro Team,6.0,12.0,0:080:08,Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
3,4,6,+0:21,77,VERONA Carlos,25,Mitchelton-Scott,,9.0,0:110:11,Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
4,5,5,+0:21,115,URÁN Rigoberto,31,Team EF Education First-Drapac p/b Cannondale,,7.0,",,0:11",Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
5,6,8,+0:25,26,SÁNCHEZ Luis León,34,Astana Pro Team,,5.0,0:150:15,Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
6,7,4,+0:17,93,CAVAGNA Rémi,23,Quick-Step Floors,,3.0,",,0:15",Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
7,8,7,+0:25,85,FERNÁNDEZ Rubén,27,Movistar Team,,2.0,",,0:15",Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
8,9,14,+0:28,27,VILLELLA Davide,27,Astana Pro Team,,1.0,0:180:18,Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
9,10,11,+0:28,174,POLANC Jan,26,UAE-Team Emirates,,,",,0:18",Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
10,11,12,+0:28,143,DUNBAR Eddie,22,Team Sky,,,",,0:18",Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
11,12,9,+0:27,95,DEVENYNS Dries,35,Quick-Step Floors,,,",,0:18",Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
12,13,10,+0:28,101,BERHANE Natnael,27,Team Dimension Data,,,",,0:18",Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
13,14,13,+0:28,91,GILBERT Philippe,36,Quick-Step Floors,,,",,0:18",Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
14,15,15,+0:28,171,ARU Fabio,28,UAE-Team Emirates,,,",,0:18",Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
15,16,17,+0:38,156,TUSVELD Martijn,25,Team Sunweb,,,0:280:28,Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
16,17,16,+0:30,23,GRIVKO Andrey,35,Astana Pro Team,,,",,0:28",Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
17,18,18,+0:38,81,ANACONA Winner,30,Movistar Team,,,",,0:28",Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
18,19,19,+0:41,162,BRAMBILLA Gianluca,31,Trek - Segafredo,,,0:310:31,Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
19,20,22,+0:43,15,PARET-PEINTRE Aurélien,22,AG2R La Mondiale,,,0:330:33,Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
20,21,23,+0:43,111,CARTHY Hugh,24,Team EF Education First-Drapac p/b Cannondale,,,",,0:33",Gree_Tour_of_Guangxi,4,19 October 2018,41.88 km/h,49,152.2 km,42
