,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,93,GAVIRIA Fernando,23,Quick-Step Floors,40.0,35.0,2:20:01,Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
1,2,3,+0:04,113,GROENEWEGEN Dylan,24,Team LottoNL-Jumbo,15.0,20.0,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
2,3,4,+0:06,31,ACKERMANN Pascal,23,BORA - hansgrohe,6.0,12.0,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
3,4,8,+0:10,137,WALSCHEID Max,24,Team Sunweb,,9.0,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
4,5,9,+0:10,47,WIPPERT Wouter,27,Cannondale-Drapac Pro Cycling Team,,7.0,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
5,6,10,+0:10,154,GUARDINI Andrea,28,UAE Team Emirates,,5.0,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
6,7,11,+0:10,126,VAN POPPEL Danny,24,Team Sky,,3.0,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
7,8,12,+0:10,167,PAGE Dylan,23,Caja Rural - Seguros RGA,,2.0,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
8,9,13,+0:10,102,ZABEL Rick,23,Team Katusha Alpecin,,1.0,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
9,10,14,+0:10,63,HOFLAND Moreno,26,Lotto Soudal,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
10,11,15,+0:10,145,NIZZOLO Giacomo,28,Trek - Segafredo,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
11,12,16,+0:10,53,EISEL Bernhard,36,Team Dimension Data,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
12,13,17,+0:10,22,GERTS Floris,25,BMC Racing Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
13,14,18,+0:10,156,MOHORIČ Matej,23,UAE Team Emirates,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
14,15,19,+0:10,96,RICHEZE Maximiliano,34,Quick-Step Floors,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
15,16,20,+0:10,105,MØRKØV Michael,32,Team Katusha Alpecin,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
16,17,21,+0:10,133,MATTHEWS Michael,27,Team Sunweb,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
17,18,22,+0:10,72,BICO Nuno,23,Movistar Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
18,19,23,+0:10,103,KOCHETKOV Pavel,31,Team Katusha Alpecin,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
19,20,24,+0:10,6,KOZHATAYEV Bakhtiyar,25,Astana Pro Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
20,21,25,+0:10,85,CORT Magnus,24,ORICA-Scott,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
21,22,26,+0:10,127,WIŚNIOWSKI Łukasz,25,Team Sky,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
22,23,27,+0:10,174,KUBOKI Kazushige,28,Nippo - Vini Fantini,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
23,24,28,+0:10,157,TROIA Oliviero,23,UAE Team Emirates,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
24,25,29,+0:10,66,WELLENS Tim,26,Lotto Soudal,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
25,26,30,+0:10,15,COLBRELLI Sonny,27,Bahrain Merida Pro Cycling Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
26,27,31,+0:10,144,MOLLEMA Bauke,30,Trek - Segafredo,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
27,28,32,+0:10,11,ARASHIRO Yukiya,33,Bahrain Merida Pro Cycling Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
28,29,33,+0:10,162,BENITO Miguel Ángel,24,Caja Rural - Seguros RGA,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
29,30,34,+0:10,56,TEKLEHAIMANOT Daniel,28,Team Dimension Data,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
30,31,35,+0:10,142,BERNARD Julien,25,Trek - Segafredo,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
31,32,36,+0:10,125,POELS Wout,30,Team Sky,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
32,33,37,+0:10,152,CONTI Valerio,24,UAE Team Emirates,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
33,34,38,+0:10,7,ZAKHAROV Artyom,25,Astana Pro Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
34,35,39,+0:10,175,MARINI Nicolas,24,Nippo - Vini Fantini,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
35,36,40,+0:10,32,ARCHBOLD Shane,28,BORA - hansgrohe,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
36,37,5,+0:06,4,GRIVKO Andrey,34,Astana Pro Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
37,38,2,+0:01,21,DILLIER Silvan,27,BMC Racing Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
38,39,41,+0:10,147,STETINA Peter,30,Trek - Segafredo,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
39,40,42,+0:10,116,VAN HOECKE Gijs,25,Team LottoNL-Jumbo,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
40,41,43,+0:10,34,KÖNIG Leopold,29,BORA - hansgrohe,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
41,42,44,+0:10,36,PELUCCHI Matteo,28,BORA - hansgrohe,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
42,43,45,+0:10,104,MATHIS Marco,23,Team Katusha Alpecin,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
43,44,46,+0:10,131,KELDERMAN Wilco,26,Team Sunweb,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
44,45,47,+0:10,115,OLIVIER Daan,24,Team LottoNL-Jumbo,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
45,46,48,+0:10,91,ALAPHILIPPE Julian,25,Quick-Step Floors,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
46,47,49,+0:10,135,TEUNISSEN Mike,25,Team Sunweb,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
47,48,50,+0:10,101,HALLER Marco,26,Team Katusha Alpecin,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
48,49,51,+0:10,14,BRAJKOVIČ Janez,33,Bahrain Merida Pro Cycling Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
49,50,52,+0:10,67,WOUTERS Enzo,21,Lotto Soudal,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
50,51,53,+0:10,153,ĐURASEK Kristijan,30,UAE Team Emirates,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
51,52,54,+0:10,81,EWAN Caleb,23,ORICA-Scott,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
52,53,55,+0:10,77,QUINTANA Dayer,25,Movistar Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
53,54,56,+0:10,176,STACCHIOTTI Riccardo,25,Nippo - Vini Fantini,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
54,55,57,+0:10,27,ROCHE Nicolas,33,BMC Racing Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
55,56,6,+0:07,92,CAVAGNA Rémi,22,Quick-Step Floors,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
56,57,58,+0:10,33,HERKLOTZ Silvio,23,BORA - hansgrohe,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
57,58,59,+0:10,24,ROSSKOPF Joey,28,BMC Racing Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
58,59,60,+0:10,5,KAMYSHEV Arman,26,Astana Pro Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
59,60,61,+0:10,106,TAARAMÄE Rein,30,Team Katusha Alpecin,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
60,61,62,+0:10,23,HERMANS Ben,31,BMC Racing Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
61,62,63,+0:10,84,KEUKELEIRE Jens,28,ORICA-Scott,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
62,63,64,+0:10,75,HERRADA Jesús,27,Movistar Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
63,64,65,+0:10,82,HAIG Jack,24,ORICA-Scott,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
64,65,66,+0:10,114,JANSEN Amund Grøndahl,23,Team LottoNL-Jumbo,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
65,66,67,+0:10,124,LANDA Mikel,27,Team Sky,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
66,67,68,+0:10,3,FUGLSANG Jakob,32,Astana Pro Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
67,68,69,+0:10,25,SENNI Manuel,25,BMC Racing Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
68,69,70,+0:10,51,DEBESAY Mekseb,26,Team Dimension Data,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
69,70,71,+0:10,41,CARTHY Hugh,23,Cannondale-Drapac Pro Cycling Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
70,71,72,+0:10,55,MORTON Lachlan,25,Team Dimension Data,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
71,72,73,+0:10,73,CARRETERO Héctor,22,Movistar Team,,,",,0:00",Gree___Tour_of_Guangxi,1,19 October 2017,46.02 km/h,0,107.4 km,46
