,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,71,PINOT Thibaut,28,Groupama - FDJ,500.0,275.0,5:53:22,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
1,2,1,NIBALI Vincenzo,33,Bahrain Merida Pro Cycling Team,400.0,200.0,0:320:32,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
2,3,57,TEUNS Dylan,26,BMC Racing Team,325.0,150.0,0:430:43,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
3,4,157,URÁN Rigoberto,31,Team EF Education First-Drapac p/b Cannondale,275.0,120.0,",,0:43",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
4,5,91,WELLENS Tim,27,Lotto Soudal,225.0,100.0,",,0:43",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
5,6,3,IZAGIRRE Ion,29,Bahrain Merida Pro Cycling Team,175.0,90.0,",,0:43",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
6,7,61,MAJKA Rafał,29,BORA - hansgrohe,150.0,80.0,",,0:43",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
7,8,7,POZZOVIVO Domenico,35,Bahrain Merida Pro Cycling Team,125.0,70.0,",,0:43",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
8,9,221,MARTIN Dan,32,UAE-Team Emirates,100.0,60.0,0:480:48,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
9,10,182,BENNETT George,28,Team LottoNL-Jumbo,85.0,50.0,1:221:22,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
10,11,111,VALVERDE Alejandro,38,Movistar Team,70.0,46.0,1:311:31,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
11,12,191,BERNAL Egan,21,Team Sky,60.0,42.0,",,1:31",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
12,13,151,WOODS Michael,32,Team EF Education First-Drapac p/b Cannondale,50.0,38.0,",,1:31",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
13,14,75,REICHENBACH Sébastien,29,Groupama - FDJ,40.0,34.0,",,1:31",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
14,15,105,NIEVE Mikel,34,Mitchelton-Scott,35.0,30.0,",,1:31",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
15,16,32,CATALDO Dario,33,Astana Pro Team,30.0,28.0,1:571:57,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
16,17,181,ROGLIČ Primož,28,Team LottoNL-Jumbo,30.0,26.0,3:043:04,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
17,18,65,KONRAD Patrick,27,BORA - hansgrohe,30.0,24.0,3:333:33,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
18,19,22,CATTANEO Mattia,27,Androni Giocattoli - Sidermec,30.0,22.0,",,3:33",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
19,20,31,FUGLSANG Jakob,33,Astana Pro Team,30.0,20.0,",,3:33",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
20,21,33,CHERNETSKI Sergei,28,Astana Pro Team,20.0,19.0,",,3:33",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
21,22,63,BUCHMANN Emanuel,25,BORA - hansgrohe,20.0,18.0,",,3:33",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
22,23,64,FORMOLO Davide,25,BORA - hansgrohe,20.0,17.0,",,3:33",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
23,24,137,SERRY Pieter,29,Quick-Step Floors,20.0,16.0,3:543:54,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
24,25,92,BENOOT Tiesj,24,Lotto Soudal,20.0,15.0,",,3:54",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
25,26,161,BARGUIL Warren,26,Team Fortuneo - Samsic,20.0,14.0,",,3:54",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
26,27,206,OOMEN Sam,23,Team Sunweb,20.0,13.0,",,3:54",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
27,28,187,TOLHOEK Antwan,24,Team LottoNL-Jumbo,20.0,12.0,3:593:59,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
28,29,101,YATES Adam,26,Mitchelton-Scott,20.0,11.0,4:014:01,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
29,30,6,PELLIZOTTI Franco,40,Bahrain Merida Pro Cycling Team,20.0,10.0,4:044:04,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
30,31,124,PONZI Simone,31,Nippo - Vini Fantini - Europa Ovini,10.0,9.0,4:554:55,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
31,32,14,FRANK Mathias,31,AG2R La Mondiale,10.0,8.0,4:574:57,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
32,33,53,DE MARCHI Alessandro,32,BMC Racing Team,10.0,7.0,",,4:57",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
33,34,36,VILLELLA Davide,27,Astana Pro Team,10.0,6.0,6:026:02,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
34,35,236,VELASCO Simone,22,Wilier Triestina - Selle Italia,10.0,5.0,6:406:40,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
35,36,81,HERMANS Ben,32,Israel Cycling Academy,10.0,5.0,",,6:40",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
36,37,212,CONCI Nicola,21,Trek - Segafredo,10.0,5.0,7:027:02,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
37,38,223,COSTA Rui,32,UAE-Team Emirates,10.0,5.0,",,7:02",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
38,39,133,CAPECCHI Eros,32,Quick-Step Floors,10.0,5.0,",,7:02",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
39,40,173,KOCHETKOV Pavel,32,Team Katusha Alpecin,10.0,5.0,",,7:02",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
40,41,41,CICCONE Giulio,23,Bardiani - CSF,10.0,5.0,",,7:02",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
41,42,114,OLIVEIRA Nelson,29,Movistar Team,10.0,5.0,",,7:02",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
42,43,104,KREUZIGER Roman,32,Mitchelton-Scott,10.0,5.0,",,7:02",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
43,44,216,SKUJIŅŠ Toms,27,Trek - Segafredo,10.0,5.0,",,7:02",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
44,45,185,GESINK Robert,32,Team LottoNL-Jumbo,10.0,5.0,",,7:02",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
45,46,42,CARBONI Giovanni,23,Bardiani - CSF,10.0,5.0,",,7:02",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
46,47,203,HINDLEY Jai,22,Team Sunweb,10.0,5.0,",,7:02",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
47,48,201,KELDERMAN Wilco,27,Team Sunweb,10.0,5.0,",,7:02",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
48,49,155,MARTÍNEZ Daniel Felipe,22,Team EF Education First-Drapac p/b Cannondale,10.0,5.0,7:077:07,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
49,50,125,SANTAROMITA Ivan,34,Nippo - Vini Fantini - Europa Ovini,10.0,5.0,",,7:07",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
50,51,135,MAS Enric,23,Quick-Step Floors,5.0,5.0,",,7:07",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
51,52,195,HENAO Sergio,30,Team Sky,5.0,5.0,",,7:07",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
52,53,83,DÍAZ José Manuel,23,Israel Cycling Academy,5.0,5.0,8:108:10,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
53,54,222,ARU Fabio,28,UAE-Team Emirates,5.0,5.0,8:408:40,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
54,55,45,SENNI Manuel,26,Bardiani - CSF,5.0,5.0,",,8:40",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
55,56,4,MOHORIČ Matej,23,Bahrain Merida Pro Cycling Team,3.0,5.0,8:578:57,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
56,57,47,WACKERMANN Luca,26,Bardiani - CSF,3.0,5.0,9:519:51,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
57,58,235,SCHÖNBERGER Sebastian,24,Wilier Triestina - Selle Italia,3.0,5.0,10:3610:36,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
58,59,215,GOGL Michael,24,Trek - Segafredo,3.0,5.0,",,10:36",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
59,60,177,ŠPILAK Simon,32,Team Katusha Alpecin,3.0,5.0,",,10:36",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
60,61,163,DELAPLACE Anthony,29,Team Fortuneo - Samsic,,5.0,",,10:36",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
61,62,115,PEDRERO Antonio,26,Movistar Team,,5.0,10:3910:39,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
62,63,192,DE LA CRUZ David,29,Team Sky,,5.0,",,10:39",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
63,64,211,MOLLEMA Bauke,31,Trek - Segafredo,,5.0,",,10:39",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
64,65,184,DE TIER Floris,26,Team LottoNL-Jumbo,,5.0,12:2812:28,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
65,66,94,KEUKELEIRE Jens,29,Lotto Soudal,,5.0,",,12:28",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
66,67,167,MAISON Jérémy,25,Team Fortuneo - Samsic,,5.0,",,12:28",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
67,68,202,HAMILTON Chris,23,Team Sunweb,,5.0,",,12:28",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
68,69,95,LAMBRECHT Bjorg,21,Lotto Soudal,,5.0,",,12:28",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
69,70,142,KUDUS Merhawi,24,Team Dimension Data,,5.0,",,12:28",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
70,71,34,HIRT Jan,27,Astana Pro Team,,5.0,",,12:28",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
71,72,51,CARUSO Damiano,31,BMC Racing Team,,5.0,",,12:28",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
72,73,153,CLARKE Simon,32,Team EF Education First-Drapac p/b Cannondale,,5.0,",,12:28",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
73,74,207,STORER Michael,21,Team Sunweb,,5.0,14:2714:27,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
74,75,17,MONTAGUTI Matteo,34,AG2R La Mondiale,,5.0,15:0115:01,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
75,76,12,CHEREL Mikaël,32,AG2R La Mondiale,,5.0,",,15:01",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
76,77,237,ZARDINI Edoardo,28,Wilier Triestina - Selle Italia,,5.0,",,15:01",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
77,78,106,POWER Robert,23,Mitchelton-Scott,,5.0,",,15:01",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
78,79,73,GAUDU David,22,Groupama - FDJ,,5.0,15:0515:05,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
79,80,117,SOLER Marc,24,Movistar Team,,5.0,17:0217:02,Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
80,81,2,IZAGIRRE Gorka,31,Bahrain Merida Pro Cycling Team,,5.0,",,17:02",Il_Lombardia,0,13 October 2018,40.92 km/h,239,241 km,9
