,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,RODRÍGUEZ Joaquim,33,Team Katusha,100.0,275.0,6:36:27,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
1,2,0,SÁNCHEZ Samuel,34,Euskaltel - Euskadi,80.0,200.0,0:090:09,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
2,3,0,URÁN Rigoberto,25,Sky Procycling,70.0,150.0,",,0:09",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
3,4,0,SANTAMBROGIO Mauro,27,BMC Racing Team,60.0,120.0,",,0:09",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
4,5,0,HENAO Sergio,24,Sky Procycling,50.0,100.0,",,0:09",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
5,6,0,HESJEDAL Ryder,31,Garmin Sharp,40.0,90.0,",,0:09",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
6,7,0,MOLLEMA Bauke,25,Rabobank Cycling Team,30.0,80.0,",,0:09",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
7,8,0,ZAUGG Oliver,31,RadioShack - Nissan,20.0,70.0,",,0:09",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
8,9,0,CONTADOR Alberto,29,Team Saxo Bank - Tinkoff Bank,10.0,60.0,",,0:09",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
9,10,0,KESSIAKOFF Fredrik,32,Astana Pro Team,4.0,50.0,",,0:09",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
10,11,0,QUINTANA Nairo,22,Movistar Team,,46.0,",,0:09",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
11,12,0,PELLIZOTTI Franco,34,Androni Giocattoli - Venezuela,,42.0,",,0:09",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
12,13,0,CUNEGO Damiano,31,Lampre - ISD,,38.0,0:350:35,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
13,14,0,KOLOBNEV Alexandr,31,Team Katusha,,34.0,0:570:57,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
14,15,0,CLARKE Simon,26,Orica GreenEDGE,,30.0,",,0:57",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
15,16,0,MARTIN Dan,26,Garmin Sharp,,28.0,1:231:23,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
16,17,0,VAN AVERMAET Greg,27,BMC Racing Team,,26.0,1:251:25,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
17,18,0,PERAUD Jean-Christophe,35,AG2R La Mondiale,,24.0,",,1:25",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
18,19,0,RABOTTINI Matteo,25,Farnese Vini-Neri-Sottoli,,22.0,",,1:25",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
19,20,0,DI LUCA Danilo,36,Acqua & Sapone,,20.0,",,1:25",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
20,21,0,DUARTE Fabio,26,Colombia - Coldeportes,,19.0,",,1:25",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
21,22,0,MARCZYŃSKI Tomasz,28,Vacansoleil - DCM,,18.0,",,1:25",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
22,23,0,RUBIANO Miguel Angel,27,Androni Giocattoli - Venezuela,,17.0,",,1:25",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
23,24,0,BETANCUR Carlos,22,Acqua & Sapone,,16.0,",,1:25",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
24,25,0,ANACONA Winner,24,Lampre - ISD,,15.0,",,1:25",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
25,26,0,NIBALI Vincenzo,27,Liquigas - Cannondale,,14.0,1:301:30,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
26,27,0,VERDUGO Gorka,33,Euskaltel - Euskadi,,13.0,",,1:30",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
27,28,0,BASSO Ivan,34,Liquigas - Cannondale,,12.0,1:501:50,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
28,29,0,BARDET Romain,21,AG2R La Mondiale,,11.0,2:102:10,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
29,30,0,CATALDO Dario,27,Omega Pharma - Quick-Step,,10.0,2:142:14,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
30,31,0,BAKELANTS Jan,26,RadioShack - Nissan,,9.0,2:262:26,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
31,32,0,NIEVE Mikel,28,Euskaltel - Euskadi,,8.0,2:382:38,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
32,33,0,TIRALONGO Paolo,35,Astana Pro Team,,7.0,3:003:00,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
33,34,0,NOCENTINI Rinaldo,35,AG2R La Mondiale,,6.0,3:033:03,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
34,35,0,MARCATO Marco,28,Vacansoleil - DCM,,5.0,",,3:03",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
35,36,0,ANTÓN Igor,29,Euskaltel - Euskadi,,5.0,4:074:07,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
36,37,0,NORDHAUG Lars Petter,28,Sky Procycling,,5.0,",,4:07",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
37,38,0,COSTA Rui,25,Movistar Team,,5.0,",,4:07",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
38,39,0,TEN DAM Laurens,31,Rabobank Cycling Team,,5.0,4:094:09,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
39,40,0,MORI Manuele,32,Lampre - ISD,,5.0,5:065:06,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
40,41,0,ULISSI Diego,23,Lampre - ISD,,5.0,",,5:06",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
41,42,0,PIRES Bruno,31,Team Saxo Bank - Tinkoff Bank,,5.0,7:297:29,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
42,43,0,SØRENSEN Nicki,37,Team Saxo Bank - Tinkoff Bank,,5.0,",,7:29",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
43,44,0,PAULINHO Sérgio Miguel,32,Team Saxo Bank - Tinkoff Bank,,5.0,",,7:29",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
44,45,0,SØRENSEN Chris Anker,28,Team Saxo Bank - Tinkoff Bank,,5.0,",,7:29",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
45,46,0,TOSATTO Matteo,38,Team Saxo Bank - Tinkoff Bank,,5.0,",,7:29",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
46,47,0,HOOGERLAND Johnny,29,Vacansoleil - DCM,,5.0,10:1410:14,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
47,48,0,GIORDANI Leonardo,35,Farnese Vini-Neri-Sottoli,,5.0,",,10:14",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
48,49,0,MORENO Daniel,31,Team Katusha,,5.0,",,10:14",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
49,50,0,WELLENS Tim,21,Lotto Belisol Team,,5.0,",,10:14",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
50,51,0,LOSADA Alberto,30,Team Katusha,,5.0,11:2311:23,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
51,52,0,BOSISIO Gabriele,32,Utensilnord - Named,,5.0,13:1113:11,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
52,53,0,BENNETT George,22,RadioShack - Nissan,,5.0,20:0320:03,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
53,54,0,BILBAO Pello,22,Euskaltel - Euskadi,,5.0,",,20:03",Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
54,DNF,0,PAOLINI Luca,35,Team Katusha,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
55,DNF,0,MEIER Christian,27,Orica GreenEDGE,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
56,DNF,0,TALANSKY Andrew,23,Garmin Sharp,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
57,DNF,0,DELLE STELLE Christian,23,Colnago CSF Bardiani,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
58,DNF,0,DE CLERCQ Bart,26,Lotto Belisol Team,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
59,DNF,0,CODOL Massimo,39,Acqua & Sapone,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
60,DNF,0,ATAPUMA Darwin,24,Colombia - Coldeportes,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
61,DNF,0,DE GENDT Thomas,25,Vacansoleil - DCM,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
62,DNF,0,FELLINE Fabio,22,Androni Giocattoli - Venezuela,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
63,DNF,0,SARMIENTO Cayetano José,25,Liquigas - Cannondale,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
64,DNF,0,CUMMINGS Steve,31,BMC Racing Team,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
65,DNF,0,VICHOT Arthur,23,FDJ - BigMat,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
66,DNF,0,FRÖHLINGER Johannes,27,Argos - Shimano,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
67,DNF,0,BATTAGLIN Enrico,22,Colnago CSF Bardiani,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
68,DNF,0,CLEMENT Stef,30,Rabobank Cycling Team,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
69,DNF,0,POPOVYCH Yaroslav,32,RadioShack - Nissan,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
70,DNF,0,PUCCIO Salvatore,23,Sky Procycling,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
71,DNF,0,LASTRAS Pablo,36,Movistar Team,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
72,DNF,0,CAPECCHI Eros,26,Liquigas - Cannondale,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
73,DNF,0,DAMUSEAU Thomas,23,Argos - Shimano,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
74,DNF,0,PINEAU Cédric,27,FDJ - BigMat,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
75,DNF,0,PONZI Simone,25,Astana Pro Team,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
76,DNF,0,BRAJKOVIČ Janez,28,Astana Pro Team,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
77,DNF,0,RODRIGUEZ Michael,23,Colombia - Coldeportes,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
78,DNF,0,PINEAU Jérôme,32,Omega Pharma - Quick-Step,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
79,DNF,0,BOARO Manuele,25,Team Saxo Bank - Tinkoff Bank,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
80,DNF,0,VANENDERT Jelle,27,Lotto Belisol Team,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
81,DNF,0,TROFIMOV Yuri,28,Team Katusha,,,-,Il_Lombardia,0,29 September 2012,37.987 km/h,0,251 km,7
