,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,57.0,+7:52,56,MCCARTHY Jay,25,BORA - hansgrohe,50.0,50.0,4:49:39,Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
1,2,70.0,+11:15,216,RIABUSHENKO Alexandr,22,UAE-Team Emirates,20.0,30.0,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
2,3,77.0,+12:12,181,KWIATKOWSKI Michał,27,Team Sky,8.0,18.0,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
3,4,103.0,+17:25,121,ALBASINI Michael,37,Mitchelton-Scott,,13.0,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
4,5,126.0,+22:56,97,SANZ Enrique,28,Euskadi - Murias,,10.0,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
5,6,1.0,+0:00,131,ALAPHILIPPE Julian,25,Quick-Step Floors,,7.0,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
6,7,50.0,+5:49,191,MATTHEWS Michael,27,Team Sunweb,,4.0,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
7,8,39.0,+4:14,63,EZQUERRA Jesús,27,Burgos-BH,,3.0,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
8,9,5.0,+0:54,21,BILBAO Pello,28,Astana Pro Team,,2.0,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
9,10,75.0,+11:23,172,BATTAGLIN Enrico,28,Team LottoNL-Jumbo,,1.0,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
10,11,58.0,+8:02,61,SIMÓN Jordi,27,Burgos-BH,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
11,12,6.0,+0:58,101,MOLARD Rudy,28,Groupama - FDJ,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
12,13,80.0,+12:48,205,GUERREIRO Ruben,23,Trek - Segafredo,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
13,14,23.0,+2:27,113,LAMBRECHT Bjorg,21,Lotto Soudal,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
14,15,67.0,+9:54,6,ROJAS José Joaquín,32,Movistar Team,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
15,16,93.0,+15:29,116,VAN DER SANDE Tosh,27,Lotto Soudal,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
16,17,79.0,+12:28,165,LAMMERTINK Maurits,27,Team Katusha Alpecin,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
17,18,61.0,+8:28,16,BAKELANTS Jan,32,AG2R La Mondiale,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
18,19,33.0,+3:04,46,TEUNS Dylan,26,BMC Racing Team,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
19,20,44.0,+4:34,215,POLANC Jan,25,UAE-Team Emirates,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
20,21,7.0,+0:58,53,BUCHMANN Emanuel,25,BORA - hansgrohe,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
21,22,30.0,+3:00,211,COSTA Rui,31,UAE-Team Emirates,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
22,23,90.0,+14:49,72,AMEZQUETA Julen,24,Caja Rural - Seguros RGA,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
23,24,66.0,+9:30,143,GHEBREIGZABHIER Amanuel,23,Team Dimension Data,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
24,25,72.0,+11:21,156,HOWES Alex,30,Team EF Education First-Drapac p/b Cannondale,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
25,26,51.0,+5:59,152,BROWN Nathan,26,Team EF Education First-Drapac p/b Cannondale,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
26,27,89.0,+14:40,184,GEOGHEGAN HART Tao,23,Team Sky,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
27,28,8.0,+0:58,11,BARDET Romain,27,AG2R La Mondiale,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
28,29,41.0,+4:17,76,MAS Lluís,28,Caja Rural - Seguros RGA,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
29,30,11.0,+0:58,201,MOLLEMA Bauke,31,Trek - Segafredo,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
30,31,116.0,+20:29,75,LASTRA Jonathan,24,Caja Rural - Seguros RGA,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
31,32,2.0,+0:08,171,ROGLIČ Primož,28,Team LottoNL-Jumbo,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
32,33,15.0,+1:26,34,IZAGIRRE Ion,29,Bahrain Merida Pro Cycling Team,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
33,34,52.0,+5:59,82,EDET Nicolas,30,"Cofidis, Solutions Crédits",,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
34,35,46.0,+4:48,84,MATÉ Luis Ángel,34,"Cofidis, Solutions Crédits",,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
35,36,3.0,+0:39,33,IZAGIRRE Gorka,30,Bahrain Merida Pro Cycling Team,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
36,37,9.0,+0:58,135,MAS Enric,23,Quick-Step Floors,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
37,38,34.0,+3:15,37,PERNSTEINER Hermann,27,Bahrain Merida Pro Cycling Team,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
38,39,47.0,+5:12,25,FRAILE Omar,27,Astana Pro Team,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
39,40,60.0,+8:16,206,SKUJIŅŠ Toms,26,Trek - Segafredo,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
40,41,25.0,+2:30,161,ZAKARIN Ilnur,28,Team Katusha Alpecin,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
41,42,86.0,+14:22,162,CRAS Steff,22,Team Katusha Alpecin,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
42,43,4.0,+0:43,1,LANDA Mikel,28,Movistar Team,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
43,44,10.0,+0:58,55,KONRAD Patrick,26,BORA - hansgrohe,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
44,45,16.0,+1:26,91,PRADES Eduard,30,Euskadi - Murias,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
45,46,56.0,+7:07,107,VINCENT Léo,22,Groupama - FDJ,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
46,47,17.0,+1:26,122,HAIG Jack,24,Mitchelton-Scott,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
47,48,29.0,+2:43,157,WOODS Michael,31,Team EF Education First-Drapac p/b Cannondale,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
48,49,22.0,+2:06,137,SERRY Pieter,29,Quick-Step Floors,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
49,50,18.0,+1:47,26,HANSEN Jesper,27,Astana Pro Team,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
50,51,63.0,+8:58,103,MADOUAS Valentin,21,Groupama - FDJ,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
51,52,91.0,+14:52,57,MÜHLBERGER Gregor,24,BORA - hansgrohe,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
52,53,82.0,+13:15,45,GERRANS Simon,37,BMC Racing Team,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
53,54,38.0,+3:50,73,ARANBURU Alex,22,Caja Rural - Seguros RGA,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
54,55,26.0,+2:33,167,ŠPILAK Simon,31,Team Katusha Alpecin,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
55,56,84.0,+13:23,115,MONFORT Maxime,35,Lotto Soudal,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
56,57,45.0,+4:37,3,BETANCUR Carlos,28,Movistar Team,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
57,58,68.0,+10:15,127,VERONA Carlos,25,Mitchelton-Scott,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
58,59,32.0,+3:03,207,STETINA Peter,30,Trek - Segafredo,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
59,60,24.0,+2:27,17,VUILLERMOZ Alexis,29,AG2R La Mondiale,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
60,61,118.0,+21:17,177,DE TIER Floris,26,Team LottoNL-Jumbo,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
61,62,14.0,+1:23,117,VANENDERT Jelle,33,Lotto Soudal,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
62,63,28.0,+2:39,95,BRAVO Garikoitz,28,Euskadi - Murias,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
63,64,94.0,+15:29,212,AÏT EL ABDIA Anass,25,UAE-Team Emirates,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
64,65,12.0,+0:58,5,QUINTANA Nairo,28,Movistar Team,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
65,66,20.0,+1:47,141,ANTÓN Igor,35,Team Dimension Data,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
66,67,19.0,+1:47,183,DE LA CRUZ David,28,Team Sky,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
67,68,49.0,+5:42,176,POWLESS Neilson,21,Team LottoNL-Jumbo,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
68,69,13.0,+0:58,151,URÁN Rigoberto,31,Team EF Education First-Drapac p/b Cannondale,,,",,0:00",Itzulia_Basque_Country,3,04 April 2018,38.28 km/h,74,184.8 km,22
