,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1.0,+0:00,171,ROGLIČ Primož,28,Team LottoNL-Jumbo,50.0,50.0,0:22:26,51.887,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
1,2,120.0,+23:56,42,BEVIN Patrick,27,BMC Racing Team,20.0,30.0,0:090:09,51.542,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
2,3,44.0,+6:39,185,KIRYIENKA Vasil,36,Team Sky,8.0,18.0,0:110:11,51.466,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
3,4,90.0,+16:18,182,CASTROVIEJO Jonathan,30,Team Sky,,13.0,0:140:14,51.353,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
4,5,68.0,+12:24,181,KWIATKOWSKI Michał,27,Team Sky,,10.0,0:200:20,51.126999999999995,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
5,6,42.0,+6:17,191,MATTHEWS Michael,27,Team Sunweb,,7.0,0:360:36,50.535,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
6,7,12.0,+2:16,183,DE LA CRUZ David,28,Team Sky,,4.0,0:370:37,50.498999999999995,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
7,8,2.0,+0:34,131,ALAPHILIPPE Julian,25,Quick-Step Floors,,3.0,0:420:42,50.317,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
8,9,3.0,+1:33,201,MOLLEMA Bauke,31,Trek - Segafredo,,2.0,0:430:43,50.281000000000006,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
9,10,100.0,+18:32,43,CARUSO Damiano,30,BMC Racing Team,,1.0,",,0:43",50.281000000000006,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
10,11,24.0,+3:40,46,TEUNS Dylan,26,BMC Racing Team,,,0:440:44,50.245,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
11,12,4.0,+1:36,55,KONRAD Patrick,26,BORA - hansgrohe,,,0:460:46,50.172,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
12,13,101.0,+18:33,112,DE GENDT Thomas,31,Lotto Soudal,,,0:500:50,50.028999999999996,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
13,14,86.0,+15:51,15,LATOUR Pierre,24,AG2R La Mondiale,,,0:510:51,49.993,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
14,15,103.0,+18:59,142,CUMMINGS Steve,37,Team Dimension Data,,,0:520:52,49.957,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
15,16,10.0,+2:11,34,IZAGIRRE Ion,29,Bahrain Merida Pro Cycling Team,,,0:530:53,49.92100000000001,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
16,17,146.0,+35:58,102,ARMIRAIL Bruno,23,Groupama - FDJ,,,0:570:57,49.778999999999996,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
17,18,6.0,+1:48,53,BUCHMANN Emanuel,25,BORA - hansgrohe,,,0:580:58,49.744,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
18,19,18.0,+3:20,161,ZAKARIN Ilnur,28,Team Katusha Alpecin,,,",,0:58",49.744,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
19,20,56.0,+8:53,54,GROßSCHARTNER Felix,24,BORA - hansgrohe,,,0:590:59,49.708,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
20,21,21.0,+3:28,167,ŠPILAK Simon,31,Team Katusha Alpecin,,,1:031:03,49.567,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
21,22,124.0,+24:44,193,HAGA Chad,29,Team Sunweb,,,1:061:06,49.461999999999996,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
22,23,55.0,+8:05,107,VINCENT Léo,22,Groupama - FDJ,,,",,1:06",49.461999999999996,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
23,24,98.0,+17:54,35,PADUN Mark,21,Bahrain Merida Pro Cycling Team,,,",,1:06",49.461999999999996,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
24,25,64.0,+11:19,123,HAMILTON Lucas,22,Mitchelton-Scott,,,1:071:07,49.427,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
25,26,58.0,+9:15,206,SKUJIŅŠ Toms,26,Trek - Segafredo,,,",,1:07",49.427,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
26,27,15.0,+2:29,122,HAIG Jack,24,Mitchelton-Scott,,,1:111:11,49.287,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
27,28,5.0,+1:42,33,IZAGIRRE Gorka,30,Bahrain Merida Pro Cycling Team,,,",,1:11",49.287,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
28,29,8.0,+1:57,21,BILBAO Pello,28,Astana Pro Team,,,",,1:11",49.287,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
29,30,71.0,+13:18,44,DE MARCHI Alessandro,31,BMC Racing Team,,,1:141:14,49.183,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
30,31,96.0,+17:54,155,CRADDOCK Lawson,26,Team EF Education First-Drapac p/b Cannondale,,,1:151:15,49.148,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
31,32,111.0,+21:25,187,SIVAKOV Pavel,20,Team Sky,,,1:161:16,49.114,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
32,33,7.0,+1:51,1,LANDA Mikel,28,Movistar Team,,,",,1:16",49.114,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
33,34,84.0,+15:47,125,JUUL-JENSEN Christopher,28,Mitchelton-Scott,,,",,1:16",49.114,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
34,35,119.0,+23:50,133,CAVAGNA Rémi,22,Quick-Step Floors,,,1:171:17,49.07899999999999,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
35,36,85.0,+15:49,184,GEOGHEGAN HART Tao,23,Team Sky,,,",,1:17",49.07899999999999,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
36,37,9.0,+2:08,5,QUINTANA Nairo,28,Movistar Team,,,1:181:18,49.045,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
37,38,27.0,+4:12,211,COSTA Rui,31,UAE-Team Emirates,,,1:201:20,48.976000000000006,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
38,39,93.0,+16:51,4,DE LA PARTE Víctor,31,Movistar Team,,,1:211:21,48.942,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
39,40,11.0,+2:14,135,MAS Enric,23,Quick-Step Floors,,,1:241:24,48.839,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
40,41,17.0,+3:05,81,HERRADA Jesús,27,"Cofidis, Solutions Crédits",,,1:261:26,48.771,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
41,42,46.0,+7:00,176,POWLESS Neilson,21,Team LottoNL-Jumbo,,,",,1:26",48.771,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
42,43,25.0,+3:51,154,CARTHY Hugh,23,Team EF Education First-Drapac p/b Cannondale,,,",,1:26",48.771,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
43,44,57.0,+9:12,56,MCCARTHY Jay,25,BORA - hansgrohe,,,1:281:28,48.703,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
44,45,39.0,+5:57,3,BETANCUR Carlos,28,Movistar Team,,,",,1:28",48.703,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
45,46,80.0,+14:35,45,GERRANS Simon,37,BMC Racing Team,,,",,1:28",48.703,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
46,47,121.0,+24:15,41,PORTE Richie,33,BMC Racing Team,,,1:301:30,48.635,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
47,48,37.0,+5:40,76,MAS Lluís,28,Caja Rural - Seguros RGA,,,1:311:31,48.601000000000006,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
48,49,13.0,+2:24,151,URÁN Rigoberto,31,Team EF Education First-Drapac p/b Cannondale,,,1:341:34,48.5,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
49,50,61.0,+10:30,163,BOSWELL Ian,27,Team Katusha Alpecin,,,1:361:36,48.433,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
50,51,14.0,+2:27,101,MOLARD Rudy,28,Groupama - FDJ,,,1:371:37,48.398999999999994,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
51,52,87.0,+15:52,162,CRAS Steff,22,Team Katusha Alpecin,,,1:381:38,48.36600000000001,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
52,53,23.0,+3:37,137,SERRY Pieter,29,Quick-Step Floors,,,1:391:39,48.332,Itzulia_Basque_Country,4,05 April 2018,51.89 km/h,1,19.4 km,22
