,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,RODRÍGUEZ Joaquim,32,Team Katusha,80.0,225.0,4:45:41,La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
1,2,0,ALBASINI Michael,31,Orica GreenEDGE,60.0,150.0,0:040:04,La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
2,3,0,GILBERT Philippe,29,BMC Racing Team,50.0,110.0,",,0:04",La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
3,4,0,VANENDERT Jelle,27,Lotto Belisol Team,40.0,90.0,",,0:04",La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
4,5,0,KIŠERLOVSKI Robert,25,Astana Pro Team,30.0,80.0,0:070:07,La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
5,6,0,MARTIN Dan,25,Team Garmin - Barracuda,22.0,70.0,0:090:09,La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
6,7,0,MOLLEMA Bauke,25,Rabobank Cycling Team,14.0,60.0,",,0:09",La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
7,8,0,NIBALI Vincenzo,27,Liquigas - Cannondale,10.0,50.0,",,0:09",La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
8,9,0,ULISSI Diego,22,Lampre - ISD,6.0,46.0,",,0:09",La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
9,10,0,VAN DEN BROECK Jurgen,29,Lotto Belisol Team,2.0,42.0,0:110:11,La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
10,11,0,GASPAROTTO Enrico,30,Astana Pro Team,,38.0,",,0:11",La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
11,12,0,NOCENTINI Rinaldo,34,AG2R La Mondiale,,34.0,",,0:11",La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
12,13,0,IGLINSKIY Maxim,31,Astana Pro Team,,30.0,",,0:11",La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
13,14,0,HENAO Sergio,24,Sky Procycling,,26.0,",,0:11",La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
14,15,0,POELS Wout,24,Vacansoleil - DCM,,22.0,",,0:11",La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
15,16,0,MARTENS Paul,28,Rabobank Cycling Team,,20.0,",,0:11",La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
16,17,0,ANTÓN Igor,29,Euskaltel - Euskadi,,18.0,",,0:11",La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
17,18,0,COSTA Rui,25,Movistar Team,,17.0,0:180:18,La_Fl_che_Wallonne,0,18 April 2012,40.744 km/h,0,194 km,11
