,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,61,HIRSCHI Marc,22,Team Sunweb,400.0,225.0,4:49:17,La_Fl_che_Wallonne,0,30 September 2020,41.9 km/h,134,202 km,19
1,2,93,COSNEFROY Benoît,24,AG2R La Mondiale,320.0,150.0,",,0:00",La_Fl_che_Wallonne,0,30 September 2020,41.9 km/h,134,202 km,19
2,3,167,WOODS Michael,33,EF Pro Cycling,260.0,110.0,",,0:00",La_Fl_che_Wallonne,0,30 September 2020,41.9 km/h,134,202 km,19
3,4,241,BARGUIL Warren,28,Team Arkéa Samsic,220.0,90.0,",,0:00",La_Fl_che_Wallonne,0,30 September 2020,41.9 km/h,134,202 km,19
4,5,221,MARTIN Dan,34,Israel Start-Up Nation,180.0,80.0,",,0:00",La_Fl_che_Wallonne,0,30 September 2020,41.9 km/h,134,202 km,19
5,6,121,KWIATKOWSKI Michał,30,INEOS Grenadiers,140.0,70.0,",,0:00",La_Fl_che_Wallonne,0,30 September 2020,41.9 km/h,134,202 km,19
6,7,44,KONRAD Patrick,28,BORA - hansgrohe,120.0,60.0,0:050:05,La_Fl_che_Wallonne,0,30 September 2020,41.9 km/h,134,202 km,19
7,8,51,PORTE Richie,35,Trek - Segafredo,100.0,50.0,",,0:05",La_Fl_che_Wallonne,0,30 September 2020,41.9 km/h,134,202 km,19
8,9,21,POGAČAR Tadej,22,UAE-Team Emirates,80.0,46.0,",,0:05",La_Fl_che_Wallonne,0,30 September 2020,41.9 km/h,134,202 km,19
9,10,151,GESCHKE Simon,34,CCC Team,68.0,42.0,0:100:10,La_Fl_che_Wallonne,0,30 September 2020,41.9 km/h,134,202 km,19
10,11,141,MADOUAS Valentin,24,Groupama - FDJ,56.0,38.0,",,0:10",La_Fl_che_Wallonne,0,30 September 2020,41.9 km/h,134,202 km,19
11,12,211,VANENDERT Jelle,35,Bingoal - Wallonie Bruxelles,48.0,34.0,",,0:10",La_Fl_che_Wallonne,0,30 September 2020,41.9 km/h,134,202 km,19
12,13,161,MARTÍNEZ Daniel Felipe,24,EF Pro Cycling,40.0,30.0,",,0:10",La_Fl_che_Wallonne,0,30 September 2020,41.9 km/h,134,202 km,19
13,14,144,MOLARD Rudy,31,Groupama - FDJ,32.0,26.0,",,0:10",La_Fl_che_Wallonne,0,30 September 2020,41.9 km/h,134,202 km,19
