,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,131,ROGLIČ Primož,29,Team Jumbo-Visma,100.0,80.0,0:47:05,46.131,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
1,2,60,+57:56,54,BEVIN Patrick,28,CCC Team,40.0,50.0,0:250:25,45.726000000000006,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
2,3,90,+1:20:38,63,CAVAGNA Rémi,24,Deceuninck - Quick Step,20.0,35.0,0:270:27,45.693999999999996,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
3,4,50,+51:56,73,CRADDOCK Lawson,27,EF Education First,12.0,25.0,0:480:48,45.36,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
4,5,57,+56:49,5,OLIVEIRA Nelson,30,Movistar Team,4.0,18.0,1:021:02,45.14,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
5,6,24,+18:16,11,LATOUR Pierre,25,AG2R La Mondiale,,15.0,1:141:14,44.953,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
6,7,54,+54:38,91,DE GENDT Thomas,32,Lotto Soudal,,12.0,1:211:21,44.845,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
7,8,17,+14:13,8,SOLER Marc,25,Movistar Team,,10.0,1:221:22,44.83,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
8,9,9,+6:07,38,TEUNS Dylan,27,Bahrain Merida,,8.0,1:271:27,44.753,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
9,10,19,+15:12,76,MARTÍNEZ Daniel Felipe,23,EF Education First,,6.0,1:281:28,44.736999999999995,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
10,11,5,+3:05,177,POGAČAR Tadej,20,UAE-Team Emirates,,5.0,1:291:29,44.722,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
11,12,64,+1:00:32,82,ARMIRAIL Bruno,25,Groupama - FDJ,,4.0,1:361:36,44.615,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
12,13,2,+1:52,1,VALVERDE Alejandro,39,Movistar Team,,3.0,1:381:38,44.583999999999996,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
13,14,3,+2:11,21,LÓPEZ Miguel Ángel,25,Astana Pro Team,,2.0,2:002:00,44.251000000000005,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
14,15,20,+15:17,66,KNOX James,23,Deceuninck - Quick Step,,1.0,",,2:00",44.251000000000005,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
15,16,107,+1:29:45,88,THOMAS Benjamin,23,Groupama - FDJ,,,2:062:06,44.161,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
16,17,132,+1:47:10,52,BARTA Will,23,CCC Team,,,2:122:12,44.071999999999996,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
17,18,71,+1:08:04,85,LUDVIGSSON Tobias,28,Groupama - FDJ,,,2:172:17,43.997,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
18,19,7,+5:42,41,MAJKA Rafał,29,BORA - hansgrohe,,,2:262:26,43.864,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
19,20,11,+8:44,36,PERNSTEINER Hermann,29,Bahrain Merida,,,2:272:27,43.849,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
20,21,32,+34:47,28,SÁNCHEZ Luis León,35,Astana Pro Team,,,2:322:32,43.776,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
21,22,10,+6:25,151,KELDERMAN Wilco,28,Team Sunweb,,,2:382:38,43.688,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
22,23,80,+1:13:51,152,ARNDT Nikias,27,Team Sunweb,,,",,2:38",43.688,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
23,24,16,+12:53,27,IZAGIRRE Ion,30,Astana Pro Team,,,2:562:56,43.426,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
24,25,89,+1:20:35,87,SEIGLE Romain,24,Groupama - FDJ,,,2:572:57,43.411,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
25,26,76,+1:11:32,16,GODON Dorian,23,AG2R La Mondiale,,,3:043:04,43.31,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
26,27,4,+3:00,7,QUINTANA Nairo,29,Movistar Team,,,3:063:06,43.281000000000006,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
27,28,13,+10:07,132,BENNETT George,29,Team Jumbo-Visma,,,",,3:06",43.281000000000006,La_Vuelta_ciclista_a_Espa_a,10,03 September 2019,46.131 km/h,42,36.2 km,16
