,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,8,+7:45,94,GAUDU David,24,Groupama - FDJ,100.0,80.0,4:54:32,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
1,2,20,+43:39,168,MÄDER Gino,23,NTT Pro Cycling,40.0,50.0,0:280:28,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
2,3,29,+1:10:52,55,IZAGIRRE Ion,31,Astana Pro Team,20.0,35.0,1:051:05,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
3,4,7,+7:35,21,DE LA CRUZ David,31,UAE-Team Emirates,12.0,25.0,",,1:05",La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
4,5,49,+1:58:15,43,DONOVAN Mark,21,Team Sunweb,4.0,18.0,1:531:53,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
5,6,41,+1:42:32,46,STORER Michael,23,Team Sunweb,,15.0,",,1:53",La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
6,7,14,+15:07,151,MARTIN Guillaume,27,"Cofidis, Solutions Crédits",,12.0,2:232:23,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
7,8,2,+0:24,72,CARAPAZ Richard,27,INEOS Grenadiers,,10.0,2:352:35,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
8,9,3,+0:47,102,CARTHY Hugh,26,EF Pro Cycling,,8.0,2:502:50,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
9,10,1,+0:00,1,ROGLIČ Primož,31,Team Jumbo-Visma,,6.0,2:562:56,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
10,11,5,+3:36,174,MAS Enric,25,Movistar Team,,5.0,3:033:03,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
11,12,18,+21:01,177,SOLER Marc,26,Movistar Team,,4.0,3:163:16,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
12,13,39,+1:42:00,124,GODON Dorian,24,AG2R La Mondiale,,3.0,3:213:21,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
13,14,11,+9:36,51,VLASOV Aleksandr,24,Astana Pro Team,,2.0,3:383:38,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
14,15,10,+9:34,171,VALVERDE Alejandro,40,Movistar Team,,1.0,3:453:45,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
15,16,71,+2:48:18,143,DEWULF Stan,22,Lotto Soudal,,,",,3:45",La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
16,17,15,+15:36,24,HENAO Sergio,32,UAE-Team Emirates,,,3:503:50,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
17,18,4,+2:43,181,MARTIN Dan,34,Israel Start-Up Nation,,,3:513:51,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
18,19,17,+17:09,13,CATTANEO Mattia,30,Deceuninck - Quick Step,,,",,3:51",La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
19,20,6,+7:16,111,POELS Wout,33,Bahrain - McLaren,,,",,3:51",La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
20,21,9,+8:15,63,GROßSCHARTNER Felix,26,BORA - hansgrohe,,,",,3:51",La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
21,22,42,+1:48:34,42,ARENSMAN Thymen,20,Team Sunweb,,,",,3:51",La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
22,23,52,+1:59:59,5,HOFSTEDE Lennard,25,Team Jumbo-Visma,,,4:434:43,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
23,24,37,+1:30:35,125,PETERS Nans,26,AG2R La Mondiale,,,4:584:58,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
24,25,16,+16:26,6,KUSS Sepp,26,Team Jumbo-Visma,,,5:005:00,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
25,26,25,+1:03:46,84,SCHULTZ Nick,26,Mitchelton-Scott,,,5:135:13,La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
26,27,19,+21:46,57,IZAGIRRE Gorka,33,Astana Pro Team,,,",,5:13",La_Vuelta_ciclista_a_Espa_a,17,07 November 2020,36.3 km/h,266,178.2 km,11
