,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,34,DENNIS Rohan,28,BMC Racing Team,100.0,80.0,0:09:39,49.74100000000001,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
1,2,2,+0:06,145,KWIATKOWSKI Michał,28,Team Sky,40.0,50.0,0:060:06,49.231,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
2,3,3,+0:07,63,CAMPENAERTS Victor,26,Lotto Soudal,20.0,35.0,0:070:07,49.147,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
3,4,4,+0:17,87,OLIVEIRA Nelson,29,Movistar Team,12.0,25.0,0:170:17,48.321999999999996,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
4,5,5,+0:20,148,VAN BAARLE Dylan,26,Team Sky,4.0,18.0,0:200:20,48.08,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
5,6,6,+0:21,33,DE MARCHI Alessandro,32,BMC Racing Team,,15.0,0:210:21,48.0,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
6,7,7,+0:21,142,CASTROVIEJO Jonathan,31,Team Sky,,12.0,",,0:21",48.0,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
7,8,8,+0:21,153,GESCHKE Simon,32,Team Sunweb,,10.0,",,0:21",48.0,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
8,9,9,+0:22,4,IZAGIRRE Ion,29,Bahrain Merida Pro Cycling Team,,8.0,0:220:22,47.92,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
9,10,10,+0:22,151,KELDERMAN Wilco,27,Team Sunweb,,6.0,",,0:22",47.92,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
10,11,11,+0:22,37,TEUNS Dylan,26,BMC Racing Team,,5.0,",,0:22",47.92,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
11,12,12,+0:22,165,FELLINE Fabio,28,Trek - Segafredo,,4.0,",,0:22",47.92,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
12,13,13,+0:23,57,THOMAS Benjamin,22,Groupama - FDJ,,3.0,0:230:23,47.841,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
13,14,14,+0:23,82,AMADOR Andrey,31,Movistar Team,,2.0,",,0:23",47.841,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
14,15,15,+0:23,32,BOOKWALTER Brent,34,BMC Racing Team,,1.0,",,0:23",47.841,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
15,16,16,+0:24,88,VALVERDE Alejandro,38,Movistar Team,,,0:240:24,47.761,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
16,17,17,+0:24,3,IZAGIRRE Gorka,30,Bahrain Merida Pro Cycling Team,,,",,0:24",47.761,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
17,18,18,+0:24,143,GEOGHEGAN HART Tao,23,Team Sky,,,",,0:24",47.761,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
18,19,19,+0:25,114,LANGEVELD Sebastian,33,Team EF Education First-Drapac p/b Cannondale,,,0:250:25,47.681999999999995,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
19,20,20,+0:27,161,MOLLEMA Bauke,31,Trek - Segafredo,,,0:270:27,47.525,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
20,21,21,+0:28,36,ROSSKOPF Joey,28,BMC Racing Team,,,0:280:28,47.446000000000005,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
21,22,22,+0:28,75,HOWSON Damien,26,Mitchelton-Scott,,,",,0:28",47.446000000000005,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
22,23,23,+0:28,157,TUSVELD Martijn,24,Team Sunweb,,,",,0:28",47.446000000000005,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
23,24,24,+0:29,106,KING Ben,29,Team Dimension Data,,,0:290:29,47.368,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
24,25,25,+0:29,42,BUCHMANN Emanuel,25,BORA - hansgrohe,,,",,0:29",47.368,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
25,26,26,+0:29,68,WALLAYS Jelle,29,Lotto Soudal,,,",,0:29",47.368,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
26,27,27,+0:29,93,DE PLUS Laurens,22,Quick-Step Floors,,,",,0:29",47.368,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
27,28,28,+0:29,131,KRUIJSWIJK Steven,31,Team LottoNL-Jumbo,,,",,0:29",47.368,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
28,29,29,+0:29,103,CUMMINGS Steve,37,Team Dimension Data,,,",,0:29",47.368,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
29,30,30,+0:29,71,YATES Simon,26,Mitchelton-Scott,,,",,0:29",47.368,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
30,31,31,+0:30,14,GALLOPIN Tony,30,AG2R La Mondiale,,,0:300:30,47.291000000000004,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
31,32,32,+0:30,73,EDMONDSON Alex,24,Mitchelton-Scott,,,",,0:30",47.291000000000004,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
32,33,33,+0:30,22,BILBAO Pello,28,Astana Pro Team,,,",,0:30",47.291000000000004,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
33,34,34,+0:30,81,QUINTANA Nairo,28,Movistar Team,,,",,0:30",47.291000000000004,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
34,35,35,+0:30,121,ZAKARIN Ilnur,28,Team Katusha Alpecin,,,",,0:30",47.291000000000004,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
35,36,36,+0:31,163,BRÄNDLE Matthias,28,Trek - Segafredo,,,0:310:31,47.213,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
36,37,37,+0:31,92,ASGREEN Kasper,23,Quick-Step Floors,,,",,0:31",47.213,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
37,38,38,+0:31,147,SIVAKOV Pavel,21,Team Sky,,,",,0:31",47.213,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
38,39,39,+0:33,133,BOOM Lars,32,Team LottoNL-Jumbo,,,0:330:33,47.059,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
39,40,40,+0:34,95,MAS Enric,23,Quick-Step Floors,,,0:340:34,46.982,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
40,41,41,+0:34,45,MAJKA Rafał,28,BORA - hansgrohe,,,",,0:34",46.982,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
41,42,42,+0:34,47,PÖSTLBERGER Lukas,26,BORA - hansgrohe,,,",,0:34",46.982,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
42,43,43,+0:35,35,ROCHE Nicolas,34,BMC Racing Team,,,0:350:35,46.906000000000006,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
43,44,44,+0:35,21,LÓPEZ Miguel Ángel,24,Astana Pro Team,,,",,0:35",46.906000000000006,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
44,45,45,+0:35,83,ANACONA Winner,30,Movistar Team,,,",,0:35",46.906000000000006,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
45,46,46,+0:35,94,DEVENYNS Dries,35,Quick-Step Floors,,,",,0:35",46.906000000000006,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
46,47,47,+0:35,105,GIBBONS Ryan,24,Team Dimension Data,,,",,0:35",46.906000000000006,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
47,48,48,+0:35,174,CONTI Valerio,25,UAE-Team Emirates,,,",,0:35",46.906000000000006,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
48,49,49,+0:36,58,VINCENT Léo,22,Groupama - FDJ,,,0:360:36,46.82899999999999,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
49,50,50,+0:36,5,PADUN Mark,22,Bahrain Merida Pro Cycling Team,,,",,0:36",46.82899999999999,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
50,51,51,+0:36,124,HOLLENSTEIN Reto,33,Team Katusha Alpecin,,,",,0:36",46.82899999999999,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
51,52,52,+0:38,162,BRAMBILLA Gianluca,31,Trek - Segafredo,,,0:380:38,46.677,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
52,53,53,+0:38,166,IRIZAR Markel,38,Trek - Segafredo,,,",,0:38",46.677,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
53,54,54,+0:38,55,PREIDLER Georg,28,Groupama - FDJ,,,",,0:38",46.677,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
54,55,55,+0:38,72,ALBASINI Michael,37,Mitchelton-Scott,,,",,0:38",46.677,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
55,56,56,+0:38,16,GENIEZ Alexandre,30,AG2R La Mondiale,,,",,0:38",46.677,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
56,57,57,+0:38,176,MARTIN Dan,32,UAE-Team Emirates,,,",,0:38",46.677,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
57,58,58,+0:38,41,SAGAN Peter,28,BORA - hansgrohe,,,",,0:38",46.677,La_Vuelta_ciclista_a_Espa_a,1,25 August 2018,49.74 km/h,11,8 km,10
