,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,2.0,+0:05,181,MARTIN Dan,34,Israel Start-Up Nation,100.0,80.0,4:27:49,La_Vuelta_ciclista_a_Espa_a,3,22 October 2020,37.21 km/h,101,166.1 km,11
1,2,1.0,+0:00,1,ROGLIČ Primož,30,Team Jumbo-Visma,40.0,50.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,3,22 October 2020,37.21 km/h,101,166.1 km,11
2,3,3.0,+0:13,72,CARAPAZ Richard,27,INEOS Grenadiers,20.0,35.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,3,22 October 2020,37.21 km/h,101,166.1 km,11
3,4,17.0,+3:13,111,POELS Wout,33,Bahrain - McLaren,12.0,25.0,0:040:04,La_Vuelta_ciclista_a_Espa_a,3,22 October 2020,37.21 km/h,101,166.1 km,11
4,5,23.0,+5:42,51,VLASOV Aleksandr,24,Astana Pro Team,4.0,18.0,0:070:07,La_Vuelta_ciclista_a_Espa_a,3,22 October 2020,37.21 km/h,101,166.1 km,11
5,6,4.0,+0:32,174,MAS Enric,25,Movistar Team,,15.0,0:090:09,La_Vuelta_ciclista_a_Espa_a,3,22 October 2020,37.21 km/h,101,166.1 km,11
6,7,7.0,+1:17,63,GROßSCHARTNER Felix,26,BORA - hansgrohe,,12.0,0:120:12,La_Vuelta_ciclista_a_Espa_a,3,22 October 2020,37.21 km/h,101,166.1 km,11
7,8,5.0,+0:38,102,CARTHY Hugh,26,EF Pro Cycling,,10.0,",,0:12",La_Vuelta_ciclista_a_Espa_a,3,22 October 2020,37.21 km/h,101,166.1 km,11
8,9,6.0,+0:44,6,KUSS Sepp,26,Team Jumbo-Visma,,8.0,",,0:12",La_Vuelta_ciclista_a_Espa_a,3,22 October 2020,37.21 km/h,101,166.1 km,11
9,10,39.0,+21:02,121,CHAMPOUSSIN Clément,22,AG2R La Mondiale,,6.0,0:240:24,La_Vuelta_ciclista_a_Espa_a,3,22 October 2020,37.21 km/h,101,166.1 km,11
