,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,132,+42:03,201,BOUHANNI Nacer,28,"Cofidis, Solutions Crédits",100.0,80.0,3:58:35,La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
1,2,134,+42:10,138,VAN POPPEL Danny,25,Team LottoNL-Jumbo,40.0,50.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
2,3,142,+44:26,91,VIVIANI Elia,29,Quick-Step Floors,20.0,35.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
3,4,145,+44:53,173,CONSONNI Simone,23,UAE-Team Emirates,12.0,25.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
4,5,133,+42:05,77,TRENTIN Matteo,29,Mitchelton-Scott,4.0,18.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
5,6,113,+35:13,2,GARCÍA CORTINA Iván,22,Bahrain Merida Pro Cycling Team,,15.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
6,7,111,+33:52,24,FRAILE Omar,28,Astana Pro Team,,12.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
7,8,12,+1:27,21,LÓPEZ Miguel Ángel,24,Astana Pro Team,,10.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
8,9,137,+42:35,41,SAGAN Peter,28,BORA - hansgrohe,,8.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
9,10,147,+44:56,96,MØRKØV Michael,33,Quick-Step Floors,,6.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
10,11,149,+45:04,167,NIZZOLO Giacomo,29,Trek - Segafredo,,5.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
11,12,78,+21:02,117,VAN ASBROECK Tom,28,Team EF Education First-Drapac p/b Cannondale,,4.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
12,13,140,+43:39,212,ABERASTURI Jon,29,Euskadi - Murias,,3.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
13,14,2,+0:41,145,KWIATKOWSKI Michał,28,Team Sky,,2.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
14,15,126,+40:27,67,VAN DER SANDE Tosh,27,Lotto Soudal,,1.0,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
15,16,19,+3:25,74,HAIG Jack,24,Mitchelton-Scott,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
16,17,164,+50:53,97,SABATINI Fabio,33,Quick-Step Floors,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
17,18,14,+1:29,111,URÁN Rigoberto,31,Team EF Education First-Drapac p/b Cannondale,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
18,19,3,+0:48,42,BUCHMANN Emanuel,25,BORA - hansgrohe,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
19,20,1,+0:00,54,MOLARD Rudy,28,Groupama - FDJ,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
20,21,92,+27:46,23,CATALDO Dario,33,Astana Pro Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
21,22,8,+1:14,81,QUINTANA Nairo,28,Movistar Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
22,23,9,+1:18,131,KRUIJSWIJK Steven,31,Team LottoNL-Jumbo,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
23,24,5,+0:53,88,VALVERDE Alejandro,38,Movistar Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
24,25,16,+1:46,93,DE PLUS Laurens,22,Quick-Step Floors,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
25,26,13,+1:28,171,ARU Fabio,28,UAE-Team Emirates,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
26,27,106,+32:14,172,BYSTRØM Sven Erik,26,UAE-Team Emirates,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
27,28,21,+3:59,85,CARAPAZ Richard,25,Movistar Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
28,29,52,+13:14,1,NIBALI Vincenzo,33,Bahrain Merida Pro Cycling Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
29,30,20,+3:31,44,FORMOLO Davide,25,BORA - hansgrohe,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
30,31,10,+1:23,95,MAS Enric,23,Quick-Step Floors,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
31,32,6,+1:11,4,IZAGIRRE Ion,29,Bahrain Merida Pro Cycling Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
32,33,4,+0:51,71,YATES Simon,26,Mitchelton-Scott,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
33,34,15,+1:34,141,DE LA CRUZ David,29,Team Sky,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
34,35,7,+1:14,14,GALLOPIN Tony,30,AG2R La Mondiale,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
35,36,115,+35:51,86,ERVITI Imanol,34,Movistar Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
36,37,176,+1:29:08,13,DUVAL Julien,28,AG2R La Mondiale,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
37,38,37,+8:14,144,HENAO Sergio,30,Team Sky,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
38,39,151,+45:11,208,VANBILSEN Kenneth,28,"Cofidis, Solutions Crédits",,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
39,40,83,+23:00,213,BAGÜES Aritz,29,Euskadi - Murias,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
40,41,40,+8:35,115,MORENO Daniel,36,Team EF Education First-Drapac p/b Cannondale,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
41,42,93,+27:54,94,DEVENYNS Dries,35,Quick-Step Floors,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
42,43,11,+1:26,132,BENNETT George,28,Team LottoNL-Jumbo,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
43,44,125,+40:22,84,BENNATI Daniele,37,Movistar Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
44,45,31,+6:24,112,CLARKE Simon,32,Team EF Education First-Drapac p/b Cannondale,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
45,46,71,+18:52,82,AMADOR Andrey,32,Movistar Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
46,47,152,+45:43,8,PIBERNIK Luka,24,Bahrain Merida Pro Cycling Team,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
47,48,116,+36:01,98,SERRY Pieter,29,Quick-Step Floors,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
48,49,75,+20:11,46,MCCARTHY Jay,25,BORA - hansgrohe,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
49,50,175,+1:05:48,133,BOOM Lars,32,Team LottoNL-Jumbo,,,",,0:00",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
50,51,167,+56:28,43,BURGHARDT Marcus,35,BORA - hansgrohe,,,0:230:23,La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
51,52,144,+44:45,114,LANGEVELD Sebastian,33,Team EF Education First-Drapac p/b Cannondale,,,",,0:23",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
52,53,39,+8:25,118,WOODS Michael,31,Team EF Education First-Drapac p/b Cannondale,,,",,0:23",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
53,54,135,+42:14,113,DOCKER Mitchell,31,Team EF Education First-Drapac p/b Cannondale,,,0:380:38,La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
54,55,36,+7:55,162,BRAMBILLA Gianluca,31,Trek - Segafredo,,,0:420:42,La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
55,56,136,+42:32,47,PÖSTLBERGER Lukas,26,BORA - hansgrohe,,,1:311:31,La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
56,57,55,+13:59,143,GEOGHEGAN HART Tao,23,Team Sky,,,",,1:31",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
57,58,64,+16:34,105,GIBBONS Ryan,24,Team Dimension Data,,,1:441:44,La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
58,59,33,+7:34,107,KUDUS Merhawi,24,Team Dimension Data,,,",,1:44",La_Vuelta_ciclista_a_Espa_a,6,30 August 2018,39.16 km/h,35,155.7 km,10
