,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,18,+3:01,106,KING Ben,29,Team Dimension Data,100.0,80.0,5:30:38,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
1,2,27,+9:50,161,MOLLEMA Bauke,31,Trek - Segafredo,40.0,50.0,0:480:48,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
2,3,51,+28:38,37,TEUNS Dylan,26,BMC Racing Team,20.0,35.0,2:382:38,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
3,4,7,+0:27,21,LÓPEZ Miguel Ángel,24,Astana Pro Team,12.0,25.0,2:402:40,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
4,5,3,+0:14,81,QUINTANA Nairo,28,Movistar Team,4.0,18.0,",,2:40",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
5,6,14,+1:50,151,KELDERMAN Wilco,27,Team Sunweb,,15.0,",,2:40",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
6,7,8,+0:32,111,URÁN Rigoberto,31,Team EF Education First-Drapac p/b Cannondale,,12.0,2:432:43,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
7,8,5,+0:17,4,IZAGIRRE Ion,29,Bahrain Merida Pro Cycling Team,,10.0,2:462:46,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
8,9,1,+0:00,71,YATES Simon,26,Mitchelton-Scott,,8.0,2:492:49,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
9,10,10,+0:48,132,BENNETT George,28,Team LottoNL-Jumbo,,6.0,3:023:02,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
10,11,2,+0:01,88,VALVERDE Alejandro,38,Movistar Team,,5.0,3:043:04,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
11,12,16,+2:33,51,PINOT Thibaut,28,Groupama - FDJ,,4.0,3:053:05,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
12,13,9,+0:43,131,KRUIJSWIJK Steven,31,Team LottoNL-Jumbo,,3.0,",,3:05",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
13,14,6,+0:24,14,GALLOPIN Tony,30,AG2R La Mondiale,,2.0,",,3:05",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
14,15,4,+0:16,42,BUCHMANN Emanuel,25,BORA - hansgrohe,,1.0,3:083:08,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
15,16,11,+1:08,171,ARU Fabio,28,UAE-Team Emirates,,,3:203:20,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
16,17,29,+11:35,85,CARAPAZ Richard,25,Movistar Team,,,3:293:29,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
17,18,13,+1:26,141,DE LA CRUZ David,29,Team Sky,,,3:323:32,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
18,19,12,+1:15,95,MAS Enric,23,Quick-Step Floors,,,",,3:32",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
19,20,38,+15:12,135,KUSS Sepp,23,Team LottoNL-Jumbo,,,",,3:32",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
20,21,22,+5:27,101,MEINTJES Louis,26,Team Dimension Data,,,",,3:32",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
21,22,102,+1:02:20,25,HIRT Jan,27,Astana Pro Team,,,",,3:32",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
22,23,57,+31:32,124,HOLLENSTEIN Reto,33,Team Katusha Alpecin,,,3:503:50,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
23,24,21,+5:04,203,HERRADA Jesús,28,"Cofidis, Solutions Crédits",,,3:543:54,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
24,25,15,+2:10,145,KWIATKOWSKI Michał,28,Team Sky,,,4:444:44,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
25,26,30,+11:50,3,IZAGIRRE Gorka,30,Bahrain Merida Pro Cycling Team,,,",,4:44",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
26,27,20,+4:29,74,HAIG Jack,24,Mitchelton-Scott,,,",,4:44",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
27,28,72,+40:16,217,RODRÍGUEZ Óscar,23,Euskadi - Murias,,,4:544:54,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
28,29,25,+9:08,162,BRAMBILLA Gianluca,31,Trek - Segafredo,,,",,4:54",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
29,30,24,+6:01,7,PERNSTEINER Hermann,28,Bahrain Merida Pro Cycling Team,,,4:564:56,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
30,31,34,+13:26,121,ZAKARIN Ilnur,28,Team Katusha Alpecin,,,",,4:56",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
31,32,23,+5:44,45,MAJKA Rafał,28,BORA - hansgrohe,,,",,4:56",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
32,33,53,+29:24,191,PARDILLA Sergio,34,Caja Rural - Seguros RGA,,,5:005:00,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
33,34,19,+3:17,93,DE PLUS Laurens,22,Quick-Step Floors,,,5:115:11,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
34,35,48,+26:01,102,ANTÓN Igor,35,Team Dimension Data,,,",,5:11",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
35,36,52,+28:57,6,PELLIZOTTI Franco,40,Bahrain Merida Pro Cycling Team,,,5:405:40,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
36,37,45,+22:25,134,DE TIER Floris,26,Team LottoNL-Jumbo,,,5:465:46,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
37,38,31,+12:03,144,HENAO Sergio,30,Team Sky,,,",,5:46",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
38,39,37,+15:11,194,MAS Lluís,28,Caja Rural - Seguros RGA,,,",,5:46",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
39,40,28,+10:45,196,RODRÍGUEZ Cristián,23,Caja Rural - Seguros RGA,,,6:236:23,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
40,41,33,+12:49,11,DUPONT Hubert,37,AG2R La Mondiale,,,",,6:23",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
41,42,39,+15:51,214,BIZKARRA Mikel,29,Euskadi - Murias,,,",,6:23",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
42,43,17,+2:43,54,MOLARD Rudy,28,Groupama - FDJ,,,",,6:23",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
43,44,106,+1:04:02,183,CABEDO Óscar,23,Burgos-BH,,,6:556:55,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
44,45,32,+12:15,115,MORENO Daniel,36,Team EF Education First-Drapac p/b Cannondale,,,",,6:55",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
45,46,43,+22:08,118,WOODS Michael,31,Team EF Education First-Drapac p/b Cannondale,,,",,6:55",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
46,47,71,+39:54,185,EZQUERRA Jesús,27,Burgos-BH,,,6:596:59,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
47,48,66,+36:14,58,VINCENT Léo,22,Groupama - FDJ,,,7:367:36,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
48,49,63,+34:31,178,RAVASI Edward,24,UAE-Team Emirates,,,8:278:27,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
49,50,55,+30:17,176,MARTIN Dan,32,UAE-Team Emirates,,,",,8:27",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
50,51,41,+16:53,125,KOCHETKOV Pavel,32,Team Katusha Alpecin,,,",,8:27",La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
51,52,26,+9:28,44,FORMOLO Davide,25,BORA - hansgrohe,,,9:129:12,La_Vuelta_ciclista_a_Espa_a,9,02 September 2018,36.44 km/h,274,200.8 km,10
