,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,101,ROGLIČ Primož,30,Team Jumbo-Visma,500.0,275.0,6:32:02,Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
1,2,161,HIRSCHI Marc,22,Team Sunweb,400.0,200.0,",,0:00",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
2,3,111,POGAČAR Tadej,22,UAE-Team Emirates,325.0,150.0,",,0:00",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
3,4,85,MOHORIČ Matej,25,Bahrain - McLaren,275.0,120.0,",,0:00",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
4,5,1,ALAPHILIPPE Julian,28,Deceuninck - Quick Step,225.0,100.0,",,0:00",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
5,6,181,VAN DER POEL Mathieu,25,Alpecin-Fenix,175.0,90.0,0:140:14,Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
6,7,41,WOODS Michael,33,EF Pro Cycling,150.0,80.0,",,0:14",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
7,8,163,BENOOT Tiesj,26,Team Sunweb,125.0,70.0,",,0:14",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
8,9,71,BARGUIL Warren,28,Team Arkéa Samsic,100.0,60.0,",,0:14",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
9,10,171,KWIATKOWSKI Michał,30,INEOS Grenadiers,85.0,50.0,",,0:14",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
10,11,211,MARTIN Dan,34,Israel Start-Up Nation,70.0,46.0,",,0:14",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
11,12,103,DUMOULIN Tom,29,Team Jumbo-Visma,60.0,42.0,",,0:14",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
12,13,55,MOLARD Rudy,31,Groupama - FDJ,50.0,38.0,",,0:14",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
13,14,141,MARTIN Guillaume,27,"Cofidis, Solutions Crédits",40.0,34.0,",,0:14",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
14,15,47,URÁN Rigoberto,33,EF Pro Cycling,35.0,30.0,",,0:14",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
15,16,151,PORTE Richie,35,Trek - Segafredo,30.0,28.0,",,0:14",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
16,17,14,IZAGIRRE Gorka,32,Astana Pro Team,30.0,26.0,0:430:43,Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
17,18,131,COSNEFROY Benoît,24,AG2R La Mondiale,30.0,24.0,0:580:58,Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
18,19,11,FRAILE Omar,30,Astana Pro Team,30.0,22.0,",,0:58",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
19,20,45,MARTÍNEZ Daniel Felipe,24,EF Pro Cycling,30.0,20.0,",,0:58",Li_ge_Bastogne_Li_ge,0,04 October 2020,39.33 km/h,132,257 km,6
