,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,GILBERT Philippe,28,Omega Pharma-Lotto,100.0,275.0,6:13:18,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
1,2,0,SCHLECK Fränk,31,Leopard Trek,80.0,200.0,",,0:00",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
2,3,0,SCHLECK Andy,25,Leopard Trek,70.0,150.0,",,0:00",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
3,4,0,KREUZIGER Roman,24,Pro Team Astana,60.0,120.0,0:240:24,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
4,5,0,URÁN Rigoberto,24,Sky Procycling,50.0,100.0,",,0:24",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
5,6,0,SØRENSEN Chris Anker,26,Saxo Bank - Sungard,40.0,90.0,",,0:24",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
6,7,0,VAN AVERMAET Greg,25,BMC Racing Team,30.0,80.0,0:270:27,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
7,8,0,NIBALI Vincenzo,26,Liquigas - Cannondale,20.0,70.0,0:290:29,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
8,9,0,LEUKEMANS Björn,33,Vacansoleil - DCM,10.0,60.0,0:390:39,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
9,10,0,SÁNCHEZ Samuel,33,Euskaltel - Euskadi,4.0,50.0,",,0:39",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
10,11,0,KOLOBNEV Alexandr,29,Team Katusha,,46.0,0:430:43,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
11,12,0,GERRANS Simon,30,Sky Procycling,,42.0,",,0:43",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
12,13,0,MARTENS Paul,27,Rabobank Cycling Team,,38.0,",,0:43",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
13,14,0,ANTÓN Igor,28,Euskaltel - Euskadi,,34.0,",,0:43",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
14,15,0,FREIRE Óscar,35,Rabobank Cycling Team,,30.0,",,0:43",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
15,16,0,CUNEGO Damiano,29,Lampre - ISD,,28.0,",,0:43",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
16,17,0,VANENDERT Jelle,26,Omega Pharma-Lotto,,26.0,0:470:47,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
17,18,0,VAN GARDEREN Tejay,22,HTC - High Road,,24.0,0:530:53,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
18,19,0,VANDEWALLE Kristof,26,Quickstep Cycling Team,,22.0,0:570:57,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
19,20,0,PINEAU Jérôme,31,Quickstep Cycling Team,,20.0,0:580:58,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
20,21,0,SØRENSEN Nicki,35,Saxo Bank - Sungard,,19.0,",,0:58",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
21,22,0,HERMANS Ben,24,RadioShack,,18.0,",,0:58",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
22,23,0,BRAJKOVIČ Janez,27,RadioShack,,17.0,1:011:01,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
23,24,0,HOOGERLAND Johnny,27,Vacansoleil - DCM,,16.0,",,1:01",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
24,25,0,LÖFKVIST Thomas,27,Sky Procycling,,15.0,",,1:01",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
25,26,0,RODRÍGUEZ Joaquim,31,Team Katusha,,14.0,1:141:14,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
26,27,0,LÓPEZ David,29,Movistar Team,,13.0,1:161:16,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
27,28,0,KIRYIENKA Vasil,29,Movistar Team,,12.0,1:261:26,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
28,29,0,HESJEDAL Ryder,30,Team Garmin - Cervélo,,11.0,1:401:40,Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
29,30,0,GESINK Robert,24,Rabobank Cycling Team,,10.0,",,1:40",Li_ge___Bastogne___Li_ge,0,24 April 2011,41.07 km/h,0,255.5 km,5
