,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,0,GERRANS Simon,31,Orica GreenEDGE,100.0,275.0,6:59:24,Milano_Sanremo,0,17 March 2012,42.632 km/h,0,298 km,9
1,2,0,CANCELLARA Fabian,30,RadioShack - Nissan,80.0,200.0,",,0:00",Milano_Sanremo,0,17 March 2012,42.632 km/h,0,298 km,9
2,3,0,NIBALI Vincenzo,27,Liquigas - Cannondale,70.0,150.0,",,0:00",Milano_Sanremo,0,17 March 2012,42.632 km/h,0,298 km,9
3,4,0,SAGAN Peter,22,Liquigas - Cannondale,60.0,120.0,0:020:02,Milano_Sanremo,0,17 March 2012,42.632 km/h,0,298 km,9
4,5,0,DEGENKOLB John,23,Argos - Shimano,50.0,100.0,",,0:02",Milano_Sanremo,0,17 March 2012,42.632 km/h,0,298 km,9
5,6,0,POZZATO Filippo,30,Farnese Vini-Neri-Sottoli,40.0,90.0,",,0:02",Milano_Sanremo,0,17 March 2012,42.632 km/h,0,298 km,9
6,7,0,FREIRE Óscar,36,Team Katusha,30.0,80.0,",,0:02",Milano_Sanremo,0,17 March 2012,42.632 km/h,0,298 km,9
7,8,0,BALLAN Alessandro,32,BMC Racing Team,20.0,70.0,",,0:02",Milano_Sanremo,0,17 March 2012,42.632 km/h,0,298 km,9
8,9,0,OSS Daniel,25,Liquigas - Cannondale,10.0,60.0,",,0:02",Milano_Sanremo,0,17 March 2012,42.632 km/h,0,298 km,9
9,10,0,BENNATI Daniele,31,RadioShack - Nissan,4.0,50.0,",,0:02",Milano_Sanremo,0,17 March 2012,42.632 km/h,0,298 km,9
10,11,0,FLORENCIO Xavier,32,Team Katusha,,46.0,",,0:02",Milano_Sanremo,0,17 March 2012,42.632 km/h,0,298 km,9
11,12,0,PAOLINI Luca,35,Team Katusha,,42.0,0:120:12,Milano_Sanremo,0,17 March 2012,42.632 km/h,0,298 km,9
12,13,0,GESCHKE Simon,26,Argos - Shimano,,38.0,",,0:12",Milano_Sanremo,0,17 March 2012,42.632 km/h,0,298 km,9
13,14,0,GATTO Oscar,27,Farnese Vini-Neri-Sottoli,,34.0,",,0:12",Milano_Sanremo,0,17 March 2012,42.632 km/h,0,298 km,9
