,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,17,ŠTYBAR Zdeněk,33,Deceuninck - Quick Step,300.0,200.0,4:53:17,Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
1,2,71,VAN AVERMAET Greg,33,CCC Team,250.0,150.0,0:090:09,Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
2,3,27,WELLENS Tim,27,Lotto Soudal,215.0,120.0,",,0:09",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
3,4,46,LUTSENKO Alexey,26,Astana Pro Team,175.0,100.0,",,0:09",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
4,5,51,TEUNS Dylan,27,Bahrain Merida,120.0,90.0,",,0:09",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
5,6,62,DRUCKER Jempy,32,BORA - hansgrohe,115.0,80.0,0:250:25,Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
6,7,11,LAMPAERT Yves,27,Deceuninck - Quick Step,95.0,70.0,",,0:25",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
7,8,13,GILBERT Philippe,36,Deceuninck - Quick Step,75.0,60.0,",,0:25",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
8,9,101,TRENTIN Matteo,29,Mitchelton-Scott,60.0,50.0,",,0:25",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
9,10,31,NAESEN Oliver,28,AG2R La Mondiale,50.0,40.0,",,0:25",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
10,11,24,KEUKELEIRE Jens,30,Lotto Soudal,40.0,36.0,",,0:25",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
11,12,155,MATTHEWS Michael,28,Team Sunweb,35.0,32.0,",,0:25",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
12,13,121,VAN AERT Wout,24,Team Jumbo-Visma,30.0,28.0,",,0:25",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
13,14,147,VAN BAARLE Dylan,26,Team Sky,25.0,24.0,",,0:25",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
14,15,84,LANGEVELD Sebastian,34,EF Education First,20.0,20.0,",,0:25",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
15,16,15,JUNGELS Bob,26,Deceuninck - Quick Step,20.0,16.0,",,0:25",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
16,17,43,DE VREESE Laurens,30,Astana Pro Team,20.0,14.0,",,0:25",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
17,18,95,KÜNG Stefan,25,Groupama - FDJ,20.0,12.0,",,0:25",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
18,19,135,POLITT Nils,24,Team Katusha Alpecin,20.0,10.0,0:280:28,Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
19,20,201,TERPSTRA Niki,34,Direct Energie,20.0,9.0,0:290:29,Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
20,21,63,OSS Daniel,32,BORA - hansgrohe,12.0,8.0,0:300:30,Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
21,22,34,DILLIER Silvan,28,AG2R La Mondiale,12.0,7.0,0:320:32,Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
22,23,102,DURBRIDGE Luke,27,Mitchelton-Scott,12.0,6.0,0:440:44,Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
23,24,236,PLANCKAERT Baptiste,30,Wallonie-Bruxelles,12.0,5.0,1:521:52,Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
24,25,111,ROELANDTS Jürgen,33,Movistar Team,12.0,4.0,",,1:52",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
25,26,141,STANNARD Ian,31,Team Sky,12.0,3.0,",,1:52",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
26,27,191,DEVOLDER Stijn,39,Corendon - Circus,12.0,3.0,",,1:52",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
27,28,142,DOULL Owain,25,Team Sky,12.0,3.0,2:512:51,Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
28,29,45,HOULE Hugo,28,Astana Pro Team,12.0,3.0,",,2:51",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
29,30,125,VAN POPPEL Danny,25,Team Jumbo-Visma,12.0,3.0,",,2:51",Omloop_Het_Nieuwsblad_ME,0,02 March 2019,40.916 km/h,30,200 km,22
