,Rnk,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,27,VALGREN Michael,26,Astana Pro Team,300.0,200.0,4:50:14,Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
1,2,137,WIŚNIOWSKI Łukasz,26,Team Sky,250.0,150.0,0:120:12,Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
2,3,51,VANMARCKE Sep,29,Team EF Education First-Drapac p/b Cannondale,215.0,120.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
3,4,156,STUYVEN Jasper,25,Trek - Segafredo,175.0,100.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
4,5,91,GILBERT Philippe,35,Quick-Step Floors,120.0,90.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
5,6,146,THEUNS Edward,26,Team Sunweb,115.0,80.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
6,7,176,VAN LERBERGHE Bert,25,"Cofidis, Solutions Crédits",95.0,70.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
7,8,33,COLBRELLI Sonny,27,Bahrain Merida Pro Cycling Team,75.0,60.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
8,9,61,DÉMARE Arnaud,26,Groupama - FDJ,60.0,50.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
9,10,41,BURGHARDT Marcus,34,BORA - hansgrohe,50.0,40.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
10,11,132,DOULL Owain,24,Team Sky,40.0,36.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
11,12,117,WÜRTZ SCHMIDT Mads,23,Team Katusha Alpecin,35.0,32.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
12,13,106,THWAITES Scott,28,Team Dimension Data,30.0,28.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
13,14,54,MODOLO Sacha,30,Team EF Education First-Drapac p/b Cannondale,25.0,24.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
14,15,196,VAN GESTEL Dries,23,Sport Vlaanderen - Baloise,20.0,20.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
15,16,125,ROOSEN Timo,25,Team LottoNL-Jumbo,20.0,16.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
16,17,191,CAPIOT Amaury,24,Sport Vlaanderen - Baloise,20.0,14.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
17,18,13,DILLIER Silvan,27,AG2R La Mondiale,20.0,12.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
18,19,122,JANSEN Amund Grøndahl,24,Team LottoNL-Jumbo,20.0,10.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
19,20,96,ŠTYBAR Zdeněk,32,Quick-Step Floors,20.0,9.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
20,21,73,KEUKELEIRE Jens,29,Lotto Soudal,12.0,8.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
21,22,4,KÜNG Stefan,24,BMC Racing Team,12.0,7.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
22,23,26,CORT Magnus,25,Astana Pro Team,12.0,6.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
23,24,17,VANDENBERGH Stijn,33,AG2R La Mondiale,12.0,5.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
24,25,164,MARCATO Marco,34,UAE-Team Emirates,12.0,4.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
25,26,115,PLANCKAERT Baptiste,29,Team Katusha Alpecin,12.0,3.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
26,27,11,NAESEN Oliver,27,AG2R La Mondiale,12.0,3.0,",,0:12",Omloop_Het_Nieuwsblad_ME,0,24 February 2018,40.56 km/h,0,196.2 km,27
