,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,,,0,DI GRÉGORIO Rémy,25,Pro Team Astana,6.0,50.0,5:46:23,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
1,2,,,0,SÁNCHEZ Samuel,33,Euskaltel - Euskadi,4.0,30.0,0:050:05,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
2,3,,,0,URÁN Rigoberto,24,Sky Procycling,2.0,18.0,",,0:05",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
3,4,,,0,KLÖDEN Andreas,35,RadioShack,1.0,13.0,0:070:07,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
4,5,,,0,MARTIN Tony,25,HTC - High Road,1.0,10.0,",,0:07",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
5,6,,,0,TAARAMÄE Rein,23,"Cofidis, le Crédit en Ligne",,7.0,",,0:07",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
6,7,,,0,BRAJKOVIČ Janez,27,RadioShack,,4.0,0:090:09,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
7,8,,,0,WIGGINS Bradley,30,Sky Procycling,,3.0,",,0:09",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
8,9,,,0,TONDO Xavier,32,Movistar Team,,2.0,",,0:09",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
9,10,,,0,MONFORT Maxime,28,Leopard Trek,,1.0,0:110:11,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
10,11,,,0,PERAUD Jean-Christophe,33,AG2R La Mondiale,,,0:140:14,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
11,12,,,0,LEIPHEIMER Levi,37,RadioShack,,,",,0:14",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
12,13,,,0,KADRI Blel,24,AG2R La Mondiale,,,",,0:14",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
13,14,,,0,MOLLEMA Bauke,24,Rabobank Cycling Team,,,",,0:14",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
14,15,,,0,HARDY Romain,22,Bretagne Schuller,,,",,0:14",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
15,16,,,0,KREUZIGER Roman,24,Pro Team Astana,,,0:180:18,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
16,17,,,0,ŠPILAK Simon,24,Lampre - ISD,,,0:190:19,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
17,18,,,0,LÓPEZ David,29,Movistar Team,,,0:290:29,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
18,19,,,0,ROGERS Michael,31,Sky Procycling,,,",,0:29",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
19,20,,,0,PASAMONTES Luis,31,Movistar Team,,,",,0:29",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
20,21,,,0,CARRARA Matteo,31,Vacansoleil - DCM,,,",,0:29",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
21,22,,,0,JÉRÔME Vincent,26,Team Europcar,,,0:370:37,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
22,23,,,0,GERDEMANN Linus,28,Leopard Trek,,,",,0:37",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
23,24,,,0,ROJAS José Joaquín,25,Movistar Team,,,",,0:37",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
24,25,,,0,JEANNESSON Arnold,25,FDJ,,,",,0:37",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
25,26,,,0,KOREN Kristijan,24,Liquigas - Cannondale,,,",,0:37",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
26,27,,,0,BUSCHE Matthew,25,RadioShack,,,0:450:45,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
27,28,,,0,WYSS Danilo,25,BMC Racing Team,,,0:500:50,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
28,29,,,0,VORGANOV Eduard,28,Team Katusha,,,",,0:50",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
29,30,,,0,ROELANDTS Jürgen,25,Omega Pharma-Lotto,,,",,0:50",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
30,31,,,0,FÉDRIGO Pierrick,32,FDJ,,,",,0:50",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
31,32,,,0,PICHOT Alexandre,28,Team Europcar,,,0:560:56,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
32,33,,,0,VACHON Florian,26,Bretagne Schuller,,,1:091:09,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
33,34,,,0,LEUKEMANS Björn,33,Vacansoleil - DCM,,,",,1:09",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
34,35,,,0,VERDUGO Gorka,32,Euskaltel - Euskadi,,,",,1:09",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
35,36,,,0,VALENTIN Tristan,29,"Cofidis, le Crédit en Ligne",,,1:191:19,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
36,37,,,0,SIUTSOU Kanstantsin,28,HTC - High Road,,,1:331:33,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
37,38,,,0,HESJEDAL Ryder,30,Team Garmin - Cervélo,,,1:581:58,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
38,39,,,0,GOSS Matthew,24,HTC - High Road,,,2:252:25,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
39,40,,,0,DUPONT Hubert,30,AG2R La Mondiale,,,2:592:59,Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
40,41,,,0,CALZATI Sylvain,31,Bretagne Schuller,,,",,2:59",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
41,42,,,0,BOUET Maxime,24,AG2R La Mondiale,,,",,2:59",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
42,43,,,0,GERRANS Simon,30,Sky Procycling,,,",,2:59",Paris - Nice,7,12 March 2011,37.329 km/h,0,215.5 km,10
