,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,3.0,+0:04,11,SLAGTER Tom-Jelte,24,Garmin Sharp,6.0,50.0,5:00:09,Paris___Nice,4,12 March 2014,40.28 km/h,0,201.5 km,13
1,2,1.0,+0:00,1,THOMAS Geraint,27,Team Sky,4.0,30.0,",,0:00",Paris___Nice,4,12 March 2014,40.28 km/h,0,201.5 km,13
2,3,6.0,+0:15,115,KELDERMAN Wilco,22,Belkin-Pro Cycling Team,2.0,18.0,0:050:05,Paris___Nice,4,12 March 2014,40.28 km/h,0,201.5 km,13
3,4,137.0,+11:10,57,MATTHEWS Michael,23,Orica GreenEDGE,1.0,13.0,",,0:05",Paris___Nice,4,12 March 2014,40.28 km/h,0,201.5 km,13
4,5,8.0,+0:19,106,ŠTYBAR Zdeněk,28,Omega Pharma - Quick-Step,1.0,10.0,",,0:05",Paris___Nice,4,12 March 2014,40.28 km/h,0,201.5 km,13
5,6,11.0,+0:19,91,VICHOT Arthur,25,FDJ.fr,,7.0,",,0:05",Paris___Nice,4,12 March 2014,40.28 km/h,0,201.5 km,13
6,7,16.0,+0:19,38,VELITS Peter,29,BMC Racing Team,,4.0,",,0:05",Paris___Nice,4,12 March 2014,40.28 km/h,0,201.5 km,13
7,8,4.0,+0:08,147,ROJAS José Joaquín,28,Movistar Team,,3.0,",,0:05",Paris___Nice,4,12 March 2014,40.28 km/h,0,201.5 km,13
8,9,9.0,+0:19,136,GAUTIER Cyril,26,Team Europcar,,2.0,",,0:05",Paris___Nice,4,12 March 2014,40.28 km/h,0,201.5 km,13
9,10,5.0,+0:12,25,DUMOULIN Samuel,33,AG2R La Mondiale,,1.0,",,0:05",Paris___Nice,4,12 March 2014,40.28 km/h,0,201.5 km,13
10,11,14.0,+0:19,61,COSTA Rui,27,Lampre - Merida,,,",,0:05",Paris___Nice,4,12 March 2014,40.28 km/h,0,201.5 km,13
11,12,17.0,+0:19,141,IZAGIRRE Ion,25,Movistar Team,,,",,0:05",Paris___Nice,4,12 March 2014,40.28 km/h,0,201.5 km,13
