,Rnk,GC,Timelag,BIB,Rider,Age,Team,UCI,Pnt,Time,Avg,Name,Stage,Date,Avg. speed winner,ProfileScore,Distance,RaceRanking
0,1,1,+0:00,1,PORTE Richie,28,Sky Procycling,6.0,50.0,0:19:16,29.896,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
1,2,2,+0:55,141,TALANSKY Andrew,24,Garmin Sharp,4.0,30.0,0:230:23,29.313000000000002,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
2,3,15,+3:20,27,QUINTANA Nairo,23,Movistar Team,2.0,18.0,0:270:27,29.214000000000002,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
3,4,3,+1:21,111,PERAUD Jean-Christophe,35,AG2R La Mondiale,1.0,13.0,0:320:32,29.090999999999998,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
4,5,4,+1:44,108,VAN GARDEREN Tejay,24,BMC Racing Team,1.0,10.0,0:520:52,28.609,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
5,6,6,+1:48,181,ŠPILAK Simon,26,Team Katusha,,7.0,0:550:55,28.538,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
6,7,7,+1:54,61,ULISSI Diego,23,Lampre - Merida,,4.0,1:001:00,28.421,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
7,8,30,+10:37,68,SCARPONI Michele,33,Lampre - Merida,,3.0,1:031:03,28.351,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
8,9,5,+1:47,171,CHAVANEL Sylvain,33,Omega Pharma - Quick-Step,,2.0,1:051:05,28.305,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
9,10,55,+23:36,42,IZAGIRRE Ion,24,Euskaltel - Euskadi,,1.0,1:061:06,28.281999999999996,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
10,11,9,+2:22,56,KLÖDEN Andreas,37,RadioShack - Leopard,,,1:161:16,28.052,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
11,12,13,+3:06,95,JEANNESSON Arnold,27,FDJ,,,1:171:17,28.029,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
12,13,65,+30:24,192,COPPEL Jérôme,26,"Cofidis, Solutions Crédits",,,",,1:17",28.029,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
13,14,21,+4:36,4,LÓPEZ David,31,Sky Procycling,,,1:181:18,28.006,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
14,15,29,+8:34,223,DENIFL Stefan,25,IAM Cycling,,,1:251:25,27.849,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
15,16,37,+13:53,104,MOINARD Amaël,31,BMC Racing Team,,,1:261:26,27.826,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
16,17,11,+2:38,184,LOSADA Alberto,31,Team Katusha,,,1:301:30,27.737,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
17,18,77,+36:37,25,MORENO Javier,28,Movistar Team,,,1:311:31,27.715,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
18,19,14,+3:13,185,MENCHOV Denis,35,Team Katusha,,,1:321:32,27.691999999999997,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
19,20,8,+2:17,11,WESTRA Lieuwe,30,Vacansoleil - DCM,,,1:351:35,27.625999999999998,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
20,21,84,+40:54,62,CATTANEO Mattia,22,Lampre - Merida,,,",,1:35",27.625999999999998,Paris___Nice,7,10 March 2013,29.896 km/h,0,9.6 km,14
